Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Iridium Satellite Transceiver","RockBLOCK 9603","Iridium SBD modem for global command, control, and telemetry communication.","electrical","module",1,250.00,250.00,"https://rockblock.rock7.com/products/rockblock-9603"
"Main Microcontroller","ESP32-WROOM-32U","High-performance SoC with integrated Wi-Fi and Bluetooth, serving as the main controller for the watch.","electrical","mcu",1,5.00,5.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32U/13184650"
"Li-ion Battery Charger","BQ24195L","Li-Ion battery charger with power path management for single-cell battery.","electrical","power",1,3.50,3.50,"https://www.digikey.com/en/products/detail/texas-instruments/BQ24195L/4320294"
"Power Management IC (PMIC)","TPS63020","High-efficiency buck-boost converter for 3.3V digital logic.","electrical","power",1,4.00,4.00,"https://www.digikey.com/en/products/detail/texas-instruments/TPS63020DSJR/2085792"
"Audio Codec","PCM3168A","High-performance multi-channel audio codec for digital input and 4-channel analog output.","electrical","module",1,10.00,10.00,"https://www.digikey.com/en/products/detail/texas-instruments/PCM3168APFB/2091942"
"MEMS Microphone","SPM1423HM4R-B","","electrical","sensor",1,2.00,2.00,"https://www.digikey.com/en/products/detail/knowles/SPM1423HM4R-B/10495863"
"Miniature Speaker","CUI Devices CMS-151120-078SP","Small, general-purpose speaker for audio output.","electrical","actuator",1,3.00,3.00,"https://www.digikey.com/en/products/detail/cui-devices/CMS-151120-078SP/10207578"
"OLED Display","SSD1306 0.96 inch OLED","Small OLED display for system status and feedback. Located on the handheld head.","electrical","display",1,7.00,7.00,"https://www.adafruit.com/product/326"
"Li-ion Battery Pack","18650 Li-ion 3S2P Battery Pack","","electrical","power",1,40.00,40.00,"https://www.amazon.com/Battery-Pack-18650-3S2P-7200mAh/dp/B08DFCRK6Y"
"Main Enclosure (Front Shell)","Main Enclosure Front Shell","Ergonomic front shell of the walkie-talkie enclosure, designed for grip and housing the display and controls.","mechanical","3d_printed",1,15.00,15.00,"https://www.amazon.com/s?k=ABS+filament"
"Main Enclosure (Rear Shell)","Main Enclosure Rear Shell","Rear shell of the walkie-talkie enclosure, designed for battery compartment and satellite antenna mounting point.","mechanical","3d_printed",1,15.00,15.00,"https://www.amazon.com/s?k=ABS+filament"
"Enclosure Sealing Gasket","Silicone Rubber Gasket Sheet","Custom-cut silicone gasket for weather-sealing the main enclosure halves against water and dust ingress.","mechanical","enclosure",1,5.00,5.00,"https://www.amazon.com/s?k=silicone+rubber+gasket+sheet"
"Main PCB Mounting Plate","Main PCB Mounting Plate","Internal structural plate to securely mount the custom PCB within the enclosure.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=ABS+filament"
"Iridium Module Mount","Iridium Module Mount","Custom bracket to securely mount the Iridium satellite transceiver module to the main PCB mounting plate.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=ABS+filament"
"Li-ion Battery Pack Holder","Li-ion Battery Pack Holder","Custom holder designed to securely cradle the high-capacity Li-ion battery pack within the enclosure, preventing movement.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=ABS+filament"
"OLED Display Bezel","OLED Display Bezel","Bezel to secure and frame the OLED display within the front enclosure, providing a clean appearance.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=ABS+filament"
"Speaker Grille","Speaker Grille","Protective grille for the miniature speaker, integrated into the front enclosure for sound output.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=ABS+filament"
"Microphone Mount","Microphone Mount","Small mount to position and secure the MEMS microphone optimally in the enclosure.","mechanical","3d_printed",1,0.25,0.25,"https://www.amazon.com/s?k=ABS+filament"
"Satellite Antenna Mount Adapter","Satellite Antenna Mount","Rugged adapter for securely attaching an external Iridium satellite antenna to the rear of the enclosure.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=ABS+filament"
"M3 Button Head Screws","M3x10mm Button Head Socket Cap Screws","Fasteners for securing the enclosure halves, internal PCB, and mounting brackets.","mechanical","misc",12,0.10,1.20,"https://www.amazon.com/s?k=M3x10mm+button+head+screws"
"M3 Heat-Set Inserts","M3 Brass Threaded Heat Set Inserts","Brass inserts to provide robust threaded points for M3 screws in 3D-printed parts.","mechanical","misc",12,0.15,1.80,"https://www.amazon.com/s?k=M3+heat+set+inserts"
"Tactile Buttons (Set)","Waterproof Tactile Push Buttons","Rugged, waterproof tactile push buttons for user input (PTT, menu navigation).","mechanical","enclosure",5,1.50,7.50,"https://www.amazon.com/s?k=waterproof+tactile+push+buttons"
"Main Microcontroller Mount","Main Microcontroller Mount","Standoff bracket sized to the Main Microcontroller's mounting hole pattern. M2.5 holes for board fasteners; vented underside for airflow.","mechanical","3d_printed",1,2.00,2.00,""
"Audio Codec Mount","Audio Codec Mount","Adapter plate for the Audio Codec that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
