Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller","Happymodel Crazybee F4 Lite","F4 MCU with integrated 4-in-1 ESCs, Betaflight compatible, designed for micro drones.","electrical","mcu",1,40.00,40.00,"https://www.racedayquads.com/products/happymodel-crazybee-f4-lite-1s-brushless-flight-controller-w-20a-esc?variant=39498224523313"
"Front Left Motor","Happymodel EX0802 19000KV","Small brushless motor suitable for tiny whoop drones.","electrical","actuator",1,10.00,10.00,"https://www.racedayquads.com/products/happymodel-ex0802-19000kv-brushless-motor"
"Front Right Motor","Happymodel EX0802 19000KV","Small brushless motor suitable for tiny whoop drones.","electrical","actuator",1,10.00,10.00,"https://www.racedayquads.com/products/happymodel-ex0802-19000kv-brushless-motor"
"Rear Left Motor","Happymodel EX0802 19000KV","Small brushless motor suitable for tiny whoop drones.","electrical","actuator",1,10.00,10.00,"https://www.racedayquads.com/products/happymodel-ex0802-19000kv-brushless-motor"
"Rear Right Motor","Happymodel EX0802 19000KV","Small brushless motor suitable for tiny whoop drones.","electrical","actuator",1,10.00,10.00,"https://www.racedayquads.com/products/happymodel-ex0802-19000kv-brushless-motor"
"LiPo Battery","GNB 1S 380mAh LiPo Battery","Single-cell LiPo battery for powering the drone.","electrical","power",1,5.00,5.00,"https://www.amazon.com/GNB-380mAh-LiPo-Battery-XT30/dp/B0B5Z8C2B3"
"Radio Receiver","Happymodel EP2 ExpressLRS Receiver","Receives control signals from the remote transmitter via serial protocol.","electrical","module",1,15.00,15.00,"https://www.racedayquads.com/products/happymodel-ep2-expresslrs-2-4ghz-nano-receiver"
"Onboard Recording Camera","RunCam Split 3 Nano Whoop (Board-only)","","electrical","module",1,60.00,60.00,"https://www.runcam.com/runcam-split-3-nano-whoop-fpv-camera-p-320.html"
"Microphone","MAX9814 Electret Microphone Amplifier (Breakout)","","electrical","sensor",1,8.00,8.00,"https://www.adafruit.com/product/1713"
"Step-Down Converter (BEC)","Matek Micro BEC 5V/12V","Regulates battery voltage to 5V for servos and arm MCU.","electrical","power",1,7.00,7.00,"https://www.racedayquads.com/products/matek-micro-bec-5v-12v-adjustable-output"
"Drone Frame","65mm Carbon Fiber Micro Drone Frame","Ultra-light carbon fiber frame for a micro drone, providing main structural support for all components.","mechanical","structural",1,12.00,12.00,"https://www.amazon.com/dp/B089N5Q94N?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Left Propeller","31mm 4-Blade Micro Propeller","Propeller for the front left motor, designed for aggressive flight on micro drones.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/dp/B0FCTBST32?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Right Propeller","31mm 4-Blade Micro Propeller","Propeller for the front right motor, designed for aggressive flight on micro drones.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/dp/B0FCTBST32?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Left Propeller","31mm 4-Blade Micro Propeller","Propeller for the rear left motor, designed for aggressive flight on micro drones.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/dp/B0FCTBST32?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Right Propeller","31mm 4-Blade Micro Propeller","Propeller for the rear right motor, designed for aggressive flight on micro drones.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/dp/B0FCTBST32?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Flight Controller Mount","","Custom 3D-printed mount to securely attach the micro flight controller to the drone frame, providing vibration isolation.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=TPU+filament"
"LiPo Battery Holder","","Custom 3D-printed holder to secure the small LiPo battery to the drone frame, preventing movement during aggressive flight.","mechanical","3d_printed",1,0.08,0.08,"https://www.amazon.com/s?k=TPU+filament"
"Camera Module Mount","","Custom 3D-printed mount to securely position the onboard recording camera at an optimal angle on the drone frame.","mechanical","3d_printed",1,0.07,0.07,"https://www.amazon.com/s?k=TPU+filament"
"Microphone Housing","","Tiny 3D-printed enclosure for the miniature microphone, protecting it while allowing sound capture.","mechanical","3d_printed",1,0.02,0.02,"https://www.amazon.com/s?k=PLA+filament"
"Fly Body Enclosure","","Lightweight 3D-printed enclosure shaped like a fly's body, designed to house and protect internal electronics while maintaining a 'fly-like' aesthetic.","mechanical","enclosure",1,0.50,0.50,"https://www.amazon.com/s?k=PLA+filament"
"M2 Nylon Mounting Screws","M2x5mm Nylon Standoff Screw Kit","Lightweight nylon screws used for mounting the flight controller and other small components to reduce overall weight.","mechanical","misc",8,0.05,0.40,"https://www.amazon.com/s?k=M2+nylon+screws"
"M2 Nylon Nuts","M2 Nylon Nut Kit","Lightweight nylon nuts for securing M2 screws on the drone frame.","mechanical","misc",8,0.03,0.24,"https://www.amazon.com/s?k=M2+nylon+nuts"
