Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller (ESP32-S3)","ESP32-S3-DevKitC-1-N8R2","ESP32-S3 development board with Wi-Fi, Bluetooth LE, and USB-C for power and programming. Handles sound processing and LED control.","electrical","mcu",1,12.00,12.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-DevKitC-1-N8R2/18128919"
"Circular Clock Display (1.28 inch)","1.28 inch Round LCD Display Module GC9A01","Round TFT LCD display for eye animations and interactive visual feedback. (Assuming 1.28 inch as a practical interpretation of '17inch' for a desk robot).","electrical","display",1,8.50,8.50,"https://www.adafruit.com/product/5732"
"Rectangular Dashboard Display (4.3 inch)","4.3 inch SPI TFT LCD Display ILI9488","","electrical","display",1,25.00,25.00,"https://www.adafruit.com/product/3581"
"Main Rotary Encoder with Push Button","EC11 Rotary Encoder with Switch","Rotary encoder with integrated push button for scrolling and selection.","electrical","sensor",1,1.50,1.50,"https://www.digikey.com/en/products/detail/bourns-inc/PEC11R-4020F-N0024/3777717"
"Back / Home Button","Tactile Switch 6x6mm","Small tactile button for user input.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/detail/e-switch/TL1105SPF160Q/1640167"
"Snooze Reminder Button","Tactile Switch 6x6mm","Small tactile button for user input.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/detail/e-switch/TL1105SPF160Q/1640167"
"Dismiss Reminder Button","Tactile Switch 6x6mm","Small tactile button for user input.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/detail/e-switch/TL1105SPF160Q/1640167"
"Start/Pause Focus Mode Button","Tactile Switch 6x6mm","Small tactile button for user input.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/detail/e-switch/TL1105SPF160Q/1640167"
"Mute/Privacy Button","Tactile Switch 6x6mm","Small tactile button for user input.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/detail/e-switch/TL1105SPF160Q/1640167"
"USB-C Power Input Connector","USB-C Female Breakout Board","USB-C connector for primary power input.","electrical","power",1,1.50,1.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxIlS9JD47uyzxKR7SXaIUGCD9XRQAWUlXHSbwjCxYX6AsvVltGKGVTe5WIwqZ3VqppvMIRhLEemXGXfxrHFWkTk3wNKLe0BTNkdrUcUBomdCGKAlq2b6WZkXpsG56W2ZGDgwTlHmf747Lux311l5MLBCHa5xrg6GgpcPpsGVPYk2szc3uXA6IrdTbr5CLqN4geYRr2jr7NTbuzhIO42yUXRHVw74ii0QxxJknOMvTHSYp7S13vLtSKIXM0uEMpclsD4RvNnrfhrK4BWkijtbJUv5lv51E6dsXpYojSW6Qvst9dgqtN7A0fzG33UdC54FGAubDhk6HFqZTDakJv9P1imEjwFUhjjGZ9AjRFCFH0ngX6mJheXaD8OpOEQ3UovS8dlYCQbrLLQ0AcKKhPK0asBMN7nkXDEAQl6SiSrG5PbNoy8xZOwEfuY0fvgHcwmCac9MSfl8XEbuqdgsQppT6BTaAd5pLFhlNoxi9CGMLaPlMDATCZx4JOxKhGUgRJaikidxBs1D76tK8zBf6pabkIpxDl1ga0fPDZbWB666Y51e7GtEhHAZk9a1EzwXEXmQiQMZDKE5omAiPi5vjuiTD0Qo6qcA8fukryiZvu5E1EiK1ydvAjlEUUR6vyQNlAQoijDjR5mcWkcsr8qUXFrqf9tD"
