Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32 NodeMCU (30/38 pin)","","electrical","mcu",1,10.00,10.00,"https://www.amazon.com/dp/B08D5ZD528?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Main AC/DC Power Adapter","12V 5A (60W) AC/DC Adapter","","electrical","power",1,20.00,20.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRNNjdOS6Mye5vU48qzJ1KLW8bKM1V5m5KvwJGLXHeLIV6Ox7f16KFtfweDiseiim3338SSKKyRMgyXZWC45uFRo6jTvrCWPlBf9z4tUcUjUnoUfhHR5ewXRy4mYPXmcZE34iM6wgoJKwKpAJTqTnbHdZYD9OEEAd483ulYIqVAerOodbVnWT77q13bZjzlP2GHhfzDBzyZLTmEkd6embfe9HCxtWwJDb5fZ0OME4kNKXojywtwcbCdaRmDW8XQ9J89LOW4PvbE7Z8r6OxyoNh80pNrbRP92hqPxAOIyoxfFtwpOoVbiGh8R5dasx3YAFeVhWRl2vrB54s4zJg0lzbmOf8XbqjxlT9MjJm23o4X9pJT55BRkNyMd0ho2Huk4w4lCD5cejvdH4PdgBTZ9KQnQPO7Pn6vfwhIyNZ4DOqikG6mWnckKx7RrIgwKcSK3jyZCygMlwJdSmn0iks9KTB5dvew0eVgYDaWLy5gttASGIowWgm4C66Xl9S47Beh43OOUk0Sc1O58R32ScDfIZjnbNiUXyW7oFi3NEva1ZLOiXJdzvwErb2Y9nDxbds9VnzJRLpoKHSVvIkADn9Qr9pNko9mreK55wPPVMh7pSHKEWkAlN7npc2WgM4uT3hIQfHVVf4ZMLNw3JgEYaVZRsfMR"
"DC Input Terminal Block","DC-Female Adapter w/ screw terminal","","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DC+female+screw+terminal+adapter"
"12V to 5V DC-DC Converter","24V/12V to 5V 5A Buck Converter","","electrical","power",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRw0Y1HWQb15iiaRsdKFWXSGdL7YZXHj2wpfAfaGLYFjvOcDernAneOqj7v2KhEuUOzH3nfle6NfuClogcg4il0ftxqlVVBbnLGyzzfs3uL0is2KahJcoWvrckA0PkAnRH9VgNRIwDYTcnGOK29kiG1iPYiv0Bi391CM3pe8PNS2I7BFZptd7VjjiZjUwt9biCdk4NRNiNlQEWje0xIxenpu8E5Cw0lacXP6dclWEWPwpk8qnLtPbnfj7ELyvWvQrcEFqo8DbXSjZ3OTmHoLSWHL5eMhKr1FiWgILMKMrrVeJ8v4bAgPiQxgz8qaST3T4vUAiS6gT9clQlC98uW1QSX305uFry2SntI9HLxBexf5iv88QAWdxY7RGS4ZmPaVY372IqSffgQqxv5DXhlUExcux67hQwOzL1HOnIQLYCnyEnibjLM4KTcpbNoDr6FXbCR7U27ZmS1oo1701sWL5yOVB4yzaxLtA8mrq0PbtxKN6ZKTTAOYJB9uvlQnp5hfRqk9MgbJnQcqGbPDYCzCjt1HbR8zBqgVrqfQaIPaOylpb4O8CPSX3TJuur5WYFicZI4jidbVE5o6qzTrvi0wtHie5QefZ8fGLzMl3v8FB4vRUH4nmW1zKnYGfSZ1jwWgfiO8ySIyH9G50bzfhLmJTSPh"
"8-Channel Optocoupled Relay Board","8-Channel Optocoupled Relay Board","","electrical","module",1,12.00,12.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRNLNupZt6pe0Fj5BfdHmqUJSr5yUY16IhaJBUuT3BDh2ionZiX61R0zOJQaygelAvy8ly4O0y7LzR4CHbdGzmoqixAS6qDqokiI5pXmzl5qoSafT7IRTxnR7MtkpECIu34uZltp3x9bwWU4j4z09CHn7AlTAXDqV0YOeehuLBnT7OMuaMD7bdHdHcexBBNOxwAyP3Xlo0JiRWF6uQNtt5fYePWMgxIC4JM4ixYbKewe9XSUcy1rVr9c8m6TrW3TtajMjmggzwpYhL9N74K8QF5YtMQPEBJ1iD6fKotJ6p9vI8Hi77taqWd23HmnNKkjJMQSEYdEuYKwdtEkeZqQW8NWcVg2ssbUCfzqrDos3XcuwnPAmnJj1K2cyiVvVWxRqHOJTG6aZWhdPQMAwXeQqrJ53WA3rS1KYLqKkBcy7KgYE2sgnnPNNvVfvFKPANS3DVY4EnnlBhbVGaILkJtL17dTBpppmeSRZvh3ZLAr2yvjhlWL60iTcaG1Uu69Qe63BwqD8UKBn82ztxGWbwgroIlb9pkSJySJcTUIeZnBbXjFwnFLP0zvZzLf8OZ9XDebs5gOzmFOacQOYZU8JJSXx5zYYGqxKXx2emumIcuw3pRwAI0TxMBaU8IaxQlqT8F13d5tX3XosDtKGFgR1O7lcant"
"Solenoid Valve 1 (Freshwater Inlet)","G1/2"" Solenoid Valve (12V)","","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/dp/B0FBHGNKPX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Solenoid Valve 2 (Wastewater Outlet)","G1/2"" Solenoid Valve (12V)","","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/dp/B0FBHGNKPX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Solenoid Valve 3 (Spare)","G1/2"" Solenoid Valve (12V)","","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/dp/B0FBHGNKPX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Mini Water Pump 1 (Main Ebb & Flow Flood)","Mini Water Pump (12V, 10W, 600L/H)","","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/dp/B09XH1GYYQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Mini Water Pump 2 (Recirculation)","Mini Water Pump (12V, 10W, 600L/H)","","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/dp/B09XH1GYYQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
