Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32 Dev Kit C V4","Central microcontroller for sensor data processing and actuator control, with integrated Wi-Fi.","electrical","mcu",1,12.00,12.00,"https://www.amazon.com/s?k=ESP32+Dev+Kit+C+V4"
"Solar Power Panel","10W 12V Solar Panel","Converts solar energy into electrical power to charge the battery.","electrical","power",1,25.00,25.00,"https://www.amazon.com/s?k=10W+12V+solar+panel"
"Battery Charge Controller","MPPT Solar Charge Controller 3S Li-ion","Manages power flow from solar panel to battery and provides regulated output for loads.","electrical","power",1,18.00,18.00,"https://www.amazon.com/s?k=mppt+solar+charge+controller+12V"
"System Battery","12V 7Ah SLA Battery","Stores electrical energy for powering the system, especially during low light conditions.","electrical","power",1,25.00,25.00,"https://www.amazon.com/s?k=12V+7Ah+SLA+battery"
"Rain Sensor","KY-009 Rain Sensor Module","Detects the presence of rain to trigger automatic roof closure.","electrical","sensor",1,3.00,3.00,"https://www.amazon.com/s?k=KY-009+rain+sensor"
"Ambient Light Sensor","BH1750FVI Digital Light Sensor Module","Measures ambient light intensity for automatic roof opening/closing and night mode.","electrical","sensor",1,5.00,5.00,"https://www.amazon.com/s?k=BH1750FVI+light+sensor"
"Soil Moisture Sensor","Capacitive Soil Moisture Sensor v1.2","Measures soil humidity levels to trigger automatic irrigation.","electrical","sensor",1,4.00,4.00,"https://www.amazon.com/s?k=Capacitive+Soil+Moisture+Sensor"
"Temperature & Humidity Sensor","DHT22 Digital Temperature Humidity Sensor","Monitors internal greenhouse temperature and humidity for ventilation control.","electrical","sensor",1,7.00,7.00,"https://www.amazon.com/s?k=DHT22+digital+temperature+humidity+sensor"
"Water Irrigation Pump","12V Mini Submersible Water Pump","Pumps water from the reservoir for automatic plant irrigation.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=12V+mini+submersible+water+pump"
"Ventilation Fan","12V DC Cooling Fan (e.g., 60mm)","Provides ventilation to control internal greenhouse temperature.","electrical","actuator",1,8.00,8.00,"https://www.amazon.com/s?k=12V+DC+cooling+fan+60mm"
"Pump Control Relay","12V 1-Channel Relay Module","Switches the 12V water pump on/off via MCU signal.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=12V+1+channel+relay+module"
"Fan Control Relay","12V 1-Channel Relay Module","Switches the 12V fan on/off via MCU signal.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=12V+1+channel+relay+module"
"5V Step-Down Converter","MP1584EN DC-DC Buck Converter Module","Steps down 12V battery voltage to 5V for powering the ESP32 and 5V sensors.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=MP1584EN+buck+converter"
"Greenhouse Frame Structure","Aluminum Extrusion Kit 20x20mm","Main structural frame for the greenhouse, robust enough for 2-5 sq m roof and environmental exposure.","mechanical","structural",1,150.00,150.00,"https://www.amazon.com/s?k=aluminum+extrusion+greenhouse+kit"
"Rainwater Reservoir","80L Plastic Water Barrel","Stores harvested rainwater for the irrigation system.","mechanical","mechanism",1,40.00,40.00,"https://www.amazon.com/s?k=80l+rain+barrel"
"Irrigation Tubing","1/4 inch Drip Irrigation Tubing","Delivers water from the pump to the irrigation emitters.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=1/4+inch+drip+irrigation+tubing+50ft"
"Irrigation Drip Emitter","Adjustable Drip Emitter","Provides controlled water delivery to plants.","mechanical","mechanism",10,0.50,5.00,"https://www.amazon.com/s?k=adjustable+drip+emitter"
"Main Electronics Enclosure","IP54 ABS Electrical Project Box","Houses and protects the MCU, power management, and relay modules from weather elements.","mechanical","enclosure",1,25.00,25.00,"https://www.amazon.com/s?k=ip54+abs+project+box+200x150x80"
"Rain Sensor Enclosure","Rain Sensor Enclosure","Protective enclosure for the rain sensor, allowing exposure but preventing direct harsh impacts.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Light Sensor Mount","Light Sensor Mount","Mount for positioning the ambient light sensor for accurate readings.","mechanical","3d_printed",1,0.50,0.50,"N/A"
"Temperature/Humidity Sensor Mount","Temp/Humidity Sensor Mount","Mount for the DHT22 sensor, typically positioned inside the greenhouse.","mechanical","3d_printed",1,0.50,0.50,"N/A"
"Soil Moisture Sensor Stake","Soil Moisture Sensor Stake","Stake to hold the capacitive soil moisture sensor securely in the soil.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Water Pump Mount","Water Pump Mount","Mount for securing the submersible water pump inside the reservoir.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Ventilation Fan Mount","Ventilation Actuator Mount","Mount and grille for the ventilation fan to be integrated into the greenhouse wall.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"M3 Mounting Bolt","M3x10mm Hex Screw","Standard bolts for mounting sensors, small modules, and 3D-printed parts.","mechanical","misc",30,0.05,1.50,"https://www.amazon.com/s?k=M3x10mm+hex+screw"
"M3 Nut","M3 Hex Nut","Used with M3 bolts.","mechanical","misc",30,0.03,0.90,"https://www.amazon.com/s?k=M3+hex+nut"
"M5 Frame Bolt","M5x16mm Hex Socket Head Cap Screw","For assembling the aluminum extrusion frame and mounting heavier components like linear rails.","mechanical","misc",50,0.10,5.00,"https://www.amazon.com/s?k=M5x16mm+hex+socket+screw"
"M5 T-Nut","M5 T-Slot Nut 20 Series","Used with M5 bolts for connecting components to aluminum extrusions.","mechanical","misc",50,0.08,4.00,"https://www.amazon.com/s?k=m5+t-slot+nut+2020"
"Flexible Tent Cover","6 mil Greenhouse Plastic Film","Flexible, transparent UV-resistant film that serves as the roll-up cover for the greenhouse.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=6+mil+greenhouse+plastic+film"
"Cover Roll-up Motor","12V DC Worm Gear Motor","A single, self-locking worm gear motor to roll the flexible cover up and down.","electrical","actuator",1,20.00,20.00,"https://www.amazon.com/s?k=12V+DC+worm+gear+motor"
"Cover Motor Driver","DRV8871 DC Motor Driver Carrier","A simple H-bridge motor driver to control the direction of the single cover motor.","electrical","module",1,7.00,7.00,"https://www.amazon.com/s?k=DRV8871+motor+driver"
"Cover Roller Tube","Aluminum Tube 25mm OD","The central tube onto which the flexible cover is rolled.","mechanical","mechanism",1,18.00,18.00,"https://www.amazon.com/s?k=aluminum+tube+25mm+od+1.5m"
"Roller Support Brackets","Roller Support Brackets","3D printed brackets to mount the roller tube to the main greenhouse frame.","mechanical","3d_printed",2,2.50,5.00,"N/A"
"Status Display","0.96 inch I2C OLED Display Module","A small OLED screen to display real-time sensor data like temperature and humidity.","electrical","display",1,5.00,5.00,"https://www.amazon.com/s?k=0.96+i2c+oled+display"
"Display Mount","OLED Display Mount","A 3D printed enclosure and mount for the status display, attaching to the greenhouse frame.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Wind Speed Sensor","Anemometer Wind Speed Sensor","Measures wind speed to automatically close the tent cover during high winds for protection.","electrical","sensor",1,25.00,25.00,"https://www.amazon.com/s?k=anemometer+wind+speed+sensor+voltage"
"Reservoir Water Level Sensor","JSN-SR04T Waterproof Ultrasonic Sensor","Monitors the water level in the reservoir to prevent the pump from running dry and to send low-water alerts.","electrical","sensor",1,9.00,9.00,"https://www.amazon.com/s?k=JSN-SR04T"
"Cover Open Limit Switch","V-156-1C25 Micro Limit Switch","Detects when the tent cover has reached the fully open position, preventing motor strain.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=V-156-1C25+limit+switch"
"Cover Closed Limit Switch","V-156-1C25 Micro Limit Switch","Detects when the tent cover has reached the fully closed position, preventing motor strain.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=V-156-1C25+limit+switch"
"Battery Monitor Module","INA219 I2C Current/Voltage Sensor","Monitors battery voltage, current, and power usage for energy management and low-battery alerts.","electrical","module",1,6.00,6.00,"https://www.amazon.com/s?k=INA219+sensor"
"Frame Reinforcement Bracket","2020 Aluminum Corner Bracket","Reinforces the corners of the main frame structure to improve rigidity and resistance to adverse weather.","mechanical","structural",8,1.20,9.60,"https://www.amazon.com/s?k=2020+aluminum+corner+bracket"
"Wind Sensor Mount","Anemometer Mount","Mounts the wind speed sensor securely to the top of the greenhouse frame.","mechanical","3d_printed",1,1.50,1.50,"N/A"
"Water Level Sensor Mount","Ultrasonic Sensor Bracket","Holds the ultrasonic water level sensor at the top of the water reservoir, pointing downwards.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Limit Switch Mount","Adjustable Limit Switch Bracket","Mounts the limit switches onto the frame to be triggered by the movement of the cover mechanism.","mechanical","3d_printed",2,0.80,1.60,"N/A"
