Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Missile GPS Module","BN-180 Micro GPS Module","Provides position and velocity data for 500m-1000m navigation range.","electrical","sensor",1,12.00,12.00,"https://www.amazon.com/s?k=BN-180+GPS"
"Fin Actuator Servo 1","SG90 Micro Servo Motor","Micro servo for controlling one of the missile's aerodynamic fins.","electrical","actuator",1,3.00,3.00,"https://www.jsumo.com/sg90-micro-servo-motor"
"Fin Actuator Servo 2","SG90 Micro Servo Motor","Micro servo for controlling one of the missile's aerodynamic fins.","electrical","actuator",1,3.00,3.00,"https://www.jsumo.com/sg90-micro-servo-motor"
"Fin Actuator Servo 3","SG90 Micro Servo Motor","Micro servo for controlling one of the missile's aerodynamic fins.","electrical","actuator",1,3.00,3.00,"https://www.jsumo.com/sg90-micro-servo-motor"
"Fin Actuator Servo 4","SG90 Micro Servo Motor","Micro servo for controlling one of the missile's aerodynamic fins.","electrical","actuator",1,3.00,3.00,"https://www.jsumo.com/sg90-micro-servo-motor"
"Missile Main LiPo Battery","Tattu R-Line 3S 550mAh LiPo","Primary power source for missile flight controller, GPS, servos, and communication module.","electrical","power",1,20.00,20.00,"https://www.amazon.com/s?k=tattu+3s+550mah"
"Missile Wireless Comm Module","HC-12 433MHz Wireless Module","Receives guidance commands and data from the separate radar unit.","electrical","module",1,6.00,6.00,"https://www.amazon.com/s?k=HC-12+433MHz+module"
"Missile 5V Regulator","MP1584EN DC-DC Buck Converter","Regulates main battery voltage down to 5V for FC, GPS, servos, and comm module.","electrical","power",1,2.00,2.00,"https://www.amazon.com/s?k=MP1584EN+buck+converter"
"Radar System MCU","ESP32-WROOM-32D","Dedicated microcontroller for radar data processing and communication with the missile.","electrical","mcu",1,7.00,7.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32D/9474939"
"Millimeter-wave Radar Module","HLK-LD2410C 24GHz Radar","24GHz radar for target drone detection and range-finding, provides data to the radar MCU.","electrical","sensor",1,15.00,15.00,"https://www.amazon.com/s?k=HLK-LD2410C+24GHz+Radar"
"Radar Wireless Comm Module","HC-12 433MHz Wireless Module","Transmits guidance commands and data to the interceptor missile.","electrical","module",1,6.00,6.00,"https://www.amazon.com/s?k=HC-12+433MHz+module"
"Radar LiPo Battery","1S 500mAh LiPo Battery","Small dedicated power source for the separate radar unit.","electrical","power",1,10.00,10.00,"https://www.amazon.com/s?k=1S+500mAh+LiPo"
"Radar 3.3V Regulator","AMS1117 3.3V Regulator Module","Regulates battery voltage down to 3.3V for the radar MCU and module.","electrical","power",1,1.00,1.00,"https://www.amazon.com/s?k=AMS1117+3.3V+regulator"
"Missile Front Body Section","Blended Wing Body Front Section","3D-printed front section of the missile body, housing electronics.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=3d+printed+missile+body+tube"
"Missile Middle Body Section","Middle Keel Section","3D-printed middle section of the missile body, housing turbine and fuel tank.","mechanical","3d_printed",1,7.00,7.00,"https://www.amazon.com/s?k=3d+printed+missile+body+tube"
"Missile Rear Body Section","Blended Wing Body Rear Section","3D-printed rear section of the missile body, housing fin mounts and exhaust.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=3d+printed+missile+body+tube"
"Missile Nose Cone","Nose Cone","Aerodynamic nose cone for the missile, designed for kinetic impact.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=3d+printed+missile+nose+cone"
"Missile Fin 1","","Aerodynamic control fin for the missile.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printed+missile+fins"
"Missile Fin 2","","Aerodynamic control fin for the missile.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printed+missile+fins"
"Missile Fin 3","","Aerodynamic control fin for the missile.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printed+missile+fins"
"Missile Fin 4","","Aerodynamic control fin for the missile.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printed+missile+fins"
"Fin Servo Mounts","Finger Servo Mounts","Internal 3D-printed mounts for the fin control servos.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printed+servo+mounts"
"Front Electronics Tray","Electronics Tray","3D-printed internal tray for mounting flight controller, GPS, and comm module.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=3d+printed+electronics+tray"
"M2 Missile Screws","M2 Hex Head Screws","Small screws for mounting internal electronics and securing body sections.","mechanical","misc",12,0.10,1.20,"https://www.amazon.com/s?k=m2+hex+screws"
"M3 Missile Standoffs","M3 Nylon Standoffs Assortment","Nylon standoffs for mounting components to the internal electronics tray.","mechanical","misc",4,0.20,0.80,"https://www.amazon.com/s?k=m3+nylon+standoffs"
"Missile Launch Rail","10mm Diameter Aluminum Rod (1m)","Aluminum rod serving as the primary launch rail for the missile.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=10mm+aluminum+rod+1m"
"Launch Rail Base Plate","Plywood Sheet (30x30cm)","Stable base for mounting the launch rail.","mechanical","structural",1,8.00,8.00,"https://www.homedepot.com/s/plywood+sheet+30x30cm"
"Rail Mount Bracket","MCU Mount Bracket","Bracket to securely attach the launch rail to the base plate.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=3d+printed+rail+mount"
"Missile Rail Guides","Missile Guide Rails","Small 3D-printed guides attached to the missile body to slide along the launch rail.","mechanical","3d_printed",2,0.50,1.00,"https://www.amazon.com/s?k=3d+printed+rail+guides"
"Separate Radar Enclosure","Rain Sensor Enclosure","Compact housing for the radar module, MCU, and battery.","mechanical","enclosure",1,5.00,5.00,"https://www.amazon.com/s?k=3d+printed+small+enclosure"
"M2 Radar Standoffs","M2 Nylon Standoffs Assortment","Mounts radar MCU and module inside the radar enclosure.","mechanical","misc",4,0.10,0.40,"https://www.amazon.com/s?k=m2+nylon+standoffs"
