Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Development Board","EVAL BOARD FOR ESP-WROOM-32","electrical","mcu",1,8.00,8.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32D/9356990"
"Trigger Micro Switch","Omron SS-5GL Microswitch","","electrical","sensor",1,1.50,1.50,"https://www.digikey.com/en/products/result?keywords=omron+ss-5gl"
"Main LiPo Battery","4S 14.8V 2200mAh LiPo Battery","Primary power source for the right boot's actuators and electronics.","electrical","power",1,35.00,35.00,"https://www.amazon.com/s?k=4s+14.8v+lipo+battery+2200mah"
"5V Step-Down Converter","MP1584EN DC-DC Buck Converter Module","Steps down 12V to 5V for powering the MCU and sensors.","electrical","power",1,3.00,3.00,"https://www.amazon.com/s?k=MP1584EN+buck+converter"
"Safety Selector Switch","SPDT Slide Switch","Slide switch for overall device power control.","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=SPDT+slide+switch"
"Main Receiver Body","Main Receiver Body","Main housing for the internal mechanism, connecting stock, barrel, and magazine. Designed for spring-piston system.","mechanical","3d_printed",1,15.00,15.00,"https://www.amazon.com/s?k=PETG+filament"
"Buttstock","Buttstock","Ergonomic buttstock for shoulder support, attaches to the main receiver.","mechanical","3d_printed",1,7.50,7.50,"https://www.amazon.com/s?k=PETG+filament"
"Handguard","Handguard","Protects the barrel and provides a grip area for the forward hand.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=PETG+filament"
"Outer Barrel","Aluminum Pipe","Structural outer barrel housing for the inner barrel, contributes to rifle aesthetic.","mechanical","structural",1,12.00,12.00,"https://www.amazon.com/s?k=20mm+aluminum+pipe+500mm"
"Inner Barrel","Brass Tube","Smooth bore inner barrel for projectile guidance and accuracy. Critical for gel ball flight.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=7.5mm+brass+tube+480mm"
"Pistol Grip","Pistol Grip","Ergonomic grip for the primary firing hand, attaches to the receiver.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=PETG+filament"
"Trigger Box Housing","Trigger Housing","Internal housing for the trigger mechanism components and switch.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"Trigger Component","Trigger Component","User-actuated trigger lever, designed to activate the trigger switch and firing pin mechanism.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PETG+filament"
"Main Spring Guide","Spring Guide","Guides the main spring during compression and decompression within the piston assembly.","mechanical","3d_printed",1,0.90,0.90,"https://www.amazon.com/s?k=PETG+filament"
"Piston Head","Piston Head","Seals the air cylinder and pushes air to propel the gel ball. Designed for high impact.","mechanical","3d_printed",1,0.75,0.75,"https://www.amazon.com/s?k=ABS+filament"
"Piston Body","Piston Body","Houses the piston head and connects to the sear mechanism.","mechanical","3d_printed",1,1.20,1.20,"https://www.amazon.com/s?k=ABS+filament"
"Air Cylinder Sleeve","PVC Pipe","Forms the air compression chamber for the piston, providing smooth movement.","mechanical","structural",1,3.00,3.00,"https://www.homedepot.com/s/22mm+PVC+pipe"
"Main Firing Spring","Compression Spring","High-power compression spring to drive the piston for gel ball propulsion.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=high+power+compression+spring+18x120mm"
"Magazine Body","Magazine Body","Holds the gel balls and internal feeding mechanism for bottom-fed magazine.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=PETG+filament"
"Magazine Follower","Magazine Follower","Pushes gel balls up the magazine channel towards the feeding mechanism.","mechanical","3d_printed",1,0.60,0.60,"https://www.amazon.com/s?k=PETG+filament"
"Magazine Spring","Magazine Spring","Compression spring for the magazine follower, ensuring consistent gel ball feeding.","mechanical","mechanism",1,2.50,2.50,"https://www.amazon.com/s?k=gel+blaster+magazine+spring"
"Charging Handle","Charging Handle (FDM)","User interface to manually cock the spring-piston mechanism.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"Hop-Up Unit","Hop-Up Unit","Applies backspin to gel balls for increased range and accuracy. Attaches to the inner barrel.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=PETG+filament"
"Barrel Stabilizer Ring","Barrel Stabilizer Ring","Keeps the inner barrel centered within the outer barrel to reduce wobble and improve accuracy.","mechanical","3d_printed",2,0.50,1.00,"https://www.amazon.com/s?k=PLA+filament"
"M3 Mounting Screws","M3x12mm Hex Socket Screws","General purpose M3 screws for assembling 3D printed and off-the-shelf components.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/s?k=m3x12mm+hex+socket+screws"
"M3 Nuts","M3 Hex Nuts","Standard M3 nuts for securing bolted connections.","mechanical","misc",20,0.02,0.40,"https://www.amazon.com/s?k=m3+hex+nuts"
"M3 Heat-Set Inserts","M3 Threaded Heat Set Inserts","Brass inserts for durable threaded connections in 3D printed parts.","mechanical","misc",15,0.10,1.50,"https://www.amazon.com/s?k=m3+heat+set+inserts"
"Battery Tray","Battery Tray","Secures the LiPo battery pack within the stock or receiver, preventing movement.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=PETG+filament"
"MCU Mount","MCU Mount","Mounting plate for the main microcontroller board inside the receiver.","mechanical","3d_printed",1,0.70,0.70,"https://www.amazon.com/s?k=PLA+filament"
"Buck Converter Mount","Buck Converter Mount","Small mount for securing the buck converter.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PLA+filament"
"Safety Switch Mount","Safety Switch Mount","Housing for the safety selector switch, integrated into the receiver side.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=PETG+filament"
