Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Robot Controller","ESP32-C3-DevKitM-1","Compact development board based on ESP32-C3 for controlling LEDs and reading drawer sensors.","electrical","mcu",1,7.00,7.00,"https://www.digikey.com/en/products/result?keywords=ESP32-C3-DevKitM-1"
"Orientation IMU","MPU-6050 Module","Provides acceleration and angular velocity data for orientation and dead reckoning.","electrical","sensor",1,3.50,3.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxgcdSkl9UKGs3ipDkPdEBBZkPTQvRUg2t3B5eT2rZtb9aEjvfdLVKIN12oC2Imkne2cuxTTnv72j1fLyS53RWbMiSLDVojsHjZNSUscddHoFwgVwXezttyJ87DmVLuUWoKhvbLZY4JsAHOgxYAwsLnlqhFD9b3a6ZMdszuomlBeLrJYZV1M7BfXaP7FpyzVVbQJtGaXDTYMSI9Rsf0KM4NQWDrNDrNz87hTcVR3s0b4H3Gb2f1mvZmp3VHwaBpM0iVgqcF3471K09HRuqBdGCUPFJXRUJxdTArHq2YDHKJKdsFFcvWY4NJajuqGdTYPjurzjQQ5AsS2n6GHBKxF8RxRdsUCpV2rKicmFlBEQrX7IInKMIxyeswYitlRvOKJMpkeNEfGnZYXvg5aHFw15t6BSg8SvzIqIkXOYQjcRwlUiLwTFaUFsfTHOBYZeuc3Y2yiqdL4BsBs9dIP4eAIIzyVYkLeIHJwniodoogAXx0sdJDBIp9SmJvuYMOuIjgP13dzxPvCmKybuZ49OOeJMaCIfZHzuqY4yJRdC9DIbFIV4O7ZjKndrbwkFO97xVYzITRxZOYR2xehO20yagwGjMT3ESteyo8e9sW6MidMToLpCQkmo38wBWQ7UA9cgpLnqbxvtcpy9ICwFGAtKTIz2P5w7"
"Main LiPo Battery","3.7V 1000mAh LiPo Battery","Rechargeable Lithium Polymer battery, 3.7V nominal voltage.","electrical","power",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxR5DvVv1UbFJXBwZAgO98s8YEnTJAgiICBjOBstQ3MtBXXOvoSaPu94TGVEMOu1RUuLKmlkv7gfQIYFbjyp7e7UztATTWeBjwvG8etwATk6jmnWVnWEu6C9I6KHJjFZvfnf47uMkCRo5qFUJoYdMVmywlp4mndae0seMMZ4xBce6bjMvd2LjTrCjiNyE9SYlLO71FhlQTUjFnmlmcKuxTlfyqdA22NP6mAHVECmJIalynn5pihJomMlWfdCpXHQOEL2MGVfD82bEia3JFv9Ohx8EXJD9hGWMsRaxMkSlQKN4F579Idkv9L5W9x4lnacl380hbTMo89ANBLGlG75kmFVsDUIj0AoC3xV3ouJmb1URomSuKHke1Yd5eXVxpDGkKEDV9Do5E5AgGYckFrnuay7SEqT15UyshzM0DD38F7cH7tgkfyMx9TlF5tw1Om2Hjy9fIRS4atHBlZsUXNM80hzmvy0JFg9cSqsT4E7fpRaXvMzmzfovwZjjmrlXFYYFZAnDIZKMrYRh9JSx1fsY94g9KDeY5kXNRLYWUe5C9QPh3qCEGK6GDj9NEIjvrQ9wwVG9J5aTbaBDKw9OQuaTKh9A9Z5Q4WwQk2aRWd7gDvEI6nNcP89cl5NEzUdWWSuNJSIvmKvjkHgTPsKiX564Q7rd"
"LiPo Charging Module","TP4056 Micro USB LiPo Charger","Module for charging the LiPo battery via Micro USB.","electrical","power",1,1.50,1.50,"https://www.adafruit.com/product/1304"
"5V Step-Up/Down Regulator","LM2596 DC-DC Buck-Boost Converter","Regulates battery voltage to a stable 5V for servos and ESP32 5V rail.","electrical","power",1,4.00,4.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jya3ALya4a6IKo3lZJ9bACWYlM0UkYoMWTicQHsX5Nmk8dgPViKYXK3hKMzNxrT4ZpGdrsOGJ6SYMOpWDM9urkpZU7PUxplml2U7LkrV5xv8QZcox55UewlysgOczBetkpz75DCCzENtdmjrO00t25VYvTukhEhNnASWaO7QI1tNDtF2MZFECD4NMKG8eAYliqSHTrGTFZC0Pj3vGBuyWycxKmlmNLUEtMdPRYOQIsHgZ1lCXEs5bcinLVvu9OZfWRhiu5MlWIYZiyLe9Hf1036Z06AFTpb3ZVNYmDtYZ36rB6LIYJwOSb8PNeAVhfGsAQZqA16gKATv72RpgkvE70eRIO6Ozlk3u5evQEICgnpYOqo4HhozErJEudsIsMMwvBKQTPfcGZKjzfxdo0W7lAtWfxIdq6fcK5OEnwhEOdUM1USuJ0hL0icWvFQ21iBpYI2wXww6JtecSSuTs2ur8DrEFxnI27vn3rY8KTQc9ozTvucl5oBsU4YGYIWFtOPjeZxaJmLNdXOz15QvmPwDN3dXcXLEUjN2v4U1PScq4SZKVJ1sKOTD5H6KAgjmLRWY1JoOhLt8l3WS2xcirdEgN3fNKChpsQbkB2VgBKk1DMeWXvyo1UnKldraySpD7ywIUO0ZCNsz5lgiYrtvjiq4SkPbN"
"Servo Driver PWM Controller","PCA9685 16-Channel 12-bit PWM Servo Driver","Controls up to 16 servos via I2C, offloading PWM generation from the MCU.","electrical","module",1,6.00,6.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxH15xLnu3BYDfIlJjYAnwqQVRgyW9B8qRHZ607MUrY5PEotZmJYDhRDOJ5otWtphsTCYvTieC4XbfuHj37Q4qE9hEnlv1261kPJgoqY2dF7ftxcMTIy0SCGPCTiboVp4rVDm2CvePsXiWjkpLAHGNJqZiD1xVOEHP4ENKz4Z1yYIW7rJorEZyXK1GOvxkTePJyHbgawZ8Nc7umJrdY3KraL27sfevPVelRLqcwijPnJIHAnTgT8QNrctIFKHrDFxHlLYIZvmFPeQE1irUdpAIwgD9nHdD23jjEXyf6GbpKlXrS8w9N4ymw79zpW72NHVDhZUeLrPp2WFQacljluAz9VnmF933lVldtrUgITX5L8XtArOufguvkF8MArhMG1vsdyn5rXjH0jWvOaSySK3dPHAF2jAlSZLQxaPKVpeVV2jAi4mHoTr5jXMthk4l0bZGOnSA9zQYpfxHMAFkWplOtfp0gevMWoH0kEe4MdOBjOVsJvr1GQrVKZmChBsmrkkUUXsuume3q4ZxVoc9o05TR0xE7sVwk8aivY7BTw6pRvorJjAczXbJUOiZXEwyXj8LAjB1ePmCZ8KZimuCThSnNrhhYAgTNBeRADbqbx9NPIRCCasVeThOWSghzGj3tJ8VZh57k1Q2R3mVmM0ZqmesnMf"
"Head Pan Servo","SG90 Micro Servo Motor","Small and lightweight servo motor, commonly used for steering in small robots.","electrical","actuator",1,2.50,2.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw8lzcOrtLTvgqNE4A9PsQ5QJFVl6NB9iN4vYpDTxpNG2t32KXiyf3qgDEKKn0sisxUAZFO4HZUzwxhCMYJOIZmvTeXninPibZKyUqwCZLOxVfi2DYYXvws7lHXmNp5BNm2wfE3YzYnKJINvrrfbjDaxoYJ65CVuA8TINbg8824ohuPIVRyJy43YArl3t0neu9DjMiqI5ospebfvjUd8goIdfCq0E5fOtowaPLXnT5QDc5CbURTmiBm8FLVeWG90QtQkzKuZ2inZHxEZSEfsK1y8C4v75FQDTuxdcbOz1EGGAt98srhGZfydgo62sjYDNrlB09MU1rlCjLJiAIxOG8MNgRPIYwyS5PwvgHxAJYESzrjOIT1tdUC53torf147TPQTQgLTQyxq1zJBHKVay5xv8fBnGFfaotvcXjqBbkexeFmoRlI3Ya0Fd2DBHnECFqZYL4yMZFiXGKgtimi5UHZaR8Z96Xu76TH02IBcIFfoqNhbK3Ve8oQhhtG6CXKF6nznhfWU5D5LTARO8HTugmYNzKiWQMQw8evzbvJJYzGAzuT3elaxDg2kODRGQiIEFGiXyg9BkeMDnpg3cQTsVmNpOiH5I0017BJJUWGh5XNsTd1uppXoliOF0aOWq4MqilukoX7ovUo1w1UwtMLlKZS3"
"Head Tilt Servo","SG90 Micro Servo Motor","Small and lightweight servo motor, commonly used for steering in small robots.","electrical","actuator",1,2.50,2.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw8lzcOrtLTvgqNE4A9PsQ5QJFVl6NB9iN4vYpDTxpNG2t32KXiyf3qgDEKKn0sisxUAZFO4HZUzwxhCMYJOIZmvTeXninPibZKyUqwCZLOxVfi2DYYXvws7lHXmNp5BNm2wfE3YzYnKJINvrrfbjDaxoYJ65CVuA8TINbg8824ohuPIVRyJy43YArl3t0neu9DjMiqI5ospebfvjUd8goIdfCq0E5fOtowaPLXnT5QDc5CbURTmiBm8FLVeWG90QtQkzKuZ2inZHxEZSEfsK1y8C4v75FQDTuxdcbOz1EGGAt98srhGZfydgo62sjYDNrlB09MU1rlCjLJiAIxOG8MNgRPIYwyS5PwvgHxAJYESzrjOIT1tdUC53torf147TPQTQgLTQyxq1zJBHKVay5xv8fBnGFfaotvcXjqBbkexeFmoRlI3Ya0Fd2DBHnECFqZYL4yMZFiXGKgtimi5UHZaR8Z96Xu76TH02IBcIFfoqNhbK3Ve8oQhhtG6CXKF6nznhfWU5D5LTARO8HTugmYNzKiWQMQw8evzbvJJYzGAzuT3elaxDg2kODRGQiIEFGiXyg9BkeMDnpg3cQTsVmNpOiH5I0017BJJUWGh5XNsTd1uppXoliOF0aOWq4MqilukoX7ovUo1w1UwtMLlKZS3"
"Torso Yaw Servo","SG90 Micro Servo Motor","Small and lightweight servo motor, commonly used for steering in small robots.","electrical","actuator",1,2.50,2.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw8lzcOrtLTvgqNE4A9PsQ5QJFVl6NB9iN4vYpDTxpNG2t32KXiyf3qgDEKKn0sisxUAZFO4HZUzwxhCMYJOIZmvTeXninPibZKyUqwCZLOxVfi2DYYXvws7lHXmNp5BNm2wfE3YzYnKJINvrrfbjDaxoYJ65CVuA8TINbg8824ohuPIVRyJy43YArl3t0neu9DjMiqI5ospebfvjUd8goIdfCq0E5fOtowaPLXnT5QDc5CbURTmiBm8FLVeWG90QtQkzKuZ2inZHxEZSEfsK1y8C4v75FQDTuxdcbOz1EGGAt98srhGZfydgo62sjYDNrlB09MU1rlCjLJiAIxOG8MNgRPIYwyS5PwvgHxAJYESzrjOIT1tdUC53torf147TPQTQgLTQyxq1zJBHKVay5xv8fBnGFfaotvcXjqBbkexeFmoRlI3Ya0Fd2DBHnECFqZYL4yMZFiXGKgtimi5UHZaR8Z96Xu76TH02IBcIFfoqNhbK3Ve8oQhhtG6CXKF6nznhfWU5D5LTARO8HTugmYNzKiWQMQw8evzbvJJYzGAzuT3elaxDg2kODRGQiIEFGiXyg9BkeMDnpg3cQTsVmNpOiH5I0017BJJUWGh5XNsTd1uppXoliOF0aOWq4MqilukoX7ovUo1w1UwtMLlKZS3"
"Right Shoulder Pitch Servo","SG90 Micro Servo Motor","Small and lightweight servo motor, commonly used for steering in small robots.","electrical","actuator",1,2.50,2.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw8lzcOrtLTvgqNE4A9PsQ5QJFVl6NB9iN4vYpDTxpNG2t32KXiyf3qgDEKKn0sisxUAZFO4HZUzwxhCMYJOIZmvTeXninPibZKyUqwCZLOxVfi2DYYXvws7lHXmNp5BNm2wfE3YzYnKJINvrrfbjDaxoYJ65CVuA8TINbg8824ohuPIVRyJy43YArl3t0neu9DjMiqI5ospebfvjUd8goIdfCq0E5fOtowaPLXnT5QDc5CbURTmiBm8FLVeWG90QtQkzKuZ2inZHxEZSEfsK1y8C4v75FQDTuxdcbOz1EGGAt98srhGZfydgo62sjYDNrlB09MU1rlCjLJiAIxOG8MNgRPIYwyS5PwvgHxAJYESzrjOIT1tdUC53torf147TPQTQgLTQyxq1zJBHKVay5xv8fBnGFfaotvcXjqBbkexeFmoRlI3Ya0Fd2DBHnECFqZYL4yMZFiXGKgtimi5UHZaR8Z96Xu76TH02IBcIFfoqNhbK3Ve8oQhhtG6CXKF6nznhfWU5D5LTARO8HTugmYNzKiWQMQw8evzbvJJYzGAzuT3elaxDg2kODRGQiIEFGiXyg9BkeMDnpg3cQTsVmNpOiH5I0017BJJUWGh5XNsTd1uppXoliOF0aOWq4MqilukoX7ovUo1w1UwtMLlKZS3"
