Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","Arduino Nano Every","Compact microcontroller for safety monitoring and basic system control.","electrical","mcu",1,12.00,12.00,"https://www.digikey.com/en/products/result?keywords=arduino+nano+every"
"High Voltage Power Supply","Neon Sign Transformer (NST) 15kV, 30mA","Step-up transformer providing high voltage AC for the primary circuit.","electrical","power",1,50.00,50.00,"https://www.amazon.com/s?k=neon+sign+transformer+15kv"
"Input Power Variac","Variable AC Transformer 5A","Adjustable AC transformer to control the input voltage and power level.","electrical","power",1,60.00,60.00,"https://www.amazon.com/s?k=variac+5a"
"Primary Capacitor Bank","High Voltage Film Capacitor Bank (e.g., 6x 0.1uF 2kV)","Bank of capacitors storing energy for discharge into the primary coil.","electrical","other",1,30.00,30.00,"https://www.digikey.com/en/products/result?keywords=high+voltage+film+capacitor+0.1uf+2kv"
"Static Spark Gap","Adjustable Static Spark Gap Electrodes","Adjustable electrodes that break down and conduct high voltage, initiating oscillation.","electrical","other",1,15.00,15.00,"https://www.amazon.com/s?k=spark+gap+electrodes"
"Main Power Control Relay","Solid State Relay 25A DC-AC","Switches AC power to the HVPS based on MCU commands and safety interlocks.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=solid+state+relay+25a+dc+ac"
"Emergency Stop Button","Mushroom Head Emergency Stop Switch NO/NC","Normally closed switch to immediately cut power for safety.","electrical","sensor",1,8.00,8.00,"https://www.amazon.com/s?k=emergency+stop+button+nc"
"Safety Key Switch","Key Lock Switch SPST","Key-operated switch to arm/disarm the system, preventing accidental operation.","electrical","sensor",1,7.00,7.00,"https://www.amazon.com/s?k=key+lock+switch+spst"
"Ballast Inductor","High Voltage Current Limiting Inductor (e.g., 100-200mH)","Limits current from the HVPS to prevent damage during spark gap firing.","electrical","other",1,20.00,20.00,"https://www.digikey.com/en/products/result?keywords=high+voltage+inductor+200mh"
"Acrylic Base Plate","Cast Acrylic Sheet 300x200x5mm","Non-conductive base for mounting all components.","mechanical","structural",1,15.00,15.00,"https://www.amazon.com/s?k=acrylic+sheet+300x200x5mm"
"PVC Secondary Coil Form","PVC Pipe 100mm ID x 250mm L","Insulating form for winding the secondary coil.","mechanical","structural",1,8.00,8.00,"https://www.homedepot.com/s/pvc%2520pipe%2520100mm"
"Acrylic Support Rods","Acrylic Rod 10mm Dia x 200mm L","Supports for the secondary coil assembly and safety enclosure.","mechanical","structural",4,3.00,12.00,"https://www.amazon.com/s?k=acrylic+rod+10mm"
"Non-Conductive Top Load Rod","Delrin Rod 10mm Dia x 150mm L","Insulating rod connecting the spherical top load to the secondary coil.","mechanical","structural",1,5.00,5.00,"https://www.amazon.com/s?k=delrin+rod+10mm"
"Stainless Steel Top Load Sphere","Stainless Steel Hollow Sphere 50mm","Capacitive terminal at the top of the secondary coil for enhanced output.","mechanical","mechanism",1,10.00,10.00,"https://www.amazon.com/s?k=stainless+steel+hollow+sphere+50mm"
"Acrylic Safety Panels","Cast Acrylic Sheet 200x200x3mm","Transparent panels to enclose the high-voltage components for safety.","mechanical","enclosure",3,8.00,24.00,"https://www.amazon.com/s?k=acrylic+sheet+200x200x3mm"
"M3 Nylon Standoffs","Nylon M3 Standoffs Assortment","Insulating standoffs for mounting PCBs and other small components.","mechanical","misc",20,0.20,4.00,"https://www.amazon.com/s?k=m3+nylon+standoffs"
"M3 Screws and Nuts","M3 Stainless Steel Screw Assortment","General purpose fasteners for assembling mechanical and electrical components.","mechanical","misc",50,0.10,5.00,"https://www.amazon.com/s?k=m3+stainless+steel+screws+nuts"
"M4 Screws and Nuts","M4 Stainless Steel Screw Assortment","Heavier duty fasteners for mounting larger components like the variac or HVPS.","mechanical","misc",10,0.15,1.50,"https://www.amazon.com/s?k=m4+stainless+steel+screws+nuts"
"HVPS Mounting Bracket","","Custom bracket to securely mount the High Voltage Power Supply.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=3d+printing+service"
"Variac Mounting Bracket","","Custom bracket to securely mount the Input Power Variac.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=3d+printing+service"
"Capacitor Bank Mount","Capacitor Bank Mount","Mounting bracket for the Primary Capacitor Bank.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printing+service"
"MCU Enclosure/Mount","","Small enclosure to protect and mount the Main Controller (Arduino Nano).","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printing+service"
"Adjustable Spark Gap Mount","","Mount with adjustment mechanism for the static spark gap electrodes.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=3d+printing+service"
"Primary Coil Support Ring","","Insulating ring to support the primary coil windings around the secondary coil base.","mechanical","3d_printed",1,1.80,1.80,"https://www.amazon.com/s?k=3d+printing+service"
"Secondary Coil Base Mount","","Mount for securing the PVC secondary coil form to the base plate.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=3d+printing+service"
"Secondary Coil Top Mount","","Mount for attaching the top load rod to the top of the secondary coil form.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printing+service"
"Control Panel Mounts","","Mounts for the E-stop and Key Switch on an enclosure panel.","mechanical","3d_printed",2,0.80,1.60,"https://www.amazon.com/s?k=3d+printing+service"
