Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D","Main processing unit for Wi-Fi/Bluetooth communication, data analysis, display/input management, and interface with other RF modules.","electrical","mcu",1,8.00,8.00,"https://www.digikey.com/en/products/result?keywords=ESP32-WROOM-32D"
"OLED Display","SSD1306 0.96 inch OLED Display","Small, low-power OLED screen for displaying network information, scan results, menus, and battery level.","electrical","display",1,5.00,5.00,"https://www.amazon.com/s?k=SSD1306+0.96+inch+OLED+display"
"Up Navigation Button","6x6x5mm Tactile Switch","Tactile button for 'up' navigation in menus or parameter adjustment.","electrical","module",1,0.20,0.20,"https://www.amazon.com/s?k=6x6x5mm+tactile+switch"
"Down Navigation Button","6x6x5mm Tactile Switch","Tactile button for 'down' navigation in menus or parameter adjustment.","electrical","module",1,0.20,0.20,"https://www.amazon.com/s?k=6x6x5mm+tactile+switch"
"Left Navigation Button","6x6x5mm Tactile Switch","Tactile button for 'left' navigation in menus or parameter adjustment.","electrical","module",1,0.20,0.20,"https://www.amazon.com/s?k=6x6x5mm+tactile+switch"
"Right Navigation Button","6x6x5mm Tactile Switch","Tactile button for 'right' navigation in menus or parameter adjustment.","electrical","module",1,0.20,0.20,"https://www.amazon.com/s?k=6x6x5mm+tactile+switch"
"Select/Action Button","6x6x5mm Tactile Switch","Tactile button for 'select' or 'action' confirmation.","electrical","module",1,0.20,0.20,"https://www.amazon.com/s?k=6x6x5mm+tactile+switch"
"LiPo Battery","3.7V 1000mAh LiPo Battery","Rechargeable power source for portable operation, with voltage monitoring capability.","electrical","power",1,10.00,10.00,"https://www.digikey.com/en/products/result?keywords=3.7V%201000mAh%20LiPo%20Battery"
"LiPo Charging Module","TP4056 LiPo Charger Module","Manages charging of the LiPo battery from a USB 5V source and provides regulated output.","electrical","power",1,2.00,2.00,"https://www.amazon.com/s?k=TP4056+LiPo+charger+module"
"3.3V Step-Down Regulator","AMS1117-3.3 Linear Regulator","Provides stable 3.3V power to all components from the LiPo battery output.","electrical","power",1,1.00,1.00,"https://www.amazon.com/s?k=AMS1117-3.3+regulator"
"External Wi-Fi/BT Antenna","2.4GHz IPEX U.FL Antenna","External antenna connected to the ESP32 for improved Wi-Fi and Bluetooth signal range and reliability.","electrical","other",1,3.00,3.00,"https://www.amazon.com/s?k=2.4GHz+IPEX+U.FL+Antenna"
"Sub-GHz RF Transceiver","CC1101 RF Module 433MHz","Enables communication on sub-GHz frequencies for capturing and transmitting various radio signals.","electrical","module",1,12.00,12.00,"https://www.amazon.com/s?k=CC1101+RF+module+433MHz"
"NFC/RFID Module","PN532 NFC RFID Module","Provides Near Field Communication and RFID capabilities for interacting with compatible tags and devices.","electrical","module",1,15.00,15.00,"https://www.amazon.com/s?k=PN532+NFC+RFID+module"
"Sub-GHz Antenna","433MHz Helical Antenna","Antenna specifically tuned for the 433MHz band to enhance the performance of the sub-GHz RF module.","electrical","other",1,2.00,2.00,"https://www.amazon.com/s?k=433MHz+helical+antenna"
"Main Enclosure Top Half","Main Enclosure Top","Top half of the compact handheld enclosure, designed with openings for the OLED display, multiple buttons, and antenna ports.","mechanical","3d_printed",1,12.00,12.00,"https://www.amazon.com/s?k=3d+printing+service"
"Main Enclosure Bottom Half","Main Enclosure Bottom","Bottom half of the compact handheld enclosure, includes internal mounting features for electrical components and a cutout for the USB charging port.","mechanical","3d_printed",1,12.00,12.00,"https://www.amazon.com/s?k=3d+printing+service"
"MCU Standoffs","MCU Standoffs","Small 3D-printed standoffs to elevate and secure the main MCU board within the enclosure.","mechanical","3d_printed",4,0.50,2.00,"https://www.amazon.com/s?k=3d+printing+service"
"OLED Display Mount","OLED Display Mount","Custom frame to securely hold the OLED display in position behind its window in the top enclosure half.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printing+service"
"Button Array Frame","Shoulder Button Array","Integrated frame to hold the five tactile buttons securely in the main enclosure top half.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=3d+printing+service"
"LiPo Battery Holder","3S LiPo Battery Holder","Internal tray to secure the LiPo battery and prevent movement inside the enclosure.","mechanical","3d_printed",1,1.80,1.80,"https://www.amazon.com/s?k=3d+printing+service"
"Charger & Regulator Mount","Voltage Regulator Mount","Combined mount for the LiPo charging module and the 3.3V step-down regulator.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printing+service"
"Wi-Fi/BT Antenna Port","Wi-Fi/Bluetooth Antenna","Mount to secure the external Wi-Fi/BT antenna's U.FL connector or a small panel-mount adapter to the enclosure.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=3d+printing+service"
"Sub-GHz Module Mount","SDR Module Mount","Mount for the Sub-GHz RF transceiver module.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=3d+printing+service"
"NFC Module Mount","Mic Module Mount","Mount for the NFC/RFID module, allowing it to be positioned near the enclosure surface for card interaction.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printing+service"
"Sub-GHz Antenna Port","Antenna Port Gaskets","Mount to secure the external Sub-GHz antenna to the enclosure.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=3d+printing+service"
"M2 Heat-Set Inserts","M2 Brass Heat Set Inserts","Brass heat-set inserts for creating robust M2 threads in 3D printed parts for component mounting.","mechanical","misc",12,0.10,1.20,"https://www.amazon.com/s?k=M2+brass+heat+set+inserts"
"M2x4mm Pan Head Screws","M2x4mm Pan Head Machine Screws","Small screws for attaching electrical modules (MCU, display, RF modules) to their 3D-printed mounts.","mechanical","misc",12,0.05,0.60,"https://www.amazon.com/s?k=M2x4mm+pan+head+screws"
"M3 Heat-Set Inserts","M3 Brass Heat Set Inserts","Brass heat-set inserts for creating robust M3 threads in 3D printed parts for case assembly.","mechanical","misc",4,0.15,0.60,"https://www.amazon.com/s?k=M3+brass+heat+set+inserts"
"M3x8mm Button Head Screws","M3x8mm Button Head Machine Screws","Screws for assembling the top and bottom halves of the main enclosure.","mechanical","misc",4,0.08,0.32,"https://www.amazon.com/s?k=M3x8mm+button+head+screws"
