Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main WiFi Controller","ESP32-S3-DevKitC-1-N8R2","ESP32-S3 development board with Wi-Fi, Bluetooth LE, and USB-C for power and programming. Handles sound processing and LED control.","electrical","mcu",1,12.00,12.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-DevKitC-1-N8R2/15312389"
"RF Front-End Module","SKY66420-11","Integrated RF Front-End Module (FEM) with Power Amplifier (PA) and Low Noise Amplifier (LNA) to extend Wi-Fi range to 500m+.","electrical","module",1,3.50,3.50,"https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SKY66420-11/10464673"
"Graphene Antenna 2.4GHz","Custom Graphene Coated Antenna","","electrical","module",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=2.4GHz+graphene+antenna"
"Graphene Antenna 5GHz","Custom Graphene Coated Antenna","","electrical","module",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=5GHz+graphene+antenna"
"USB-C Power Input","USB-C Jack (Female)","","electrical","power",1,1.00,1.00,"https://www.digikey.com/en/products/result?keywords=usb-c+female+connector"
"5V Voltage Regulator","LM1117-5.0","Second stage for logic power, stabilizes to 5.0V.","electrical","power",1,0.50,0.50,"https://www.digikey.com/en/products/detail/stmicroelectronics/LM1117-5.0V/251341"
"3.3V Voltage Regulator","AMS1117-3.3","Low Dropout 3.3V Linear Voltage Regulator.","electrical","power",1,0.50,0.50,"https://www.digikey.com/en/products/detail/advanced-monolithic-systems/AMS1117-3.3/269179"
"Power Status LED","LED 3mm Green","Indicator for medium heat setting.","electrical","display",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=3mm+green+led"
"WiFi 2.4GHz Status LED","LED 3mm Blue","Indicator for high heat setting.","electrical","display",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=3mm+blue+led"
"WiFi 5GHz Status LED","LED 3mm Yellow","LED to indicate network activity (data transmission).","electrical","display",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=3mm+yellow+led"
"Mode Selection Button","Tactile Push Button Switch","Provides physical input for manual control or configuration of the smart switch.","electrical","module",1,0.20,0.20,"https://www.digikey.com/en/products/result?keywords=tactile+push+button+6x6"
"Enclosure Bottom Half","Enclosure Bottom Half","3D-printed bottom half of the enclosure with integrated standoffs and mounting points for main PCB and components. Designed for USB-C and button access.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Enclosure Top Half","Enclosure Top Half","3D-printed top half of the enclosure with integrated light pipes for LEDs and space for graphene antenna elements. Designed to snap or screw onto the bottom half.","mechanical","3d_printed",1,2.50,2.50,"undefined"
"PCB Standoff for Main MCU","PCB Standoff for Main MCU","Custom 3D-printed standoff integrated into the bottom enclosure for mounting the main MCU board.","mechanical","3d_printed",1,0.10,0.10,"undefined"
"RF Module Mount","RF Module Mount","Custom 3D-printed bracket for securing the RF front-end module within the enclosure.","mechanical","3d_printed",1,0.20,0.20,"undefined"
"2.4GHz Antenna Mount","2.4GHz Antenna Mount","Custom 3D-printed fixture to securely hold the 2.4GHz graphene antenna within the top enclosure half, optimizing signal path.","mechanical","3d_printed",1,0.15,0.15,"undefined"
"5GHz Antenna Mount","5GHz Antenna Mount","Custom 3D-printed fixture to securely hold the 5GHz graphene antenna within the top enclosure half, optimizing signal path.","mechanical","3d_printed",1,0.15,0.15,"undefined"
"USB-C Jack Retainer","USB-C Jack Retainer","Small 3D-printed part to retain the USB-C power jack securely against the enclosure opening.","mechanical","3d_printed",1,0.05,0.05,"undefined"
"Mode Button Actuator","Mode Button Actuator","3D-printed plunger-style button to extend the mode selection button through the enclosure for user access.","mechanical","3d_printed",1,0.08,0.08,"undefined"
"M2x6mm Mounting Screws","M2x6mm Phillips Head Screws","Small M2 screws for securing the main PCB to integrated standoffs and the enclosure halves together.","mechanical","misc",4,0.05,0.20,"https://www.amazon.com/s?k=M2x6mm+phillips+screws"
"Power Status LED Mount","Power Status LED Mount","Front-bezel mount for the Power Status LED with a flush face and rear standoffs for the PCB. Cable relief on the bottom.","mechanical","3d_printed",1,2.00,2.00,""
"WiFi 2.4GHz Status LED Mount","WiFi Status LED Mount","Front-bezel mount for the WiFi 2.4GHz Status LED with a flush face and rear standoffs for the PCB. Cable relief on the bottom.","mechanical","3d_printed",1,2.00,2.00,""
"WiFi 5GHz Status LED Mount","WiFi Status LED Mount","Front-bezel mount for the WiFi 5GHz Status LED with a flush face and rear standoffs for the PCB. Cable relief on the bottom.","mechanical","3d_printed",1,2.00,2.00,""
