Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Dev Board","Main microcontroller for flight guidance, sensor data processing, and actuator control.","electrical","mcu",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxHUQ6O5G4o7qoHEJis6EwjOejJStoz9oxzZi9lZIHPbwKWbYUBoP3e7i04iXBxEJ2CFroL0BFYHSUjaeYPho0IED3Fx3qSNwUbgsjlbANHX1Dsy0cVBJwg5imFh5XuYcESiAfMO4sz4DyLatDI9LSnNiIMfDv1qs7tuzGHI9pnrzJ5ThPn0G7rvIP8O4VevFNUZlJMezveK6YJfbSKieXDI0fafjUcmxcKn9Ri67dM1SA9Jj6gaqsErFXSlwtIkQGQZNXi292k1yzpZ9MDgsp3uYXtuGI9S2IX2bCd9PZWRql7j5So8NKktHQPLcJe6eWP2lL7ex04XjHAddgWeh7lU9MeodBTJkAHzcMGwEIYxb5boNds31rPv7t4VKaGHQOEBrzV8jOuNyAtqdMyZJQK3shiIBixOYVz7XvcUChUboBKyd0ikohjESWc6cmfL3G5VKLGSkFRpYW2Nxkz9xsDvfBGtOY0ari9dHlow8SqAIC9kEn0Cdiek2hepo7e2gDSZU0JyPX0VOtdQdyELxRXnDFA6wQjgynnS0HWVfUIxW9mUnSE11cFYrDD6CQ0RFlIN8ASEOUfuLo6DrGG05XDJRu6ek2XkOIfEfuhtRHvADkfTMDKsi4lQAZPMaIic03DvydJWGBaBJYJfCj6xzoko3"
"Bioreactor pH Sensor","Analog pH Sensor Kit BNC","Measures water pH levels for automated adjustments. Requires calibration.","electrical","sensor",1,25.00,25.00,"https://www.amazon.com/dp/B08GYF269Y?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Bioreactor Temperature Sensor","DS18B20 Waterproof Temperature Sensor","Waterproof DS18B20 temperature sensor for monitoring pillow block bearing temperature.","electrical","sensor",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JyaFkPjb63QZKoCmuxARXDkLY1Of3teSDg42cZV6siCMuuY7DHmjIM8gz2Go4oBGkbR33bH6cVH8fp25Rfl75NExqA0Kq9giFIONDYqwoIfNU2uOCBW65BCdYWD5510ybK8ZnL57bYav8UHOh5tNCv5RxUb6YhnJdZ9nUvV9GksT7ARSUDb87d8buBjhqaroQdVWJZMEQodwe3plwDHi61j0Df8oKA3MR4e4DuGTkPMfUIr1FUn8o5PDNPiqt0vkz48tAVifmny38NlbVciTeyAD4W80UFf3OwHaZKF1KaVyHqMnY3HvTjAAgvB94TRtA091V3QPVWHMnqvT7zFHnXdbIhQ9ljk5tbScsg0j6OTv1JRKMWuMXHne5wVcJdvTJnas7bzpvA2qHUji4r2h50RU4RJABEcXszzd5PFFpeH2OpAXKgqGnNLmW82DcksGW2raj9Rve0qwIbx0sx6JjddS6xnt4ypErVt6WE61kC12CVZfLu7K61dlAdWy31SWWkfZB8kjXhfhjTjSPm8zCj66gYXVTKnKuZBGZ5VWJlj1itidltGtCOJdoUEXqm1mucaQT37eWduN0u0Tyy9OwiueHifwiKpOmUc0aTOkDcoBx0KO36FD9aZRx3H2HybzU19gYg2sIdehSy0U8gXeTfTzD"
"Methane Gas Sensor","MQ-4 Methane Gas Sensor Module","Detects the concentration of methane in the purified biogas.","electrical","sensor",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxfQ3MegG5QwcuwbTpX43nYuSo7LfYAtDbJiZVdhC67s6cfKT8RstZdP227Ax9TDG7Nvmx4c3nXdrMOnylcnw6x6b2xVMcEMJI7hRJfQKdC8UUxo0tsFYmycOp1t4DFFXUENhueqR3xoRH4IkCY1zmQ190S4GqKnrHrkfaGhIkhoJiAi69NisODKCcCuXJrgIo4uKf4j9jCETooxE5xkS3w0nCG0HIJr0S9ShC6QiCRbEKOLBMLDo8qYfn3aqZOXmzr4aXp4aJ8SlSwsV02p7Cps47r5L3e0Ko02WH0iH9GUXwlFtryJ1MyPNgs5ooXNvfHQ3xjEjE1j5Q7t8cGMAd6T7mXkYUXaPF8C68Ik16mrQAZP3klGITtWaW1ZWMR3n8ZEwHHLpZ0u7743VihdAXTRpGKOCFydH0yjRMFOgGdh6zMKLKg2s3dFApyGKeZyEA7wtMSS4BDCjAZ1mkQ0h1CFMCCqTT0vUya0brWSJq3qnrYDhEFve4NVJ1cCkMJEoFMVsqBsrN7jv5mCsKhQUoJlBykCjE4dyF3e5nbyb9srveTfkhNKt0lhPS7xrg2JkyYhzjZWQDS7U2P8APotCqLIf7qbdnDvQVAeOU1tgYE5zzFmuQsAlYxNdXq5ayGa0G7GWblglq2RWcStHeWYkiu2X"
"Carbon Dioxide Gas Sensor","MH-Z19C NDIR CO2 Sensor Module","Measures CO2 levels after the water scrubbing stage to assess purification efficiency.","electrical","sensor",1,30.00,30.00,"https://www.amazon.com/s?k=MH-Z19C+CO2+sensor"
"Gas Flow Sensor","YF-S201 Water Flow Sensor (repurposed for gas)","","electrical","sensor",1,7.00,7.00,"https://www.amazon.com/s?k=YF-S201+flow+sensor"
"Gas Storage Level Sensor","HC-SR04 Ultrasonic Sensor","ULTRASONIC HC-SR04 SENSOR EASYC","electrical","sensor",1,3.00,3.00,"https://www.adafruit.com/product/4007"
"Nutrient Dosing Pump","Peristaltic Dosing Pump 12V","Dispenses precise amounts of liquid additives into the aquarium.","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/s?k=12V+peristaltic+pump"
"Algae Circulation Pump","Peristaltic Dosing Pump 12V","Dispenses precise amounts of liquid additives into the aquarium.","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/s?k=12V+peristaltic+pump"
"Bioreactor Heating Element","12V 50W Ceramic Heater Cartridge","High-temperature heating element for burning weeds.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=12V+50W+ceramic+heater+cartridge"
