Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller","ESP32-C3 Super Mini Development Board","Main microcontroller for flight control, sensor data processing, and motor command generation via WiFi.","electrical","mcu",1,4.00,4.00,"https://www.amazon.com/s?k=ESP32-C3+Super+Mini"
"Gyro/Accelerometer","MPU6050 Module","Provides 6-axis motion data (3-axis gyroscope, 3-axis accelerometer) for flight stabilization.","electrical","sensor",1,2.00,2.00,"https://www.amazon.com/s?k=MPU6050+module"
"Front Left Motor","7x16mm Coreless Brushed Motor","Brushed DC motor for propulsion (front left arm).","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=7x16mm+coreless+motor"
"Front Right Motor","7x16mm Coreless Brushed Motor","Brushed DC motor for propulsion (front right arm).","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=7x16mm+coreless+motor"
"Rear Left Motor","7x16mm Coreless Brushed Motor","Brushed DC motor for propulsion (rear left arm).","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=7x16mm+coreless+motor"
"Rear Right Motor","7x16mm Coreless Brushed Motor","Brushed DC motor for propulsion (rear right arm).","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=7x16mm+coreless+motor"
"FL Motor MOSFET ESC","SI2302 N-Channel MOSFET","N-channel MOSFET acting as a low-side switch for Front Left motor speed control via PWM.","electrical","actuator",1,0.50,0.50,"https://www.amazon.com/s?k=SI2302+MOSFET+breakout"
"FR Motor MOSFET ESC","SI2302 N-Channel MOSFET","N-channel MOSFET acting as a low-side switch for Front Right motor speed control via PWM.","electrical","actuator",1,0.50,0.50,"https://www.amazon.com/s?k=SI2302+MOSFET+breakout"
"RL Motor MOSFET ESC","SI2302 N-Channel MOSFET","N-channel MOSFET acting as a low-side switch for Rear Left motor speed control via PWM.","electrical","actuator",1,0.50,0.50,"https://www.amazon.com/s?k=SI2302+MOSFET+breakout"
"RR Motor MOSFET ESC","SI2302 N-Channel MOSFET","N-channel MOSFET acting as a low-side switch for Rear Right motor speed control via PWM.","electrical","actuator",1,0.50,0.50,"https://www.amazon.com/s?k=SI2302+MOSFET+breakout"
"Main LiPo Battery","1S 3.7V LiPo Battery","Single cell Lithium Polymer battery providing main power for the drone.","electrical","power",1,5.00,5.00,"https://www.amazon.com/s?k=1s+lipo+battery"
"Main Drone Frame","Main Drone Frame","Lightweight 3D-printed frame integrating motor arms, flight controller mount, battery tray, and ESC mounting points.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=PLA+filament"
"FL CW Propeller","40mm 0.8mm Shaft CW Propeller","Clockwise rotating propeller for the front-left motor.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/s?k=40mm+propeller+0.8mm+shaft+cw"
"FR CCW Propeller","40mm 0.8mm Shaft CCW Propeller","Counter-clockwise rotating propeller for the front-right motor.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/s?k=40mm+propeller+0.8mm+shaft+ccw"
"RL CCW Propeller","40mm 0.8mm Shaft CCW Propeller","Counter-clockwise rotating propeller for the rear-left motor.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/s?k=40mm+propeller+0.8mm+shaft+ccw"
"RR CW Propeller","40mm 0.8mm Shaft CW Propeller","Clockwise rotating propeller for the rear-right motor.","mechanical","mechanism",1,0.50,0.50,"https://www.amazon.com/s?k=40mm+propeller+0.8mm+shaft+cw"
"M2x6mm Screws","M2x6mm Self-Tapping Screws","Small screws for mounting electronics to the 3D-printed frame.","mechanical","misc",12,0.10,1.20,"https://www.amazon.com/s?k=m2x6mm+self+tapping+screws"
"Battery Velcro Strap","Mini Velcro Battery Strap","Used to secure the LiPo battery to the drone frame.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=mini+velcro+battery+strap"
