Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Flight Controller","ESP32-WROOM-32D Development Board","EVAL BOARD FOR ESP-WROOM-32","electrical","mcu",1,7.50,7.50,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32D/9356990"
"IMU Sensor","GY-9250 MPU-9250 Module","","electrical","sensor",1,12.00,12.00,"https://www.amazon.com/s?k=GY-9250+MPU-9250+Module"
"Front Left Motor","Emax ES08MAII 1806 2280KV Brushless Motor","Brushless motor for primary propulsion of the aircraft.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=Emax+1806+2280KV+Brushless+Motor"
"Front Right Motor","Emax ES08MAII 1806 2280KV Brushless Motor","Brushless motor for primary propulsion of the aircraft.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=Emax+1806+2280KV+Brushless+Motor"
"Rear Left Motor","Emax ES08MAII 1806 2280KV Brushless Motor","Brushless motor for primary propulsion of the aircraft.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=Emax+1806+2280KV+Brushless+Motor"
"Rear Right Motor","Emax ES08MAII 1806 2280KV Brushless Motor","Brushless motor for primary propulsion of the aircraft.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/s?k=Emax+1806+2280KV+Brushless+Motor"
"Front Left ESC","Racerstar 20A BLHeli_S 2-4S ESC","","electrical","module",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwRXdvVW5V6zfo2eQNNB1gFzPHf4f2h0W5IK8GSrjtIYmXhef0gyFdDKPPwc4Fv7sz8jop4dn0B8829yynWbEB6biKbBzrLMPlESWcYLLRQKLovcaJEPklzpofdyQn9eqg0Rkm9m7EKRYc9vPSRBtcNLmaozLEFvJHm4QbnwbOPU0WuepSpbBmYQQkp658raRr8KeuKDrYkKoED8Iebzu2t9SR1EvHmaGqnsVIjq130JPJz4jaHBPqssIXqZYqM6EiU84cpwQ3TRof4QxnPKadD9v4drkWQ2ngHBDYKjJCdkkjnbFzD0jnFjBFnrQj92WFzWvzovk4ka0CJA6k0j9w1DrQJvMScdDXhLixSyBYMZBcd608merlc1zM9ALR7oLEagr8JOHrgSCZetl3vECOWEuKTnuly3Nn3IDOSC5wsMgIRqhUa4iu9s4DEkYhgBJR5rw86gSQpK8GcbdHrXSzKX3IWq2ydVdgOCXDH7TF9XJD23P96HXy3go6mXSDBCRA7PYvRRk7NuKIMZQ1aiOcTe3eAZ10bo64RepzjuqnWkR5IKF690w8mcgHXLZoJ122XVYpPh4idIkijXsmQNw6TiBn39woWjQ9PT8Zwc3jKQUDk2hNrh5YjnmrwzWvbrOoEDfIClw028l0GXRsaYVcJt"
"Front Right ESC","Racerstar 20A BLHeli_S 2-4S ESC","","electrical","module",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwRXdvVW5V6zfo2eQNNB1gFzPHf4f2h0W5IK8GSrjtIYmXhef0gyFdDKPPwc4Fv7sz8jop4dn0B8829yynWbEB6biKbBzrLMPlESWcYLLRQKLovcaJEPklzpofdyQn9eqg0Rkm9m7EKRYc9vPSRBtcNLmaozLEFvJHm4QbnwbOPU0WuepSpbBmYQQkp658raRr8KeuKDrYkKoED8Iebzu2t9SR1EvHmaGqnsVIjq130JPJz4jaHBPqssIXqZYqM6EiU84cpwQ3TRof4QxnPKadD9v4drkWQ2ngHBDYKjJCdkkjnbFzD0jnFjBFnrQj92WFzWvzovk4ka0CJA6k0j9w1DrQJvMScdDXhLixSyBYMZBcd608merlc1zM9ALR7oLEagr8JOHrgSCZetl3vECOWEuKTnuly3Nn3IDOSC5wsMgIRqhUa4iu9s4DEkYhgBJR5rw86gSQpK8GcbdHrXSzKX3IWq2ydVdgOCXDH7TF9XJD23P96HXy3go6mXSDBCRA7PYvRRk7NuKIMZQ1aiOcTe3eAZ10bo64RepzjuqnWkR5IKF690w8mcgHXLZoJ122XVYpPh4idIkijXsmQNw6TiBn39woWjQ9PT8Zwc3jKQUDk2hNrh5YjnmrwzWvbrOoEDfIClw028l0GXRsaYVcJt"
"Rear Left ESC","Racerstar 20A BLHeli_S 2-4S ESC","","electrical","module",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwRXdvVW5V6zfo2eQNNB1gFzPHf4f2h0W5IK8GSrjtIYmXhef0gyFdDKPPwc4Fv7sz8jop4dn0B8829yynWbEB6biKbBzrLMPlESWcYLLRQKLovcaJEPklzpofdyQn9eqg0Rkm9m7EKRYc9vPSRBtcNLmaozLEFvJHm4QbnwbOPU0WuepSpbBmYQQkp658raRr8KeuKDrYkKoED8Iebzu2t9SR1EvHmaGqnsVIjq130JPJz4jaHBPqssIXqZYqM6EiU84cpwQ3TRof4QxnPKadD9v4drkWQ2ngHBDYKjJCdkkjnbFzD0jnFjBFnrQj92WFzWvzovk4ka0CJA6k0j9w1DrQJvMScdDXhLixSyBYMZBcd608merlc1zM9ALR7oLEagr8JOHrgSCZetl3vECOWEuKTnuly3Nn3IDOSC5wsMgIRqhUa4iu9s4DEkYhgBJR5rw86gSQpK8GcbdHrXSzKX3IWq2ydVdgOCXDH7TF9XJD23P96HXy3go6mXSDBCRA7PYvRRk7NuKIMZQ1aiOcTe3eAZ10bo64RepzjuqnWkR5IKF690w8mcgHXLZoJ122XVYpPh4idIkijXsmQNw6TiBn39woWjQ9PT8Zwc3jKQUDk2hNrh5YjnmrwzWvbrOoEDfIClw028l0GXRsaYVcJt"
"Rear Right ESC","Racerstar 20A BLHeli_S 2-4S ESC","","electrical","module",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwRXdvVW5V6zfo2eQNNB1gFzPHf4f2h0W5IK8GSrjtIYmXhef0gyFdDKPPwc4Fv7sz8jop4dn0B8829yynWbEB6biKbBzrLMPlESWcYLLRQKLovcaJEPklzpofdyQn9eqg0Rkm9m7EKRYc9vPSRBtcNLmaozLEFvJHm4QbnwbOPU0WuepSpbBmYQQkp658raRr8KeuKDrYkKoED8Iebzu2t9SR1EvHmaGqnsVIjq130JPJz4jaHBPqssIXqZYqM6EiU84cpwQ3TRof4QxnPKadD9v4drkWQ2ngHBDYKjJCdkkjnbFzD0jnFjBFnrQj92WFzWvzovk4ka0CJA6k0j9w1DrQJvMScdDXhLixSyBYMZBcd608merlc1zM9ALR7oLEagr8JOHrgSCZetl3vECOWEuKTnuly3Nn3IDOSC5wsMgIRqhUa4iu9s4DEkYhgBJR5rw86gSQpK8GcbdHrXSzKX3IWq2ydVdgOCXDH7TF9XJD23P96HXy3go6mXSDBCRA7PYvRRk7NuKIMZQ1aiOcTe3eAZ10bo64RepzjuqnWkR5IKF690w8mcgHXLZoJ122XVYpPh4idIkijXsmQNw6TiBn39woWjQ9PT8Zwc3jKQUDk2hNrh5YjnmrwzWvbrOoEDfIClw028l0GXRsaYVcJt"
