Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-S3 WROOM-1","ESP32-S3 WROOM-1 module for Wi-Fi, Bluetooth, display control, and processing.","electrical","mcu",1,5.00,5.00,"https://www.digikey.com/en/products/result?keywords=ESP32-S3+WROOM-1+module"
"Main Time Display","WS2812B LED Matrix","High-density WS2812B based LED matrix for time, date, and temperature display.","electrical","display",1,25.00,25.00,"https://www.amazon.com/s?k=WS2812B+LED+matrix+10x4cm"
"3.3V Voltage Regulator","AMS1117-3.3","Linear voltage regulator for 3.3V power supply to MCU and sensors.","electrical","power",1,1.00,1.00,"https://www.digikey.com/en/products/result?keywords=AMS1117+3.3V+regulator"
"ESP32-S3 Mount","","Small 3D printed standoffs integrated into the main enclosure or as a separate piece, designed to secure the ESP32-S3 board.","mechanical","3d_printed",1,0.30,0.30,"N/A - Custom Part"
"M2.5 x 8mm Phillips Screw","M2.5x8mm Phillips Pan Head Machine Screws","Small Phillips head screws for securing PCBs and mounting components within the enclosure.","mechanical","misc",8,0.05,0.40,"https://www.amazon.com/s?k=m2.5x8mm+screws"
"M2.5 Hex Nut","M2.5 Hex Nuts","Standard hex nuts to be used with M2.5 screws for secure fastening.","mechanical","misc",4,0.03,0.12,"https://www.amazon.com/s?k=m2.5+hex+nuts"
"M3 x 6mm Flat Head Screw","M3x6mm Flat Head Machine Screws","Flat head screws for flush mounting of the back cover panel to the main enclosure.","mechanical","misc",4,0.06,0.24,"https://www.amazon.com/s?k=m3x6mm+flat+head+screws"
"LiPo Charging Module","TP4056 USB-C 1A Lipo Battery Charging Board","TP4056 module with USB-C for charging the LiPo battery and providing protected output power.","electrical","power",1,2.50,2.50,"https://www.amazon.com/dp/B08M3VD25B"
"Main Enclosure Body (Large)","","A larger main enclosure to accommodate the new battery and components.","mechanical","3d_printed",1,4.50,4.50,"N/A"
"Front Diffuser Panel (Large)","","A larger front diffuser panel to match the new enclosure.","mechanical","3d_printed",1,1.20,1.20,"N/A"
"Back Cover Panel (Large)","","A larger back cover panel for the new enclosure.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"Large LiPo Battery","Lithium Ion Polymer Battery - 3.7V 2500mAh","A larger 2500mAh LiPo battery for extended runtime.","electrical","power",1,9.95,9.95,"https://www.adafruit.com/product/328"
"Real-Time Clock Module","DS3231 AT24C32 IIC Precision RTC","A high-precision DS3231 real-time clock module to maintain time during power loss.","electrical","module",1,3.50,3.50,"https://www.amazon.com/dp/B07R11VB1F"
"Alarm Speaker","Piezo Buzzer","A simple piezo speaker for generating alarm sounds.","electrical","actuator",1,1.25,1.25,"https://www.adafruit.com/product/160"
