Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Flight Controller","HolyBro Kakute H7 Mini V2","F7-based flight controller with integrated OSD, barometer, and multiple UARTS for high-performance racing drones. Optimized for 6S operation.","electrical","mcu",1,75.00,75.00,"https://www.racedayquads.com/products/holybro-kakute-h7-mini-v2-flight-controller-w-bluetooth"
"4-in-1 ESC","T-Motor F55A Pro II 55A 4-in-1 ESC","High-current 55A 4-in-1 ESC compatible with 6S LiPo, running BLHeli_32 firmware for precise motor control.","electrical","module",1,80.00,80.00,"https://www.racedayquads.com/products/t-motor-f55a-pro-ii-55a-4in1-esc-3-6s"
"Front Left Motor","T-Motor F40 Pro III 2207 1750KV","High-performance brushless motor optimized for 6S racing with 5-inch propellers.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/products/t-motor-f40-pro-iii-2207-1750kv-motor"
"Front Right Motor","T-Motor F40 Pro III 2207 1750KV","High-performance brushless motor optimized for 6S racing with 5-inch propellers.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/products/t-motor-f40-pro-iii-2207-1750kv-motor"
"Rear Left Motor","T-Motor F40 Pro III 2207 1750KV","High-performance brushless motor optimized for 6S racing with 5-inch propellers.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/products/t-motor-f40-pro-iii-2207-1750kv-motor"
"Rear Right Motor","T-Motor F40 Pro III 2207 1750KV","High-performance brushless motor optimized for 6S racing with 5-inch propellers.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/products/t-motor-f40-pro-iii-2207-1750kv-motor"
"FPV Camera","Caddx Ratel 2","Low latency FPV camera with excellent image quality for racing, wide dynamic range.","electrical","sensor",1,25.00,25.00,"https://www.racedayquads.com/products/caddx-ratel-2-1-8mm-lens-fpv-camera"
"Video Transmitter","Rush Tank Solo VTX","Powerful 800mW VTX with SmartAudio for remote channel/power configuration and robust signal.","electrical","module",1,40.00,40.00,"https://www.racedayquads.com/products/rushfpv-rush-tank-solo-vtx"
"Crossfire Receiver","TBS Crossfire Nano RX Pro","Compact Crossfire receiver with telemetry, ideal for reliable long-range control and penetration.","electrical","module",1,40.00,40.00,"https://www.racedayquads.com/products/tbs-crossfire-nano-rx-pro-with-antenna"
"6S LiPo Battery","CNHL Black Series 6S 1300mAh 120C","High C-rating 6S LiPo battery for maximum power delivery and flight duration in racing drones.","electrical","power",1,45.00,45.00,"https://www.racedayquads.com/products/cnhl-black-series-1300mah-6s-22-2v-120c-lipo-battery"
"Main Power Capacitor","Panasonic EEU-FR1V102B 1000uF 35V","Low ESR electrolytic capacitor for filtering voltage spikes and noise on the main power line.","electrical","other",1,2.00,2.00,"https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1V102B/771190"
"5-inch X-type Frame Kit","GEPRC Mark5 O3 Frame Kit","Durable carbon fiber frame designed for 5-inch racing drones, X-type symmetrical geometry.","mechanical","structural",1,60.00,60.00,"https://www.racedayquads.com/products/geprc-mark5-o3-frame-kit"
"5-inch Propeller CW (FL)","Gemfan 51433 Propeller CW","Durable 3-blade 5-inch propeller for racing, optimized for 6S power, Clockwise rotation.","mechanical","mechanism",1,2.50,2.50,"https://www.racedayquads.com/products/gemfan-51433-propellers-12-pack?variant=39707166113905"
