Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Bow Riser/Handle","Bow Riser Frame","Main structural body with ergonomic grip, incorporating attachment points for limbs and accessories.","mechanical","3d_printed",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+petg+filament"
"Upper Bow Limb","Upper Recurve Limb","Upper flexible limb, designed for composite printing with embedded fiber for strength and flex.","mechanical","3d_printed",1,20.00,20.00,"https://www.amazon.com/s?k=carbon+fiber+petg+filament"
"Lower Bow Limb","Bow Limb Mount","Lower flexible limb, designed for composite printing with embedded fiber for strength and flex.","mechanical","3d_printed",1,20.00,20.00,"https://www.amazon.com/s?k=carbon+fiber+petg+filament"
"Upper Binary Cam","","Upper cam for the binary cam system, includes string channels.","mechanical","3d_printed",1,10.00,10.00,"https://www.amazon.com/s?k=nylon+filament+3d+printing"
"Lower Binary Cam","","Lower cam for the binary cam system, includes string channels.","mechanical","3d_printed",1,10.00,10.00,"https://www.amazon.com/s?k=nylon+filament+3d+printing"
"Upper Cam Axle","5mm Stainless Steel Rod","Shaft for upper cam rotation.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=5mm+stainless+steel+rod"
"Lower Cam Axle","5mm Stainless Steel Rod","Shaft for lower cam rotation.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=5mm+stainless+steel+rod"
"Upper Cam Inner Bearing","608ZZ Ball Bearing","Ball bearing for smooth rotation of the upper cam.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/s?k=608zz+ball+bearing"
"Upper Cam Outer Bearing","608ZZ Ball Bearing","Ball bearing for smooth rotation of the upper cam.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/s?k=608zz+ball+bearing"
"Lower Cam Inner Bearing","608ZZ Ball Bearing","Ball bearing for smooth rotation of the lower cam.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/s?k=608zz+ball+bearing"
"Lower Cam Outer Bearing","608ZZ Ball Bearing","Ball bearing for smooth rotation of the lower cam.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/s?k=608zz+ball+bearing"
"Bowstring","High-Strength Compound Bow String","Main string for propelling the arrow.","mechanical","mechanism",1,30.00,30.00,"https://www.amazon.com/s?k=compound+bow+string"
"Control Cable","Compound Bow Control Cable","Cable connecting cams and regulating draw length/let-off.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=compound+bow+cable"
"Buss Cable","Compound Bow Buss Cable","Cable connecting cams and managing limb tension.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=compound+bow+cable"
"3D Printed Arrow Rest","3D Printed BMO Arm","Support for the arrow before release.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=petg+filament"
"3D Printed Nocking Point","3D Printed Net Pot","Small clip-on part to define arrow nock position on the string.","mechanical","3d_printed",2,1.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"Limb Attachment Bolt","M5x40mm Hex Head Bolt","Bolt for securing bow limbs to the riser.","mechanical","misc",4,0.50,2.00,"https://www.amazon.com/s?k=m5x40mm+stainless+steel+bolt"
"Limb Attachment Nut","M5 Nylon Lock Nut","Locking nut for securing limb attachment bolts.","mechanical","misc",4,0.30,1.20,"https://www.amazon.com/s?k=m5+nylon+lock+nut"
"Accessory Threaded Insert","M3 Brass Heat-Set Insert","Threaded insert for mounting accessories like arrow rest, sight, stabilizer.","mechanical","misc",6,0.20,1.20,"https://www.amazon.com/s?k=m3+brass+heat+set+insert"
"Arrow Rest Mounting Bolt","M3x10mm Hex Head Bolt","Bolt for securing the 3D printed arrow rest to the riser.","mechanical","misc",2,0.20,0.40,"https://www.amazon.com/s?k=m3x10mm+stainless+steel+bolt"
