Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main System-on-Chip","Custom High-Performance Mobile SoC (e.g., A17 Bionic equivalent)","","electrical","mcu",1,200.00,200.00,"https://www.qualcomm.com/products/snapdragon/processors/snapdragon-8-gen-3"
"128GB LPDDR6 RAM","Integrated LPDDR6 Memory Die","","electrical","module",1,150.00,150.00,"https://www.samsung.com/semiconductor/dram/lpddr/lpddr5x/"
"3TB UFS 4.0 Storage","High-Density UFS 4.0 Module","","electrical","module",1,300.00,300.00,"https://www.micron.com/products/nand-flash/ufs"
"Main AMOLED Display","6.8-inch LTPO AMOLED Panel (e.g., Samsung Display)","","electrical","display",1,120.00,120.00,"https://www.samsungdisplay.com/eng/product/mobile.jsp"
"Main Power Management IC","Qualcomm SMB8150 or similar","","electrical","power",1,15.00,15.00,"https://www.qualcomm.com/products/power"
"5G/Wi-Fi 7/BT 5.4 Module","Qualcomm FastConnect 7800 + Snapdragon X75 Modem","Integrated module for high-speed 5G cellular and Wi-Fi 7 wireless connectivity.","electrical","module",1,50.00,50.00,"https://www.qualcomm.com/products/wireless-networking/wi-fi-bluetooth/fastconnect"
"GPS/GNSS Module","Broadcom BCM47788 or similar","","electrical","module",1,8.00,8.00,"https://www.broadcom.com/products/wireless/gnss"
"Main Wide-Angle Camera","Sony IMX989 1-inch sensor module","High-resolution large sensor camera module for exceptional image quality in various lighting conditions, a key component for an 'all-rounder' camera.","electrical","sensor",1,80.00,80.00,"https://www.sony-semicon.com/products/is/mobile/index.html"
"Ultra-Wide Camera","Sony IMX563 sensor module","","electrical","sensor",1,40.00,40.00,"https://www.sony-semicon.com/products/is/mobile/index.html"
"Telephoto Camera","Sony IMX890 (Periscope) sensor module","","electrical","sensor",1,50.00,50.00,"https://www.sony-semicon.com/products/is/mobile/index.html"
"Front-Facing Camera","Samsung ISOCELL JN1 sensor module","Front-facing camera optimized for selfies and video calls, with good low-light performance.","electrical","sensor",1,25.00,25.00,"https://www.samsung.com/semiconductor/image-sensor/mobile-image-sensor/isocell-jn1/"
"Audio Codec","Cirrus Logic CS47L93 or similar","","electrical","module",1,10.00,10.00,"https://www.cirrus.com/products/audio-codecs/"
"Accelerometer & Gyroscope","Bosch BMI323","6-axis IMU for motion sensing and orientation.","electrical","sensor",1,2.50,2.50,"https://www.bosch-sensortec.com/products/motion-sensors/imus/bmi323/"
"Magnetometer","Asahi Kasei AKM09918","Electronic compass for device orientation.","electrical","sensor",1,1.50,1.50,"https://www.akm.com/us/en/products/electronic-compass/3-axis-electronic-compass/"
"Ambient Light & Proximity Sensor","ams OSRAM TMD27723","","electrical","sensor",1,1.80,1.80,"https://ams-osram.com/products/sensors/ambient-light-sensors/ams-tmd27723-digital-ambient-light-proximity-sensor"
"Under-Display Fingerprint Sensor","Qualcomm 3D Sonic Sensor Gen 2","Ultrasonic under-display fingerprint sensor for biometric authentication.","electrical","sensor",1,15.00,15.00,"https://www.qualcomm.com/products/features/security/3d-sonic-sensor"
"USB-C Power Delivery Controller","Cypress CCG6SF","","electrical","module",1,4.00,4.00,"https://www.infineon.com/cms/en/product/power/usb-type-c-and-power-delivery/ez-pd-ccg6sf/"
"Linear Haptic Vibrator","AAC Technologies 0809 X-axis Linear Motor","","electrical","actuator",1,3.00,3.00,"https://www.aactechnologies.com/products/haptics/linear-haptics/"
"Li-Po Battery Pack","Custom 5000mAh 3.87V Li-Po Cell","","electrical","power",1,30.00,30.00,"https://www.tme.eu/en/details/ip-505465/li-polymer-packages/imagin"
"Unibody Chassis","Custom CNC Titanium Unibody","Precision-machined titanium unibody chassis, forming the primary structure and external housing.","mechanical","structural",1,150.00,150.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxI2pFaKm8NJlHw4AxSsjQO6NPYtjMaeZ7vHlV8VfMPF7pgyKyvcmViU17abfZpkwDh2eHXW5PICwxv63TUeN2ZcinLZh9rrsUc3sKZlffbYJx93z0NQyQhNuEaJWHSlXWxnv0DGRlBmu74295s8MnQve2i89AVooTdPSjOrs074HIB5HsaZJLSjVDjJOawh569Xq0k0Cps7WjrE4OoO3EblZvIc8Rp6Mj5nEvgsJr4dEBkhoLPmjjrW1JOSIi3qSxD5TZoZtP2A6x11k7Ig358tyUIMnza4eGOg8A9GDEO2d8iXw0148d1iIPxLBe4PSX8hg1UcKfvxjqQx15hcYiTz78M3M7ceEziMuqGkcT7pXSZkRsUy4a135zSDZ2DKOT7cmxu4Qvee2I29SIEA6gKcaN4np4GrMfSyMWIuVAul8nN42ts4eho474HavelbhPkqwy0mJzzjoOEFQ101vomwHYz2eehtIUEAsBEy8pzSnYCYrI6CpqprFcGVbk6IfpcDrpgIWpSeG2mAuzC8DrZf3HxX8UWOEva4jRVln4fg4tOXG5Hc6BL8XaTghHIWIPfHZSVKNomJGpJUURiEP5K0c80x1sp2pH3JJZuKxVlWeEIUxyHy19sN3z2Eeny1QpxzHC8SsMR4cGrK5bvmA7AYT"
"Display Cover Glass","Custom Gorilla Glass Victus 2","Ultra-hardened glass panel covering and protecting the AMOLED display.","mechanical","enclosure",1,30.00,30.00,"https://www.amazon.com/s?k=gorilla+glass+sheet"
"Rear Cover Glass","Custom Gorilla Glass Victus 2","Hardened glass panel forming the rear of the device, adhering to the unibody chassis.","mechanical","enclosure",1,25.00,25.00,"https://www.amazon.com/s?k=gorilla+glass+sheet"
"Internal Midframe","Custom CNC Magnesium Alloy Midframe","Lightweight magnesium alloy midframe providing internal rigidity and mounting points for PCB and components.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=magnesium+alloy+sheet"
"Vapor Chamber","Custom Ultra-Thin Vapor Chamber","Advanced ultra-thin vapor chamber for efficient heat dissipation from the SoC and mainboard.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=smartphone+vapor+chamber"
"Graphite Thermal Sheet (Top)","Panasonic PGS Graphite Sheet","Flexible graphite sheet for further heat spreading and dissipation, positioned above the main components.","mechanical","misc",1,3.00,3.00,"https://www.amazon.com/s?k=graphite+thermal+sheet"
"Graphite Thermal Sheet (Bottom)","Panasonic PGS Graphite Sheet","Flexible graphite sheet for further heat spreading and dissipation, positioned below the main components/battery.","mechanical","misc",1,3.00,3.00,"https://www.amazon.com/s?k=graphite+thermal+sheet"
"Power Button","Custom Metal Side Button","Tactile metal button for power control, integrated into the chassis side.","mechanical","misc",1,1.50,1.50,"https://www.amazon.com/s?k=smartphone+metal+button"
"Volume Rocker","Custom Metal Volume Rocker","Integrated metal rocker button for volume adjustment on the chassis side.","mechanical","misc",1,2.00,2.00,"https://www.amazon.com/s?k=smartphone+volume+rocker"
