Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Cyberdeck Controller","Raspberry Pi 3 Model B 1GB SC0022","","electrical","mcu",1,35.00,35.00,"https://www.amazon.com/s?k=Raspberry+Pi+3+Model+B"
"Primary Touch Display","Elecrow RC070 7inch 1024x600 IPS Touch Display","","electrical","display",1,79.99,79.99,"https://www.amazon.com/s?k=Elecrow+RC070+7inch+1024x600"
"Input Keyboard","Hoopond AK33 Mechanical Keyboard (Blue Switch, Black)","","electrical","module",1,45.00,45.00,"https://www.amazon.com/s?k=Hoopond+AK33+Mechanical+Keyboard"
"External Power Source","USB-C Power Bank (generic, 20000mAh+)","","electrical","power",1,40.00,40.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRJEEW5ZlLIzbpikoHsRRgnu55sBNqU1sIIoqh1P17xfGIpFgALxcf1IxRUq0KA1nyjsM78VQTooDNDS6iWiLR3DfmK6WoQQy4De7g0cS5ndDtQ96KB3H9Smb85ptgWE0AhKR6K8TUau18W2UUfpUZi8yTqjsHhUSffuZIEwZBgEAUroRU71HKBQh1wvmLUbNfHkSCen6yGnWRfKdXmAUXgYAtEV8JhAybJDaH5E2gDHFmxDaifbec2UYWngUr6VfJqCMrY71ZOnws5ic8T1JNS9OkjK3uFqSlfhueO1BvPPQV8JxxchPipnt9wGggaUAFbVGCKN7e1ddTDr5pCfxmsi3C7L5YgIz5jFQJvTj4EdXvBLFq3wsT8jepJEfPEiTr927UlBMsBXrSZCfLBBwKEDPbjbZTK85si1zoievEbg3Y2gjkHwGYC2OngiyEW6pUTbQQIdPBWgaQK0GI55igvshS6kdINK96EhyuwwLbQD8oICcPjlwwr898IhnaZ4cpGy36oB96KA5pmi4yyKnsAXsu4Lh3gKKlFcoVM7oG1CYYt1DBBdlvSCl10lzcBODTkbCNCJ33GO4dZ5y79HWTXGSPXGe1kUGUvSTVoNdiwz4YMQMVU9wLAMMGG0MA8dI42EbMDHWo3YGblBKPvGbGqX"
"Pi Power Cable","USB A to Micro USB Cable (Data/Power)","","electrical","module",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxxa6FipedLYv0sRxzaTCBp7sgOW28BAv1HcwnLrCLVUAfXGhCxJ6aFnJaItIYJX0kS5HirmVhWJQZLRV9PcrBcGMzhlr3RXCkK3KBaxieQv0gxQTmINd8hoY7YW2OfiF8wmvCahoLXX5iH6XLvwr5Qd8Cu6K3lTAiewqXdPixBqejTVtW9twwyrfhk6QIZTEAJY3HbvirH8l0bwioqQYyUOTvq031QzzmtWxnnOTeiYqNy9miWL0ImTlDJkAwjfzzRotExBxpPlSo3jTIIBflWVhTPs92bciPoiBZvtaa8XxzMdWnvNKDRvdXxglYCa4BMR7zYZxh1aW5t2s3BIJqyRQ7uKJjgHm9kRQOF550oCCKSUCN0wVU6hti9EMfpGzFe7FLym1y8ZczHx3k70Ma7HznUALp6UTVwp5IkJHasHEB8nEIftj7Xhj0woEcZxEz48w5qH8L8hJIrfSwSuCBmJM70wjjrzAol8JlKw2EVFUu6yj3BRtFrgTgmRnLdrHSJ6SsxIcTKuQKAYTG4qtz2XncQZbqn4ygCck26rD98l1jc6DkpwlyKkhxkZReAe3H1ncU2OwDWsaIyzhid9jt6n00l4NvOPCTb3belg0ajTuFZR59aEVVVDeeYQLyuoLmGACDa5UiICKczFSt6uvNR23"
"Display Power Cable","USB A to Micro USB Cable (Data/Power)","","electrical","module",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxxa6FipedLYv0sRxzaTCBp7sgOW28BAv1HcwnLrCLVUAfXGhCxJ6aFnJaItIYJX0kS5HirmVhWJQZLRV9PcrBcGMzhlr3RXCkK3KBaxieQv0gxQTmINd8hoY7YW2OfiF8wmvCahoLXX5iH6XLvwr5Qd8Cu6K3lTAiewqXdPixBqejTVtW9twwyrfhk6QIZTEAJY3HbvirH8l0bwioqQYyUOTvq031QzzmtWxnnOTeiYqNy9miWL0ImTlDJkAwjfzzRotExBxpPlSo3jTIIBflWVhTPs92bciPoiBZvtaa8XxzMdWnvNKDRvdXxglYCa4BMR7zYZxh1aW5t2s3BIJqyRQ7uKJjgHm9kRQOF550oCCKSUCN0wVU6hti9EMfpGzFe7FLym1y8ZczHx3k70Ma7HznUALp6UTVwp5IkJHasHEB8nEIftj7Xhj0woEcZxEz48w5qH8L8hJIrfSwSuCBmJM70wjjrzAol8JlKw2EVFUu6yj3BRtFrgTgmRnLdrHSJ6SsxIcTKuQKAYTG4qtz2XncQZbqn4ygCck26rD98l1jc6DkpwlyKkhxkZReAe3H1ncU2OwDWsaIyzhid9jt6n00l4NvOPCTb3belg0ajTuFZR59aEVVVDeeYQLyuoLmGACDa5UiICKczFSt6uvNR23"
"Display Touch Data Cable","USB A to Micro USB Cable (Data/Power)","","electrical","module",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxxa6FipedLYv0sRxzaTCBp7sgOW28BAv1HcwnLrCLVUAfXGhCxJ6aFnJaItIYJX0kS5HirmVhWJQZLRV9PcrBcGMzhlr3RXCkK3KBaxieQv0gxQTmINd8hoY7YW2OfiF8wmvCahoLXX5iH6XLvwr5Qd8Cu6K3lTAiewqXdPixBqejTVtW9twwyrfhk6QIZTEAJY3HbvirH8l0bwioqQYyUOTvq031QzzmtWxnnOTeiYqNy9miWL0ImTlDJkAwjfzzRotExBxpPlSo3jTIIBflWVhTPs92bciPoiBZvtaa8XxzMdWnvNKDRvdXxglYCa4BMR7zYZxh1aW5t2s3BIJqyRQ7uKJjgHm9kRQOF550oCCKSUCN0wVU6hti9EMfpGzFe7FLym1y8ZczHx3k70Ma7HznUALp6UTVwp5IkJHasHEB8nEIftj7Xhj0woEcZxEz48w5qH8L8hJIrfSwSuCBmJM70wjjrzAol8JlKw2EVFUu6yj3BRtFrgTgmRnLdrHSJ6SsxIcTKuQKAYTG4qtz2XncQZbqn4ygCck26rD98l1jc6DkpwlyKkhxkZReAe3H1ncU2OwDWsaIyzhid9jt6n00l4NvOPCTb3belg0ajTuFZR59aEVVVDeeYQLyuoLmGACDa5UiICKczFSt6uvNR23"
"Display Video Cable","HDMI to HDMI Cable","","electrical","module",1,7.00,7.00,"https://www.amazon.com/s?k=hdmi+to+hdmi+cable+short"
"Case Lid Structural Panel","","Acrylic or thin aluminum panel mounted to the inside of the case lid for additional rigidity and mounting points.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=3mm+acrylic+sheet"
"Main Base Structural Panel","","Acrylic or thin aluminum panel mounted to the bottom of the case for component mounting and organization.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=3mm+acrylic+sheet"
