Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Flight Controller","Holybro Pixhawk 4 Mini","Secondary flight control unit for failover and enhanced reliability.","electrical","mcu",1,120.00,120.00,"https://www.getfpv.com/holybro-pixhawk-4-mini-autopilot.html"
"Front Left Motor","EMAX ECO II 2306 1700KV","Brushless motor for front-right propeller propulsion.","electrical","actuator",1,15.00,15.00,"https://www.racedayquads.com/products/emax-eco-ii-series-2306-1700kv-1900kv-2400kv-2700kv-motor"
"Front Right Motor","EMAX ECO II 2306 1700KV","Brushless motor for front-right propeller propulsion.","electrical","actuator",1,15.00,15.00,"https://www.racedayquads.com/products/emax-eco-ii-series-2306-1700kv-1900kv-2400kv-2700kv-motor"
"Rear Left Motor","EMAX ECO II 2306 1700KV","Brushless motor for front-right propeller propulsion.","electrical","actuator",1,15.00,15.00,"https://www.racedayquads.com/products/emax-eco-ii-series-2306-1700kv-1900kv-2400kv-2700kv-motor"
"Rear Right Motor","EMAX ECO II 2306 1700KV","Brushless motor for front-right propeller propulsion.","electrical","actuator",1,15.00,15.00,"https://www.racedayquads.com/products/emax-eco-ii-series-2306-1700kv-1900kv-2400kv-2700kv-motor"
"Front Left ESC","Holybro Tekko32 F4 4in1 ESC (or single)","","electrical","actuator",1,18.00,18.00,"https://www.racedayquads.com/products/holybro-tekko32-f4-mini-35a-4in1-esc"
"Front Right ESC","Holybro Tekko32 F4 4in1 ESC (or single)","","electrical","actuator",1,18.00,18.00,"https://www.racedayquads.com/products/holybro-tekko32-f4-mini-35a-4in1-esc"
"Rear Left ESC","Holybro Tekko32 F4 4in1 ESC (or single)","","electrical","actuator",1,18.00,18.00,"https://www.racedayquads.com/products/holybro-tekko32-f4-mini-35a-4in1-esc"
"Rear Right ESC","Holybro Tekko32 F4 4in1 ESC (or single)","","electrical","actuator",1,18.00,18.00,"https://www.racedayquads.com/products/holybro-tekko32-f4-mini-35a-4in1-esc"
"Main LiPo Battery","Tattu R-Line 4S 1550mAh 120C","High C-rating Lithium Polymer battery to power the drone for agile flight.","electrical","power",1,45.00,45.00,"https://www.genstattu.com/tattu-r-line-14-8v-1550mah-120c-4s1p-lipo-battery-pack-with-xt60-plug.html"
"Power Distribution Board","Matek Systems PDB-XT60","Distributes main battery power and provides regulated 5V and 12V outputs.","electrical","power",1,10.00,10.00,"https://www.racedayquads.com/products/matek-systems-pdb-xt60"
"GPS Module with Compass","Holybro M8N GPS Module","Provides global positioning data for navigation.","electrical","sensor",1,40.00,40.00,"https://www.getfpv.com/holybro-m8n-gps-module-with-compass.html"
"Telemetry Radio Module","Holybro 433MHz Telemetry Radio V3","Low-latency data link for flight control commands and basic telemetry with ground station.","electrical","module",1,50.00,50.00,"https://www.getfpv.com/holybro-433mhz-telemetry-radio-set-v3.html"
"RC Receiver","FrSky XM+ Micro SBus Receiver","Compact radio receiver for manual control signals from a remote transmitter.","electrical","module",1,20.00,20.00,"https://www.racedayquads.com/products/frsky-xm-plus-micro-sbus-receiver"
"FPV Camera Module","RunCam Nano 3","Small camera for real-time video feedback (First Person View).","electrical","module",1,25.00,25.00,"https://www.racedayquads.com/products/runcam-nano-3-fpv-camera"
"Video Transmitter (VTX)","RushFPV Rush Tank Mini","5.8GHz video transmitter for sending live video feed to ground station.","electrical","module",1,35.00,35.00,"https://www.racedayquads.com/products/rushfpv-rush-tank-mini-5-8g-48ch-0-25-200-500-800mw-smart-audio-vtx"
"Frame Top Plate","Carbon Fiber Quadcopter Top Plate","Lightweight carbon fiber plate for mounting electronics and connecting frame arms.","mechanical","structural",1,15.00,15.00,"https://www.amazon.com/dp/B0CJ4NMMLL?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Frame Bottom Plate","Carbon Fiber Quadcopter Bottom Plate","Main structural carbon fiber plate, provides mounting for flight controller and arms.","mechanical","structural",1,18.00,18.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxfJpW4zoBlngCpBvHZps4cbRBfQS5KbtuT0pOPikqmEm0cIgFHChHwUqm5YRvQBo6zspdAxC8CDhvedOPj8tqglcJhUsvV7AGKI350QkWs5Xi6v92I1EHqdx5cweLy8KibZxWLbn7yoeKPO2J7LIYa74O1IabWhZXouahvuR6RbYbulw7FovOJOVcSjufxbi7jsTW0wnVskK5GUsxtDR5ZzQk5OuPLj9fpeNlyUkiUs7LheB1TgKILTYQ40e5w7iBLVdJPwXLdJmVI43XuLYFrXpSKPkSAXRpdCxvXQei5IWDHRxaBMEX9AyBQG93GHadOfKMiOtZBZ00ywveYQ5gNiaTmMcGIyOq6RfuStHvWTNLVVexifzTB8cuBaBv9aqbhpcXVjLfaW9jcv9jOa1lXCfOIIhhrFzaAnSnrk7Lvpr0PAMZC20lEZcc38RmKDifWz4jwyQHh0hhefm9oys50qxyC8vTMCxqwrMlGezDGRZ0mDgBx2ZBX6EaiOizjUGiBngsPBukDQDYghm7DMZ2kbKD7YeQi84FF2IQ0eAE2JeRBAEwAnm6iQhyjGVA461CZZzzgm5AkR5NDwQIVjCJWPdlOfgVzaFK2shxjNcVVyHpMAEgm9FsQDCtpJ05aa9ca9oUUoySljHJZVrx55GW0SX"
"Front Left Frame Arm","Carbon Fiber Quadcopter Arm","Carbon fiber arm connecting the motor to the main frame for the front left position.","mechanical","structural",1,7.00,7.00,"https://www.amazon.com/dp/B0CTTBSBNN?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Right Frame Arm","Carbon Fiber Quadcopter Arm","Carbon fiber arm connecting the motor to the main frame for the front right position.","mechanical","structural",1,7.00,7.00,"https://www.amazon.com/dp/B0CTTBSBNN?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Left Frame Arm","Carbon Fiber Quadcopter Arm","Carbon fiber arm connecting the motor to the main frame for the rear left position.","mechanical","structural",1,7.00,7.00,"https://www.amazon.com/dp/B0CTTBSBNN?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Right Frame Arm","Carbon Fiber Quadcopter Arm","Carbon fiber arm connecting the motor to the main frame for the rear right position.","mechanical","structural",1,7.00,7.00,"https://www.amazon.com/dp/B0CTTBSBNN?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Left Landing Gear","Quadcopter Landing Skid","Lightweight plastic landing gear for the front left arm, provides ground clearance.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B06Y5TSYRC?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Right Landing Gear","Quadcopter Landing Skid","Lightweight plastic landing gear for the front right arm, provides ground clearance.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B06Y5TSYRC?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Left Landing Gear","Quadcopter Landing Skid","Lightweight plastic landing gear for the rear left arm, provides ground clearance.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B06Y5TSYRC?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Right Landing Gear","Quadcopter Landing Skid","Lightweight plastic landing gear for the rear right arm, provides ground clearance.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B06Y5TSYRC?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Left Propeller","6040 Drone Propeller CW","Counter-clockwise rotating propeller for the front left motor, 6-inch diameter.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/dp/B0D56XF1ZD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Right Propeller","6040 Drone Propeller CCW","Clockwise rotating propeller for the front right motor, 6-inch diameter.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/dp/B0F9KN1GM9?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Left Propeller","6040 Drone Propeller CCW","Clockwise rotating propeller for the rear left motor, 6-inch diameter.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/dp/B0F9KN1GM9?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Right Propeller","6040 Drone Propeller CW","Counter-clockwise rotating propeller for the rear right motor, 6-inch diameter.","mechanical","mechanism",1,2.00,2.00,"https://www.amazon.com/dp/B0D56XF1ZD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Left Motor Mount","","3D-printed mount to securely attach the front left motor to the carbon fiber arm.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=petg+filament"
"Front Right Motor Mount","","3D-printed mount to securely attach the front right motor to the carbon fiber arm.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=petg+filament"
"Rear Left Motor Mount","","3D-printed mount to securely attach the rear left motor to the carbon fiber arm.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=petg+filament"
"Rear Right Motor Mount","","3D-printed mount to securely attach the rear right motor to the carbon fiber arm.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=petg+filament"
"Front Left ESC Mount","","3D-printed mount to hold the front left ESC securely on the frame arm.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=pla+filament"
"Front Right ESC Mount","","3D-printed mount to hold the front right ESC securely on the frame arm.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=pla+filament"
"Rear Left ESC Mount","","3D-printed mount to hold the rear left ESC securely on the frame arm.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=pla+filament"
"Rear Right ESC Mount","","3D-printed mount to hold the rear right ESC securely on the frame arm.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=pla+filament"
"Flight Controller Vibration Dampener Set","Rubber Anti-Vibration Standoffs","Set of rubber ball standoffs to isolate the flight controller from motor vibrations.","mechanical","misc",1,5.00,5.00,"https://www.amazon.com/dp/B06ZXT21DX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Flight Controller Enclosure","","3D-printed protective enclosure for the flight controller, shielding it from dust and minor impacts.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=pla+filament"
"Battery Tray","","3D-printed tray to securely hold the LiPo battery underneath the main frame.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=petg+filament"
"GPS Module Mount","","3D-printed foldable mast mount for the GPS module to ensure clear sky view.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=pla+filament"
"Telemetry Radio Mount","","3D-printed mount for the telemetry radio, protecting it and securing its antenna.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=pla+filament"
"RC Receiver Mount","","3D-printed mount for the RC receiver, positioning antennas optimally.","mechanical","3d_printed",1,0.75,0.75,"https://www.amazon.com/s?k=pla+filament"
"FPV Camera Mount","","Adjustable 3D-printed mount for the FPV camera, allowing tilt angle adjustment.","mechanical","3d_printed",1,1.20,1.20,"https://www.amazon.com/s?k=petg+filament"
"Video Transmitter Mount","","3D-printed mount for the Video Transmitter (VTX), providing ventilation and antenna security.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=pla+filament"
"Package Delivery Mechanism","","A simple 3D-printed servo-actuated drop mechanism for small packages (<1kg).","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=petg+filament"
