Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Processor","Raspberry Pi 4 Model B","Primary computing platform for display management, data processing, and sensor interfaces.","electrical","mcu",1,55.00,55.00,"https://www.digikey.com/en/products/detail/raspberry-pi/RASPBERRY-PI-4B-4GB/11171731"
"Main IPS LCD Display","7-inch HDMI IPS LCD (e.g., Waveshare 7inch HDMI LCD (H))","7-inch primary display for maps and SDR waterfall. Connects via HDMI.","electrical","display",1,70.00,70.00,"https://www.waveshare.com/7inch-hdmi-lcd-h.htm"
"E-Ink Data Display","4.2-inch E-Paper SPI Display (e.g., Waveshare 4.2inch e-Paper Module)","Secondary E-Ink display for GPS, altimeter, and breadcrumbs. High contrast, low power.","electrical","display",1,35.00,35.00,"https://www.waveshare.com/4.2inch-e-paper-module.htm"
"Round HUD LCD","1.28-inch Round LCD (GC9A01 driver, SPI)","Small round display for compass and weather arrows.","electrical","display",1,15.00,15.00,"https://www.amazon.com/s?k=1.28+round+lcd+GC9A01"
"Tactile Rotary Encoder","EC11 Rotary Encoder with Push Button","Machined aluminum knob, provides tactile input and push-button functionality for navigation.","electrical","actuator",1,8.00,8.00,"https://www.digikey.com/en/products/detail/c-k/EC11E15204A4/2358899"
"Main System Power Toggle","Heavy-Duty Waterproof Toggle Switch (e.g., Carling Contura II)","Main power switch with safety cover, controls primary power to the system.","electrical","actuator",1,12.00,12.00,"https://www.digikey.com/en/products/detail/carling-technologies/VLD2S00B-AEC00-000/1033280"
"LED Array Power Toggle","Heavy-Duty Waterproof Toggle Switch (e.g., Carling Contura II)","Secondary power switch with safety cover, controls power to the high-power LED array.","electrical","actuator",1,12.00,12.00,"https://www.digikey.com/en/products/detail/carling-technologies/VLD2S00B-AEC00-000/1033280"
"Integrated Baofeng Radio","Baofeng UV-5R Handheld Transceiver","UHF/VHF handheld radio, main body integrated into chassis, exposed controls.","electrical","module",1,30.00,30.00,"https://www.amazon.com/s?k=Baofeng+UV-5R"
"Domed GPS Module","Beitian BN-220 GPS Module","External GPS antenna module for location data.","electrical","sensor",1,15.00,15.00,"https://www.amazon.com/s?k=Beitian+BN-220"
"BME280 Environmental Sensor","Bosch BME280 Breakout Board","Measures temperature, humidity, and atmospheric pressure.","electrical","sensor",1,8.00,8.00,"https://www.digikey.com/en/products/detail/sparkfun-electronics/SEN-13676/6575916"
"BNO055 IMU Sensor","Bosch BNO055 IMU 9-DOF Breakout Board","9-DOF Inertial Measurement Unit (accelerometer, gyroscope, magnetometer).","electrical","sensor",1,25.00,25.00,"https://www.digikey.com/en/products/detail/adafruit-industries/2472/5162235"
"Multi-Spectrum LED Array","3x High Power LEDs (White, UV, IR) with Drivers","Cluster of high-power White, UV, and IR LEDs acting as a directional flashlight, with integrated heat sink.","electrical","actuator",1,20.00,20.00,"https://www.amazon.com/s?k=high+power+led+white+uv+ir+drivers"
"High-Capacity LiPo Battery","50,000 mAh 3S LiPo Battery Pack","Massive internal battery for extended off-grid use, 3.7V/cell (11.1V nominal).","electrical","power",1,150.00,150.00,"https://www.amazon.com/s?k=50000mAh+3S+lipo+battery+pack"
"LiPo Charge Controller","Multi-cell LiPo Battery Charger Module (e.g., TP5100 based)","Manages charging of the 50,000 mAh LiPo battery pack from external 5V input.","electrical","power",1,10.00,10.00,"https://www.amazon.com/s?k=TP5100+lipo+charger+module"
"Main 5V DC-DC Converter","XL4015 DC-DC Step-Down Buck Converter Module","Steps down the battery voltage (11.1V nominal) to a stable 5V for the Raspberry Pi and 5V peripherals.","electrical","power",1,5.00,5.00,"https://www.amazon.com/s?k=XL4015+buck+converter"
"Battery Charge Status Panel","Voltmeter Battery Capacity Indicator (e.g., 1S-8S LiPo Battery Level Indicator)","LED panel indicating the charge level of the internal battery.","electrical","display",1,7.00,7.00,"https://www.amazon.com/s?k=lipo+battery+level+indicator+panel"
"Rugged 5V Power Input","Heavy-Duty Panel Mount 5.5x2.1mm DC Power Jack","Exposed, ruggedized port for external 5V power input to charge the battery.","electrical","power",1,4.00,4.00,"https://www.amazon.com/s?k=rugged+panel+mount+dc+jack"
"Ruggedized USB Hub","Industrial 4-Port USB 2.0/3.0 Hub Module","Internal USB hub to provide multiple ruggedized external USB ports for peripherals like the RTL-SDR.","electrical","module",1,20.00,20.00,"https://www.digikey.com/en/products/result?keywords=industrial+usb+hub+module"
"RTL-SDR Receiver","RTL-SDR v3 Dongle","Software Defined Radio dongle for receiving radio signals, plugs into ruggedized USB port.","electrical","module",1,35.00,35.00,"https://www.amazon.com/s?k=rtl-sdr+v3+dongle"
"USB Audio Interface","Mini USB Audio Adapter","Provides audio input/output for interfacing with the Baofeng radio via USB.","electrical","module",1,8.00,8.00,"https://www.amazon.com/s?k=mini+usb+audio+adapter"
"Custom Modular Chassis Base","","Main lower enclosure, custom 3D-printed modular chassis component. Houses the Raspberry Pi, battery, power boards, E-Ink display, controls, USB hub, and internal sensors. Designed for ruggedness and weather resistance.","mechanical","3d_printed",1,40.00,40.00,"https://www.amazon.com/s?k=carbon+fiber+PLA+filament"
