Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Phased Array Radar Module","mmWave Radar Module","Micro phased array radar for mosquito detection and tracking within 1-3 meters.","electrical","sensor",1,180.00,180.00,"https://www.digikey.com/en/products/result?keywords=mmWave+phased+array+radar+module"
"X-Axis Stepper Motor","NEMA 11 Stepper Motor","Stepper motor for precise horizontal (X-axis) positioning of the laser gimbal.","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/s?k=NEMA+11+stepper+motor"
"Y-Axis Stepper Motor","NEMA 11 Stepper Motor","Stepper motor for precise vertical (Y-axis) positioning of the laser gimbal.","electrical","actuator",1,15.00,15.00,"https://www.amazon.com/s?k=NEMA+11+stepper+motor"
"X-Axis Stepper Driver","DRV8825 Stepper Driver","Driver module for controlling the X-axis stepper motor, providing microstepping and current control.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8825+stepper+motor+driver"
"Y-Axis Stepper Driver","DRV8825 Stepper Driver","Driver module for controlling the Y-axis stepper motor, providing microstepping and current control.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8825+stepper+motor+driver"
"High Power Laser Diode","20W+ 808nm Laser Diode","High power (>20W) laser diode for rapid mosquito elimination.","electrical","actuator",1,100.00,100.00,"https://www.amazon.com/s?k=high+power+laser+diode+808nm+20W"
"High Power Laser Diode Driver","High Current Laser Driver","Current-regulated driver for the high-power laser diode, enabling PWM control.","electrical","module",1,50.00,50.00,"https://www.amazon.com/s?k=high+current+laser+diode+driver"
"Voltage Regulator (Buck)","LM2596 DC-DC Buck Converter","Buck converter to step down battery voltage to 5V for MCU and peripherals.","electrical","power",1,5.00,5.00,"https://www.amazon.com/s?k=DC-DC+buck+converter+12V+to+5V"
"LiPo Battery Pack","3S LiPo Battery 5000mAh","High-capacity Lithium Polymer battery pack for portable power.","electrical","power",1,35.00,35.00,"https://www.amazon.com/s?k=3S+Lipo+battery+5000mAh"
"Main Chassis Base","","Base structure for mounting all components and bottom part of the enclosure.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PETG+filament"
"Gimbal Yaw Base","","Mounts to the chassis base and holds the yaw stepper motor.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"Gimbal Yaw Arm","","Arm extending from the yaw motor, holding the pitch axis assembly.","mechanical","3d_printed",1,1.20,1.20,"https://www.amazon.com/s?k=PETG+filament"
"Gimbal Pitch Mount","","Mounts to the yaw arm, holds the pitch stepper motor, laser, and radar module.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=PETG+filament"
"Enclosure Top Cover","","Top cover for the main chassis, protecting internal components.","mechanical","enclosure",1,3.00,3.00,"https://www.amazon.com/s?k=PETG+filament"
"M3 Button Head Screw","M3x6mm Button Head Screws","General purpose screws for mounting components.","mechanical","misc",16,0.05,0.80,"https://www.amazon.com/s?k=M3x6mm+button+head+screws"
"M3 Button Head Screw","M3x10mm Button Head Screws","Longer screws for specific mounting points.","mechanical","misc",8,0.06,0.48,"https://www.amazon.com/s?k=M3x10mm+button+head+screws"
"M3 Hex Nut","M3 Hex Nuts","Used with M3 screws for secure fastening.","mechanical","misc",16,0.03,0.48,"https://www.amazon.com/s?k=M3+hex+nuts"
"M2 Flat Head Screw","M2x4mm Flat Head Screws","Small screws for mounting circuit boards or light components.","mechanical","misc",4,0.04,0.16,"https://www.amazon.com/s?k=M2x4mm+screws"
"M3 Brass Standoff","M3x10mm Brass Standoffs","Standoffs for mounting PCBs securely above the base.","mechanical","misc",4,0.20,0.80,"https://www.amazon.com/s?k=M3+10mm+brass+standoffs"
"Microcontroller Holder","","Holder for the microcontroller (ESP32/RPi Zero 2 W) inside the chassis.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PLA+filament"
"Battery Pack Holder","","Holder for the LiPo battery pack inside the chassis.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=PLA+filament"
"Main Controller","ESP32-WROOM-32D","Microcontroller for radar data processing, gimbal control, and overall system management.","electrical","mcu",1,5.00,5.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32D/9829281"
"Thermal Camera Module","MLX90640 Thermal Camera Array","Infrared thermal sensor array for detecting mosquito heat signatures.","electrical","sensor",1,60.00,60.00,"https://www.adafruit.com/product/4407"
"Thermal Camera Mount","Custom 3D Printed Mount","A custom 3D printed bracket to securely attach the thermal camera to the gimbal pitch mount.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PETG+filament"
"AI Processor Module","Sipeed Maix Bit (K210)","AI processor for accelerating neural network inference, offloading object detection tasks from the ESP32.","electrical","module",1,20.00,20.00,"https://www.seeedstudio.com/Sipeed-Maix-Bit-K210-Development-Board-p-4235.html"
"AI Module Holder","Custom 3D Printed Mount","A custom 3D printed bracket to securely mount the AI module to the chassis base.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PETG+filament"
