Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Flight Controller","Holybro Pixhawk 6C","Primary flight control unit based on STM32H753, includes integrated IMU (ICM-20689) and barometer (MS5611) for stable flight and navigation.","electrical","mcu",1,299.99,299.99,"https://www.holybro.com/products/pixhawk-6c"
"Main Flight Battery","6S 22000mAh Li-ion Battery Pack","","electrical","power",1,350.00,350.00,"https://www.amazon.com/s?k=6s+22000mah+li-ion+battery+pack"
"Main Propulsion Motor","T-Motor AT7220 KV180","Brushless DC motor for forward propulsion.","electrical","actuator",1,220.00,220.00,"https://store-en.tmotor.com/goods/detail.php?id=804"
"Motor Electronic Speed Controller","Hobbywing X-Rotor Pro 80A HV","Electronic Speed Controller for the main brushless motor, handling high current for propulsion.","electrical","actuator",1,90.00,90.00,"https://www.hobbywing.com/goods.php?id=377"
"Long Range Radio Link (TX/RX)","ImmersionRC Ghost","Encrypted low-latency digital control and video link transceiver.","electrical","module",1,80.00,80.00,"https://www.readymaderc.com/products/details/immersionrc-ghost-ato-receiver"
"GPS Module","Holybro M8N GPS Module","Provides global positioning data for navigation.","electrical","sensor",1,40.00,40.00,"https://www.holybro.com/products/m8n-gps"
"Airspeed Sensor","Holybro Digital Airspeed Sensor (I2C)","Measures drone's speed through the air for improved fixed-wing flight control.","electrical","sensor",1,35.00,35.00,"https://www.holybro.com/products/digital-airspeed-sensor"
"Power Management Module","Holybro PM07","Power distribution board and voltage/current sensor for the flight controller and ESCs.","electrical","power",1,45.00,45.00,"https://www.holybro.com/products/pm07"
"Main Wing","Fixed Wing UAV Main Wing","Primary lift surface for long-range flight. Typically foam core with composite skin.","mechanical","structural",1,150.00,150.00,"https://www.amazon.com/s?k=rc+uav+wing"
"Fuselage Body","Fixed Wing UAV Fuselage","Main body of the UAV, houses electronics and battery.","mechanical","structural",1,120.00,120.00,"https://www.amazon.com/s?k=rc+uav+fuselage"
"Horizontal Stabilizer","RC Aircraft Horizontal Stabilizer","Provides pitch stability for the UAV.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=rc+horizontal+stabilizer"
"Vertical Stabilizer","RC Aircraft Vertical Stabilizer","Provides yaw stability for the UAV.","mechanical","structural",1,20.00,20.00,"https://www.amazon.com/s?k=rc+vertical+stabilizer"
"Main Propeller","APC Electric Propeller 12x8E","Propeller for main propulsion motor.","mechanical","mechanism",1,10.00,10.00,"https://www.amazon.com/s?k=APC+12x8E+propeller"
"Left Aileron Servo","Digital Micro Servo 9g","Controls the left aileron for roll control.","mechanical","mechanism",1,8.00,8.00,"https://www.amazon.com/s?k=digital+micro+servo+9g"
"Right Aileron Servo","Digital Micro Servo 9g","Controls the right aileron for roll control.","mechanical","mechanism",1,8.00,8.00,"https://www.amazon.com/s?k=digital+micro+servo+9g"
"Elevator Servo","Digital Micro Servo 9g","Controls the elevator for pitch control.","mechanical","mechanism",1,8.00,8.00,"https://www.amazon.com/s?k=digital+micro+servo+9g"
"Rudder Servo","Digital Micro Servo 9g","Controls the rudder for yaw control.","mechanical","mechanism",1,8.00,8.00,"https://www.amazon.com/s?k=digital+micro+servo+9g"
"Left Aileron Control Horn","Left Aileron Control Horn","Connects servo pushrod to left aileron.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=rc+control+horn+nylon"
"Right Aileron Control Horn","Right Aileron Control Horn","Connects servo pushrod to right aileron.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=rc+control+horn+nylon"
"Elevator Control Horn","Elevator Control Horn","Connects servo pushrod to elevator.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=rc+control+horn+nylon"
"Rudder Control Horn","Rudder Control Horn","Connects servo pushrod to rudder.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=rc+control+horn+nylon"
"Left Aileron Pushrod","RC Z-Bend Pushrod","Transfers motion from servo to left aileron.","mechanical","misc",1,2.00,2.00,"https://www.amazon.com/s?k=rc+z+bend+pushrod"
"Right Aileron Pushrod","RC Z-Bend Pushrod","Transfers motion from servo to right aileron.","mechanical","misc",1,2.00,2.00,"https://www.amazon.com/s?k=rc+z+bend+pushrod"
"Elevator Pushrod","RC Z-Bend Pushrod","Transfers motion from servo to elevator.","mechanical","misc",1,2.50,2.50,"https://www.amazon.com/s?k=rc+z+bend+pushrod"
"Rudder Pushrod","RC Z-Bend Pushrod","Transfers motion from servo to rudder.","mechanical","misc",1,2.50,2.50,"https://www.amazon.com/s?k=rc+z+bend+pushrod"
"Main Motor Mount","Main Motor Mount","Mounts the main propulsion motor to the fuselage firewall.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=PETG+filament"
"Flight Controller Mount","Flight Controller Mount","Securely holds the flight controller inside the fuselage, reducing vibration.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PETG+filament"
"Flight Battery Tray","Flight Battery Tray","Secures the high-capacity Li-ion battery within the fuselage.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=PETG+filament"
"ESC Mount","ESC Mount","Provides a secure and ventilated mounting point for the ESC.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=PETG+filament"
"Long Range RX Mount","Long Range RX Mount","Mounts the long-range radio receiver securely inside the fuselage.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"GPS Module Mount","GPS Module Mount","Positions the GPS module for optimal signal reception, often externally.","mechanical","3d_printed",1,1.80,1.80,"https://www.amazon.com/s?k=PETG+filament"
"Airspeed Sensor Mount","Airspeed Sensor Mount","Mounts the pitot tube for the airspeed sensor at the front of the wing or fuselage.","mechanical","3d_printed",1,1.70,1.70,"https://www.amazon.com/s?k=PETG+filament"
"Power Management Module Mount","Power Management Module Mount","Secures the power management module within the fuselage.","mechanical","3d_printed",1,1.90,1.90,"https://www.amazon.com/s?k=PETG+filament"
"Wing Attachment Mechanism","Wing Attachment Mechanism","Hardware for securing the main wing to the fuselage, often bolts and nuts.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=rc+wing+bolts+and+nuts"
"Fuselage Hatch Cover","RC Fuselage Hatch","Provides access to internal electronics and battery compartment.","mechanical","enclosure",1,15.00,15.00,"https://www.amazon.com/s?k=rc+fuselage+hatch"
"Front Landing Skid","Front Landing Skid","Protects the front fuselage during belly landings.","mechanical","3d_printed",1,3.50,3.50,"https://www.amazon.com/s?k=PETG+filament"
"Rear Landing Skid","Rear Landing Skid","Protects the rear fuselage/tail during belly landings.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PETG+filament"
"M3x10mm Mounting Screws","M3x10mm Hex Socket Cap Screws","General purpose screws for mounting various components.","mechanical","misc",30,0.05,1.50,"https://www.amazon.com/s?k=M3x10mm+hex+screws"
"M3 Nuts","M3 Hex Nuts","Used with M3 screws for secure fastening.","mechanical","misc",30,0.03,0.90,"https://www.amazon.com/s?k=M3+hex+nuts"
