Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Development Board","Microcontroller for overall system control, sensor reading, and actuator activation.","electrical","mcu",1,8.00,8.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32D/9356990"
"Soil Moisture Sensor","Capacitive Soil Moisture Sensor v1.2","Measures the volumetric water content in the soil.","electrical","sensor",1,3.00,3.00,"https://www.amazon.com/s?k=capacitive+soil+moisture+sensor+v1.2"
"Ambient Temp/Humidity Sensor","DHT22 Temperature and Humidity Sensor","Measures ambient temperature and relative humidity of the air.","electrical","sensor",1,5.00,5.00,"https://www.amazon.com/s?k=dht22+temperature+humidity+sensor"
"Water Pump","Mini DC 12V Water Pump","Pumps water from an external container to water the plants.","electrical","actuator",1,7.00,7.00,"https://www.amazon.com/s?k=mini+dc+12v+water+pump"
"Cooling Fan","12V DC Cooling Fan 80x80x25mm","Circulates air to regulate ambient humidity and temperature.","electrical","actuator",1,6.00,6.00,"https://www.amazon.com/s?k=12v+dc+cooling+fan+80mm"
"Pump Relay Module","1-Channel 5V Relay Module","Controls the 12V water pump using a 5V signal from the ESP32.","electrical","module",1,2.50,2.50,"https://www.amazon.com/s?k=1+channel+5v+relay+module"
"Fan Relay Module","1-Channel 5V Relay Module","Controls the 12V cooling fan using a 5V signal from the ESP32.","electrical","module",1,2.50,2.50,"https://www.amazon.com/s?k=1+channel+5v+relay+module"
"5V Step-Down Converter","MP1584EN DC-DC Buck Converter Module","Steps down 12V from the main power supply to 5V for the ESP32, sensors, and relays.","electrical","power",1,1.50,1.50,"https://www.amazon.com/s?k=mp1584en+buck+converter"
"Mini Greenhouse Frame","Mini Polycarbonate Greenhouse Kit","Compact frame to house plants and internal components, providing a controlled environment.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=mini+greenhouse+kit+polycarbonate"
"Electronics Enclosure","Electronics Enclosure","Custom enclosure to protect ESP32, relays, and power converter from humidity and physical damage.","mechanical","3d_printed",1,5.00,5.00,"https://www.thingiverse.com/search?q=esp32+enclosure"
"Soil Sensor Mount","Soil Sensor Mount","Bracket to securely hold the capacitive soil moisture sensor in the soil at the desired depth.","mechanical","3d_printed",1,0.50,0.50,"https://www.thingiverse.com/search?q=capacitive+soil+sensor+mount"
"Ambient Sensor Mount","Ambient Sensor Mount","Small mount for the DHT22 sensor to be positioned for accurate ambient readings.","mechanical","3d_printed",1,0.20,0.20,"https://www.thingiverse.com/search?q=dht22+mount"
"Water Pump Bracket","Water Pump Bracket","Mounting bracket to secure the 12V DC water pump within the greenhouse or near the external reservoir.","mechanical","3d_printed",1,1.00,1.00,"https://www.thingiverse.com/search?q=mini+water+pump+mount"
"Cooling Fan Mount","Cooling Fan Mount","Bracket to integrate the 80mm cooling fan into the greenhouse structure for air circulation.","mechanical","3d_printed",1,1.50,1.50,"https://www.thingiverse.com/search?q=80mm+fan+mount+greenhouse"
"M3 Screws","M3x8mm Phillips Head Screws","Fasteners for mounting PCBs and components to 3D-printed parts and the greenhouse frame.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/s?k=m3x8mm+screws"
"M3 Heat Set Inserts","M3 Brass Heat Set Inserts","Used in 3D-printed parts to provide strong, reusable threads for M3 screws.","mechanical","misc",10,0.10,1.00,"https://www.adafruit.com/product/4255"
"Water Tubing","Silicone Tubing 6mm ID","Flexible tubing for connecting the water pump to the external reservoir and to the plant area.","mechanical","misc",2,3.00,6.00,"https://www.amazon.com/s?k=silicone+tubing+6mm+id"
"Cable Zip Ties","Small Nylon Zip Ties","For organizing and securing wiring within the greenhouse.","mechanical","misc",30,0.02,0.60,"https://www.amazon.com/s?k=small+zip+ties"
"Solar Panel","12V 20W Monocrystalline Solar Panel","Converts sunlight into electrical energy to power the system and charge the battery.","electrical","power",1,25.00,25.00,"https://www.amazon.com/s?k=12v+20w+monocrystalline+solar+panel"
"Solar Charge Controller","PWM Solar Charge Controller 10A 12V/24V","Manages power flow from the solar panel to the battery and regulates output to the load.","electrical","module",1,15.00,15.00,"https://www.amazon.com/s?k=pwm+solar+charge+controller+10a"
"12V Battery","12V 7Ah Sealed Lead Acid Battery","Stores energy from the solar panel for continuous power supply during low light or night.","electrical","power",1,20.00,20.00,"https://www.amazon.com/s?k=12v+7ah+sealed+lead+acid+battery"
"Solar Panel Mount","Adjustable Solar Panel Mount Bracket","Bracket to securely attach the solar panel to the greenhouse frame.","mechanical","3d_printed",1,2.00,2.00,"https://www.thingiverse.com/search?q=solar+panel+mount+bracket"
"Charge Controller Mount","Solar Charge Controller Mounting Bracket","Mounting bracket to secure the solar charge controller inside the electronics enclosure.","mechanical","3d_printed",1,1.00,1.00,"https://www.thingiverse.com/search?q=solar+charge+controller+mount"
"Battery Holder","12V Battery Holder/Tray","Tray or enclosure to securely hold the 12V battery.","mechanical","3d_printed",1,1.50,1.50,"https://www.thingiverse.com/search?q=12v+battery+holder"
