Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Navigation Controller","Raspberry Pi 4 Model B (8GB)","Main processing unit for robot control, navigation (SLAM), and sensor data aggregation. Chosen for higher processing power required by Lidar SLAM and potential future vision tasks.","electrical","mcu",1,75.00,75.00,"https://www.digikey.com/en/products/detail/raspberry-pi/RASPBERRY-PI-4-8GB/12447477"
"Drive & Gantry Motor Shield","Waveshare Motor Control HAT","","electrical","module",1,22.00,22.00,"https://www.amazon.com/s?k=Waveshare+Motor+Control+HAT+Raspberry+Pi"
"Navigation LiDAR","RPLIDAR A1M8","2D LIDAR for environmental mapping, obstacle detection, and localization.","electrical","sensor",1,99.00,99.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxIl8eqQEDvTRDby5goo87JMo0ZVWVKEC1dSI2cCt5m3tzXXEhA1hc9j4F4vGJvQuB944YUJRINZcAq6PwoCnY41jRS4PHIInw0CbANFRYPGvaRGREZNb64dazKb6xOpmh1ykrLpelPP6ftr9QFQk42FYMFU8CF8VQL8L8mvTSGzAKfnc48e9rae1EXpErkkHBiWqe1FVRUC8N2XbPInRN6C4FVdM7LiJJvVbEfhjAiJeJ5kLP9KVIRKO10XzTp0t40NqB5vhoHLB7o2VdQT4ukzLWIBVrf1EMUxomytOGCCZt9obzM9ewn3r2CObSURX6a7txaU0MRkAZYH0q4SOPJHhRFtoZ3MG2EJQsrsDOImIshZnsSWuqftzFKmeflVGdztARtJFKjRNKtjGRbjfdA5wzuRQ6xsE1yAPM4rXXCfZ879WiXBZUJ5nV8gr6LN08LdurxdBtxuSZBOhvddKqmVqegpeMubui64zAlGfVXbh1DakKZm16vKl4Kne7bFd3NWJgWjNK7J4HF7FfUWIlum6mCnkZK73Nc25Vlxxq4i9ifZiYhyJD7MWDW50UC8rwd0Kzb5def505ebVxf67PLTRiehsMcefuOB2DxmtG3halYTYEHwJTuAL2PnnYilor6nmawHoZ7jjldYTYCtQULHh"
"Left Drive Motor","12V DC Gear Motor with Encoder","DC motor for front-left omnidirectional wheel with integrated encoder.","electrical","actuator",1,25.00,25.00,"https://www.pololu.com/category/116/37d-mm-gearmotors"
"Right Drive Motor","12V DC Gear Motor with Encoder","DC motor for front-left omnidirectional wheel with integrated encoder.","electrical","actuator",1,25.00,25.00,"https://www.pololu.com/category/116/37d-mm-gearmotors"
"Vertical Gantry Motor","NEMA 23 Stepper Motor (High Torque)","Grinds frozen fruit puree blocks.","electrical","actuator",1,45.00,45.00,"https://www.digikey.com/en/products/filter/stepper-motors/163"
"Arm 1 Base Brushless Motor","Planetary Geared Brushless DC Motor (24V)","","electrical","actuator",1,120.00,120.00,"https://www.amazon.com/dp/B0GF7X4PM9?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Arm 2 Base Brushless Motor","Planetary Geared Brushless DC Motor (24V)","","electrical","actuator",1,120.00,120.00,"https://www.amazon.com/dp/B0GF7X4PM9?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Inertial Measurement Unit","BNO055 9-DOF Sensor","","electrical","sensor",1,34.00,34.00,"https://www.adafruit.com/product/2472"
"Main Power Source","24V 20Ah LiFePO4 Battery Pack","Primary power source for the go-kart.","electrical","power",1,180.00,180.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRzpCES6StZPUyEKIIp5oXYInhDnbpWZDeZNFqgXt2h8RnJbSZA9IytLpvAwcTKqWV0rXw0hT0T4utP2oFWwvKO9yyHBzQWNBxDyTJE5mYC61aOGE5SKZqQYF86UeNYilh1tUssm2PY1vungkK1LgGYfZiSLbaON6KONBWkFFumaQAOG2WACZsnHkg4t7fr2aNq9OWpDbRFgeTHPIHjybq0pPM5Mq1NCfJoWPnwnXNMFRzqgPgDerNxjMRMKPWGnWdAClUpfQiK75dV9T2jY8CJ2PZUgfqJZbOrETNGzsY1B0ITNOiByMJY1NNBdTrAafvSE8oGwMI6aTL2UWRU199iIXEpQFMZPbr3UppbkOyxqXDE70UrJv8DFUZsfsFY31dMgEDDXAaoTB9LYOUdl6iC7DCCLZ685iAwkTkE0mlZFCEiDop9m8ILYDl9N0ZMsOeAgLXlWl9vQuSZnqMhuvbvOrJOdJVOhGuP3B1WDZqiHHw4LjR4F77ECMvgsUOeD3uBXWxKWbfKW8WGe0p7tH3icGiCdoAJp3XlMsaBVIo05M03Y1TwNyu5EEVlLWznlRLspwrVt5T8Mjqh5d9TsvQrylRiBp9OKkQS22PQP0krxn0OXLich6a0MM27GpWu7LxvIwGdH9RNReas68ql99gZN"
