Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Engine Kill Switch","Universal Momentary Kill Switch","A simple momentary push-button or toggle switch to cut ignition to the gasoline engine for emergency stops.","electrical","other",1,4.50,4.50,"https://www.amazon.com/s?k=momentary+engine+kill+switch"
"Engine Mounting Plate","Universal Engine Mounting Plate","Steel plate for mounting the gasoline engine to the chassis.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=go+kart+engine+mount+plate"
"Left Rear Axle Bearing Mount","Go Kart Bearing Hanger Bracket","Bracket to secure the left rear axle bearing to the chassis.","mechanical","structural",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+bearing+hanger+bracket"
"Right Rear Axle Bearing Mount","Go Kart Bearing Hanger Bracket","Bracket to secure the right rear axle bearing to the chassis.","mechanical","structural",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+bearing+hanger+bracket"
"Steering Column Support Bearing","Go Kart Steering Column Support Bearing","Bearing support for the steering column.","mechanical","structural",1,10.00,10.00,"https://www.amazon.com/s?k=go+kart+steering+column+support"
"Live Rear Axle","Go Kart Live Rear Axle","Solid steel axle for rear wheels and drivetrain.","mechanical","mechanism",1,90.00,90.00,"https://www.amazon.com/s?k=go+kart+live+rear+axle"
"Left Rear Axle Bearing","Pillow Block Bearing 25mm","Bearing for the left side of the rear axle.","mechanical","mechanism",1,12.00,12.00,"https://www.amazon.com/s?k=pillow+block+bearing+25mm"
"Right Rear Axle Bearing","Pillow Block Bearing 25mm","Bearing for the right side of the rear axle.","mechanical","mechanism",1,12.00,12.00,"https://www.amazon.com/s?k=pillow+block+bearing+25mm"
"Drive Sprocket","Go Kart Axle Drive Sprocket #40/41","Sprocket mounted on the rear axle for chain drive.","mechanical","mechanism",1,20.00,20.00,"https://www.amazon.com/s?k=go+kart+drive+sprocket+40+41"
"Engine Clutch Sprocket","Centrifugal Clutch Sprocket #40/41","Clutch with integrated sprocket for engine output.","mechanical","mechanism",1,35.00,35.00,"https://www.amazon.com/s?k=centrifugal+clutch+40+41"
"Drive Chain","Roller Chain #40/41","Chain connecting engine sprocket to axle sprocket.","mechanical","mechanism",1,18.00,18.00,"https://www.amazon.com/s?k=roller+chain+40+41"
"Left Front Wheel Assembly","Go Kart Front Wheel Assembly 10 inch","Complete front wheel with pneumatic tire and hub.","mechanical","mechanism",1,30.00,30.00,"https://www.amazon.com/s?k=go+kart+front+wheel+10+inch"
"Right Front Wheel Assembly","Go Kart Front Wheel Assembly 10 inch","Complete front wheel with pneumatic tire and hub.","mechanical","mechanism",1,30.00,30.00,"https://www.amazon.com/s?k=go+kart+front+wheel+10+inch"
"Left Rear Wheel Assembly","Go Kart Rear Wheel Assembly 10 inch","Complete rear wheel with pneumatic tire and hub.","mechanical","mechanism",1,35.00,35.00,"https://www.amazon.com/s?k=go+kart+rear+wheel+10+inch"
"Right Rear Wheel Assembly","Go Kart Rear Wheel Assembly 10 inch","Complete rear wheel with pneumatic tire and hub.","mechanical","mechanism",1,35.00,35.00,"https://www.amazon.com/s?k=go+kart+rear+wheel+10+inch"
"Steering Shaft","Go Kart Steering Shaft","Main shaft connecting steering wheel to steering linkage.","mechanical","mechanism",1,30.00,30.00,"https://www.amazon.com/s?k=go+kart+steering+shaft"
"Upper Steering Universal Joint","Go Kart Steering U-Joint","Universal joint for steering shaft.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+steering+u+joint"
"Lower Steering Universal Joint","Go Kart Steering U-Joint","Universal joint for steering shaft.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+steering+u+joint"
"Left Steering Tie Rod","Go Kart Steering Tie Rod","Tie rod connecting steering arm to left spindle.","mechanical","mechanism",1,10.00,10.00,"https://www.amazon.com/s?k=go+kart+steering+tie+rod"
"Right Steering Tie Rod","Go Kart Steering Tie Rod","Tie rod connecting steering arm to right spindle.","mechanical","mechanism",1,10.00,10.00,"https://www.amazon.com/s?k=go+kart+steering+tie+rod"
"Left Front Spindle","Go Kart Left Front Spindle","Pivot point and wheel mount for the left front wheel.","mechanical","mechanism",1,25.00,25.00,"https://www.amazon.com/s?k=go+kart+left+front+spindle"
"Right Front Spindle","Go Kart Right Front Spindle","Pivot point and wheel mount for the right front wheel.","mechanical","mechanism",1,25.00,25.00,"https://www.amazon.com/s?k=go+kart+right+front+spindle"
"Left Front Kingpin","Go Kart Kingpin","Pin for pivoting left front spindle.","mechanical","misc",1,5.00,5.00,"https://www.amazon.com/s?k=go+kart+kingpin"
"Right Front Kingpin","Go Kart Kingpin","Pin for pivoting right front spindle.","mechanical","misc",1,5.00,5.00,"https://www.amazon.com/s?k=go+kart+kingpin"
"Steering Pitman Arm","Go Kart Steering Arm","Arm connecting the steering shaft to the tie rods.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+steering+arm"
"Rear Axle Brake Disc Assembly","Go Kart Hydraulic Disc Brake Kit","Complete hydraulic disc brake system for the rear axle.","mechanical","mechanism",1,60.00,60.00,"https://www.amazon.com/s?k=go+kart+hydraulic+disc+brake+kit"
"Brake Pedal","Go Kart Brake Pedal","Foot pedal for operating the brake system.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+brake+pedal"
"Throttle Pedal","Go Kart Throttle Pedal","Foot pedal for engine throttle control.","mechanical","mechanism",1,15.00,15.00,"https://www.amazon.com/s?k=go+kart+throttle+pedal"
"General Fastener Kit","Assorted Bolt Nut Washer Kit","Assortment of bolts, nuts, and washers for general assembly.","mechanical","misc",1,40.00,40.00,"https://www.amazon.com/s?k=go+kart+bolt+kit"
"Engine Kill Switch Mount","Engine Kill Switch Mount","3D printed bracket to securely mount the engine kill switch.","mechanical","3d_printed",1,2.00,2.00,"N/A"
