Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Development Board","EVAL BOARD FOR ESP-WROOM-32","electrical","mcu",1,8.00,8.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32D/9356990"
"Base Rotary Servo","TowerPro MG996R Digital Servo","High-torque servo motor to provide rotational input to the planetary gear system.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/dp/B07MFK266B?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Shoulder Joint Servo","TowerPro MG996R Digital Servo","High-torque servo motor to provide rotational input to the planetary gear system.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/dp/B07MFK266B?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Elbow Joint Servo","TowerPro MG996R Digital Servo","High-torque servo motor to provide rotational input to the planetary gear system.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/dp/B07MFK266B?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Gripper Actuation Servo","SG90 Micro Servo","SG-90 ANALOG SERVO","electrical","actuator",1,3.00,3.00,"https://octopart.com/opatz8j6/a1?t=puzKAaPtOPZLOlvFOhH8uFYHJSKg7E9Bdyhhw3QGOORTWZfYvmJGlvLJDW7WsurX-BrODr-MWYPHpdAfawzOFlUHO4gjTJjMbG2V42CdgFF3bMtc5xdgXjnddwL3lrwIMxIQ2ZIoXTwUm-St2Zxahvaw-hRG_M6rCRN3nVssJeOntwV65kw7Q5pvl0nqfem6mIOrNEfB9wKfnk_UXorv9EtdddC1fq-khpmC0n-NibpjsKBBmrIObNQ3w0nSLY__fI3gxaKOzQR-G-VPrQHFz46xnCqTQss"
"Main Power Supply","5V 10A DC Power Supply Adapter","Provides stable 5V DC power for the ESP32 microcontroller and the WS2812B LED strip.","electrical","power",1,20.00,20.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxw8evkweh0rQLw1Ass2LtBZgPVqwRwxyy3SOBdLuDx4XpHatCoHQRyifjoGnodqYlUYWYkQ790qxWpeAcOeergVT4M5nPUgwljfyZ8mxyZNszYp3B1HKrTDLkdcTF6UBPGa1lssoqV7Rt1lkbnfRY5rGKOmYcAUSPTBgxBdgOk9X3qdRiMnM7kOxrUtD085CCxorIKAubKJcmOi90g7QfJ8Ye7tDlJs77Gtv2FslDool41ojKyWO1vdq6Kn4S0Pc1YxpKUqc4d3ECvNlwSuIKoJTmNnYL79giHtGW697uYM3UYsbabcWL38G4fPq9q4fVVLbPwukGRJxUwV84OU2ddLycVuBJnN0MfeMnpyy7NDqoLMQvkhHox86OxzYlBa2z5119qnShtaDHetDVH4evHa9D6LnBiO4dJ4UKEwECEiPSDArxUkauxEblvVCrzwuueqsJID1927v4HwRtHZoGmaxsT0tN1ZHIe0UQmvj85irOcE14tDPl3J7dV5btLl7YA48e7o8vlSKz1ej9ErDHzjAvFtfc8kAFpA9I8HCXqKzq2RrxVi7gvH1f7ybmhsexuzGuAX6R0TZnpuPFSgxOzvcBnKQnOpX3MTGw8cpfQaKOWcZN1yVuo9QboRR7JR2K6akbFKelEmjPQAM4FPvTXcX"
"Power Distribution Board","Terminal Block Power Distribution Board","Distributes 12V power from the battery to high-power components.","electrical","module",1,5.00,5.00,"https://www.amazon.com/s?k=terminal+block+power+distribution"
"Base Plate","Aluminum Plate","Sturdy base for the robotic arm, providing stability and mounting points for the first joint and electronics.","mechanical","structural",1,15.00,15.00,"https://www.adafruit.com/product/1220"
"Base Servo Mount","","Mount for the base servo to attach to the base plate, allowing for horizontal rotation of the first arm segment.","mechanical","3d_printed",1,1.50,1.50,""
"Arm Segment 1 (Shoulder Link)","","Connects the base joint to the shoulder joint, forming the first major link of the SCARA arm.","mechanical","3d_printed",1,2.00,2.00,""
"Shoulder Servo Mount","","Mount for the shoulder servo, integrating it into Arm Segment 1 and connecting to Arm Segment 2.","mechanical","3d_printed",1,1.50,1.50,""
"Arm Segment 2 (Elbow Link)","","Connects the shoulder joint to the elbow joint, forming the second major link of the SCARA arm.","mechanical","3d_printed",1,1.80,1.80,""
"Elbow Servo Mount","","Mount for the elbow servo, integrating it into Arm Segment 2 and connecting to the wrist/end-effector.","mechanical","3d_printed",1,1.50,1.50,""
"Wrist Plate","","Flat plate at the end of Arm Segment 2, serving as the attachment point for the gripper or other end-effector.","mechanical","3d_printed",1,0.80,0.80,""
"Gripper Servo Mount","","Mount for the micro servo that actuates the gripper fingers.","mechanical","3d_printed",1,0.50,0.50,""
"2-Finger Gripper Body","","Main frame of the 2-finger gripper, holding the servo and allowing finger attachment.","mechanical","3d_printed",1,1.20,1.20,""
"Gripper Finger (Left)","","One of two fingers for the end-effector gripper, designed for light payload manipulation.","mechanical","3d_printed",1,0.30,0.30,""
"Gripper Finger (Right)","","One of two fingers for the end-effector gripper, designed for light payload manipulation.","mechanical","3d_printed",1,0.30,0.30,""
"M3x12mm Screws","M3x12mm Pan Head Machine Screws","Standard M3 screws for general assembly of 3D-printed parts and servo mounting.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/dp/B0GC4D943W?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
