Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Development Board","Powerful microcontroller with integrated Wi-Fi and Bluetooth for arm control and potential wireless communication.","electrical","mcu",1,7.50,7.50,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32D/9356990"
"Base Rotation Servo","SG90 Micro Servo Motor","Servo for controlling the base rotation of the robotic arm.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Shoulder Joint Servo","SG90 Micro Servo Motor","Servo for controlling the shoulder joint movement of the robotic arm.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Elbow Joint Servo","SG90 Micro Servo Motor","Servo for controlling the elbow joint movement of the robotic arm.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Wrist Rotate Servo","SG90 Micro Servo Motor","Servo for controlling the wrist rotation, providing an additional degree of freedom.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Gripper Actuation Servo","SG90 Micro Servo Motor","Servo for actuating the gripper or tool holder mechanism.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Main LiPo Battery","3.7V 1000mAh LiPo Battery","Rechargeable lithium polymer battery to power the entire robot system.","electrical","power",1,8.00,8.00,"https://www.amazon.com/s?k=1000mah+3.7v+lipo+battery"
"LiPo Charger and 5V Boost","TP4056 with MT3608 Boost Module","Module for charging the LiPo battery and boosting its voltage to 5V for the microcontroller and servos.","electrical","power",1,4.00,4.00,"https://www.amazon.com/s?k=tp4056+mt3608+module"
"Control Joystick Module","KY-023 Joystick Module","Analog joystick module for manual control of the arm's movements.","electrical","module",1,3.50,3.50,"https://www.amazon.com/s?k=KY-023+joystick+module"
"Robot Base Plate","Acrylic Sheet","Flat base for stability and mounting main components.","mechanical","structural",1,5.00,5.00,"https://www.amazon.com/s?k=acrylic+sheet+150x150x5mm"
"Base Housing Bottom","Base Housing Bottom","Enclosure for base servo and electronics, integrates with base plate.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PLA+filament"
"Base Housing Top","","Lid for the base housing, potentially with cutouts for controls.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=PLA+filament"
"Base Servo Mount","Base Servo Mount","Mounting bracket for the base rotation servo within the base housing.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PETG+filament"
"Main Controller Mount","Main Controller Mount","Tray or stand-off mount for the main microcontroller board.","mechanical","3d_printed",1,0.75,0.75,"https://www.amazon.com/s?k=PLA+filament"
"Power Management Mount","Power Management Mount","Small bracket for securing the LiPo charger/boost converter board.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PLA+filament"
"Control Joystick Mount","Control Joystick Mount","Mounting bezel or housing for the joystick module.","mechanical","3d_printed",1,0.60,0.60,"https://www.amazon.com/s?k=PLA+filament"
"Shoulder Arm Segment","Shoulder Arm Segment","First arm link, connects base to elbow, houses shoulder servo.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=PETG+filament"
"Shoulder Servo Mount","Shoulder Servo Mount","Mounting feature integrated within the shoulder arm segment for the shoulder servo.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PETG+filament"
"Elbow Arm Segment","Elbow Arm Segment","Second arm link, connects shoulder to wrist, houses elbow servo.","mechanical","3d_printed",1,2.80,2.80,"https://www.amazon.com/s?k=PETG+filament"
"Elbow Servo Mount","Elbow Servo Mount","Mounting feature integrated within the elbow arm segment for the elbow servo.","mechanical","3d_printed",1,0.45,0.45,"https://www.amazon.com/s?k=PETG+filament"
