Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main LiPo Battery","2S/3S LiPo Battery","Primary power source for the robot (2S/3S LiPo).","electrical","power",1,15.00,15.00,"https://www.amazon.com/s?k=2s+lipo+battery"
"LiPo Battery Management System","2S/3S BMS Module","Protects LiPo battery from overcharge, over-discharge, and overcurrent.","electrical","module",1,5.00,5.00,"https://www.amazon.com/s?k=2s+3s+bms+module"
"5V Step-Down Converter (Main)","LM2596 DC-DC Buck Converter","Provides stable 5V for LicheeRV-Nano and ESP32.","electrical","power",1,3.00,3.00,"https://www.amazon.com/s?k=lm2596+buck+converter"
"LicheeRV-Nano AI Brain","LicheeRV-Nano","Main AI processing unit, runs Linux, handles vision and high-level AI.","electrical","mcu",1,20.00,20.00,"https://www.amazon.com/s?k=licheerv+nano"
"ESP32 Real-time Controller","ESP32-WROOM-32 Development Board","Handles motor control, sensor readings, and communicates with LicheeRV-Nano.","electrical","mcu",1,7.00,7.00,"https://www.amazon.com/s?k=esp32+devkit"
"TB6612FNG Motor Driver","TB6612FNG Motor Driver","Dual DC motor driver for controlling tracks.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=tb6612fng+motor+driver"
"Left Track DC Motor","N20 Gear Motor","DC motor for driving the left track.","electrical","actuator",1,6.00,6.00,"https://www.amazon.com/s?k=n20+gearmotor+6v"
"Right Track DC Motor","N20 Gear Motor","DC motor for driving the right track.","electrical","actuator",1,6.00,6.00,"https://www.amazon.com/s?k=n20+gearmotor+6v"
"Head Pan Servo","SG90 Micro Servo","Micro servo for horizontal head movement.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=sg90+micro+servo"
"Head Tilt Servo","SG90 Micro Servo","Micro servo for vertical head movement.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=sg90+micro+servo"
"Left Arm Servo","SG90 Micro Servo","Micro servo for left arm articulation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=sg90+micro+servo"
"Right Arm Servo","SG90 Micro Servo","Micro servo for right arm articulation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=sg90+micro+servo"
"Front Ultrasonic Sensor","HC-SR04 Ultrasonic Sensor","Measures distance for obstacle avoidance (front).","electrical","sensor",1,2.00,2.00,"https://www.amazon.com/s?k=hc-sr04+ultrasonic"
"Rear Ultrasonic Sensor","HC-SR04 Ultrasonic Sensor","Measures distance for obstacle avoidance (rear).","electrical","sensor",1,2.00,2.00,"https://www.amazon.com/s?k=hc-sr04+ultrasonic"
"Front IR Obstacle Sensor","IR Obstacle Avoidance Sensor","Detects nearby obstacles using infrared (front).","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=ir+obstacle+sensor"
"Rear IR Obstacle Sensor","IR Obstacle Avoidance Sensor","Detects nearby obstacles using infrared (rear).","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=ir+obstacle+sensor"
"USB Microphone Module","Mini USB Microphone","Microphone for voice interaction, connected via USB to LicheeRV-Nano.","electrical","sensor",1,8.00,8.00,"https://www.amazon.com/s?k=usb+microphone+module"
"Speaker with Amplifier","PAM8403 Audio Amplifier with Speaker","Speaker for audio output, driven by an amplifier.","electrical","actuator",1,7.00,7.00,"https://www.amazon.com/s?k=pam8403+speaker+module"
"Main Chassis","","Base structure holding motors, electronics, and providing mounting points for tracks, arms, and head.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=PETG+filament"
"Left Track Motor","N20 DC Gear Motor","Small DC gear motor for driving the left track.","mechanical","mechanism",1,6.00,6.00,"https://www.amazon.com/s?k=N20+DC+gear+motor+6V"
"Right Track Motor","N20 DC Gear Motor","Small DC gear motor for driving the right track.","mechanical","mechanism",1,6.00,6.00,"https://www.amazon.com/s?k=N20+DC+gear+motor+6V"
"Track Motor Mount","","Mounts for N20 gear motors to the chassis.","mechanical","3d_printed",2,0.50,1.00,"https://www.amazon.com/s?k=PLA+filament"
"Left Rubber Track","Mini Robot Rubber Track","Rubber track band for mobility.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=mini+robot+rubber+track"
