Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D","Main microcontroller for AI processing, navigation logic, camera control, and display management. Chosen for compact size and integrated Wi-Fi/Bluetooth.","electrical","mcu",1,5.50,5.50,"https://www.digikey.com/en/products/result?keywords=ESP32-WROOM-32D"
"Head Tracking IMU","MPU-6050","6-axis IMU (accelerometer and gyroscope) for precise head movement and orientation tracking, essential for AR display stability and user interaction.","electrical","sensor",1,3.00,3.00,"https://www.digikey.com/en/products/result?keywords=MPU-6050+module"
"Navigation GPS","U-blox NEO-6M","GPS module providing location data for augmented reality navigation features.","electrical","module",1,15.00,15.00,"https://www.digikey.com/en/products/result?keywords=NEO-6M+GPS+module"
"AR Micro Display","SSD1306 0.96 inch OLED","Compact micro-OLED display for projecting augmented reality overlays directly into the user's field of view.","electrical","display",1,8.00,8.00,"https://www.digikey.com/en/products/result?keywords=SSD1306+0.96+oled"
"First Person Camera","OV2640 Camera Module","High-resolution camera module for capturing first-person perspective video and images, enabling AI vision applications.","electrical","sensor",1,10.00,10.00,"https://www.digikey.com/en/products/result?keywords=OV2640+camera+module"
"Voice Command Mic","MAX9814 Electret Microphone Amplifier","Electret microphone with amplifier for capturing user voice commands and ambient audio.","electrical","sensor",1,6.00,6.00,"https://www.digikey.com/en/products/result?keywords=MAX9814+microphone+module"
"Audio Feedback Speaker","Miniature 8 Ohm Speaker","Small 8-ohm speaker for providing audio feedback, navigation cues, and voice assistant responses.","electrical","actuator",1,3.00,3.00,"https://www.digikey.com/en/products/result?keywords=mini+speaker+8+ohm"
"LiPo Battery 3.7V","500mAh 3.7V LiPo Battery","Rechargeable Lithium Polymer battery, providing portable power for all smart glasses components.","electrical","power",1,12.00,12.00,"https://www.digikey.com/en/products/result?keywords=3.7V+LiPo+battery+500mAh"
"LiPo Charging Circuit","TP4056 LiPo Charger Module","Module for safe charging of the LiPo battery via USB-C or micro-USB.","electrical","power",1,2.50,2.50,"https://www.digikey.com/en/products/result?keywords=TP4056+charger+module"
"5V Buck Converter","Mini DC-DC Buck Converter 5V","Step-down converter to provide stable 5V power from the battery for components requiring 5V.","electrical","power",1,1.50,1.50,"https://www.digikey.com/en/products/result?keywords=mini+buck+converter+5v"
"Left Input Button","Tactile Push Button","Small tactile button for user input, located on the left side of the glasses frame.","electrical","other",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+button+small"
"Right Input Button","Tactile Push Button","Small tactile button for user input, located on the right side of the glasses frame.","electrical","other",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+button+small"
"Smart Glasses Frame","","Main frame for smart glasses, integrating bays and mounts for all electronics.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"Left Temple Hinge","Mini Spring Hinge","Small spring hinge for glasses temple, attaches to the left side of the frame.","mechanical","mechanism",1,2.50,2.50,"https://www.amazon.com/s?k=small+glasses+hinge"
"Right Temple Hinge","Mini Spring Hinge","Small spring hinge for glasses temple, attaches to the right side of the frame.","mechanical","mechanism",1,2.50,2.50,"https://www.amazon.com/s?k=small+glasses+hinge"
"Adjustable Nose Pads","Silicone Adjustable Nose Pad Set","Set of two silicone adjustable nose pads for comfortable fit.","mechanical","mechanism",1,3.00,3.00,"https://www.amazon.com/s?k=adjustable+glasses+nose+pads"
"MCU Mount","","Custom mount for the MCU (ESP32/Raspberry Pi Zero 2 W) inside the frame.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"IMU Housing","","Small housing for the IMU sensor to be integrated into the frame.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"GPS Module Mount","","Mounting bracket for the GPS module within the glasses frame.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"Micro-OLED Display Bezel","","Custom bezel and mount for the micro-OLED display, integrated into the frame near the eye.","mechanical","3d_printed",1,0.60,0.60,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"Camera Module Housing","","Housing for the high-resolution camera module, positioned for first-person view.","mechanical","3d_printed",1,0.70,0.70,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"Microphone Grille","","Small grille for the microphone, integrated into the frame.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"Speaker Grille","","Small grille for the speaker, integrated into the temple of the frame.","mechanical","3d_printed",2,0.20,0.40,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"Battery Bay Cover","","Removable cover for the LiPo battery and charging circuit bay.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"Push Button Caps","","Small caps for external push buttons or touch sensors.","mechanical","3d_printed",2,0.10,0.20,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"Small Frame Screws","M1.7x5mm Self-Tapping Micro Screws","Tiny screws for attaching hinges and securing small components to the frame.","mechanical","misc",6,0.15,0.90,"https://www.amazon.com/s?k=m1.7x5mm+glasses+screws"
"Component Mounting Screws","M2x8mm Phillips Pan Head Screws","Small screws for mounting internal 3D-printed parts and electrical components.","mechanical","misc",8,0.10,0.80,"https://www.amazon.com/s?k=m2x8mm+small+screws"
