Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller SBC","Raspberry Pi 4 Model B (4GB RAM)","","electrical","mcu",1,60.00,60.00,"https://www.adafruit.com/product/4296"
"5-inch Capacitive Touch Display","5 inch HDMI Capacitive Touch Screen LCD","","electrical","display",1,45.00,45.00,"https://www.amazon.com/s?k=5+inch+hdmi+capacitive+touchscreen+raspberry+pi"
"Li-Po Power Management HAT","UPS HAT for Raspberry Pi","Provides uninterrupted power to Raspberry Pi during power outages.","electrical","power",1,25.00,25.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxH9OpBfbjr8R5IUxzxvTmdTd62QXwbvMpnc7Pp73xo70rSqPqTLDXusD30DARCLFupi754jUU8h9JH21IgpRTdbSQdPNI02FmylCVcEH6hZpoqaGKAQjriUm6mYHDcyX04355yLrEo7U5pBw2TfehIM8OyOCEzUEcjekP5QkqdpWzYq5gPfCdFH8ac8DKfWZ5TFOjBUfdTeG9SMbNI5GM6ZSBLIykU3kDzzBmZeFhUcreF3VBlWq6LKJgAFnNkYi9ADf1HkVWLefTDuUr94Y6M55avHgwh4pOif4Vnmv5xmA9jO3uzXXXomWghyCeU9lzSBsoxIbydR3Fy0nxdGz3OdtcQOzdKyltuAlN1q9So4Ze8wYA7rdoq5CSq7dObg5SCmQRTYbF6Lxl1GH4SzNrjPVuPPSgJMfRYfeF3yoiho1SuZLl6e1DOHwzhKeRN3SJvfyNAw7AMLBCJuUNNyIXN0r7m1WrTv0f1CUSyjaBL9kIJ5kgPaxGrRDcIpos6aNeT23FxnQzmmnuXwvlv26qcUkFlQivVU6rITGXZueSDaDkKLAX9KDt8S1fauDoIR9zw06TSjpO8Q0vE0EvZhDRdmR5WVkxDhvmtQnNO9KXGaEWCs8qsYhoRLwNvEnz8oIsLh3ONRE26kaHQoW5A28TNpt"
"Rechargeable Li-Po Battery","3.7V 5000mAh LiPo Battery","Primary power source for the station.","electrical","power",1,15.00,15.00,"https://www.adafruit.com/product/2011"
"High-Gain USB WiFi Adapter","Alfa AWUS036ACM USB Wi-Fi Adapter","External USB Wi-Fi adapter with monitor mode and packet injection capabilities for advanced Wi-Fi security testing.","electrical","module",1,40.00,40.00,"https://www.amazon.com/dp/B08BJS8FXD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Mini Joystick Module","KY-023 Joystick Module","Dual-axis joystick for controlling arm movements.","electrical","sensor",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxgIz6FdvIOsfcMgAYH0HZntKWMgx18fCki2n5X8biJIpD8X9fcBf6xM0nv40JA3eBjplb7c55mQoq9H1R2S4kTBCJsSc9yoe708AQzMLhwwM3i8eYAuLYHFR3ufNVxx5vpwV4o7Q75zol1gEPSSUlESRsGwdCMz7nHwDySAxlwtv7VvvP4qCeajDAN4bQZVzSJplq5svodqHEBgJrEZzawLGvcNuC5FGvCfb9kbM5WqHt5b7LRt5dDGVwnUCtyBz5MIOTyjtRIROicveciDmiGNSra1AbXvMRzhN48OwGyAZxiWUPYC7l4YZDh34mGX91QgXd6nte35jt0gH1mHTTU88rgRbF4ZuGXcenq9j3g6LV3oiSzyECXKLJKWosmUSQFpbEEbp6aNXppdAhQZgbclxAy2RknJItk1G26RjyLoK6reUA6Dg1rJ97s8sD0vMchJSrtIypuwjAhtL3nDd89QAru9O1IMApbaCOtb5mvJCmpJZPQ2NpIavsawnhIWBEGfYESp7OgXuK3JaWdaQFoHmEMRUgwZb09PYdGKMOEYWcWqjw5G7bk3DuT9ITs6PH7M5s8NVwJ37wHBiY0hn4rvrwzgFbYsNnHq496eaYvg3u1RS8rayruMmC7UblKBTDVKlNu27q417MhSu1VEi0T0X"
"Tactile Button (Up)","6x6x5mm Tactile Switch","","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+switch+6x6x5mm"
"Tactile Button (Down)","6x6x5mm Tactile Switch","","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+switch+6x6x5mm"
"Tactile Button (Left)","6x6x5mm Tactile Switch","","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+switch+6x6x5mm"
"Tactile Button (Right)","6x6x5mm Tactile Switch","","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+switch+6x6x5mm"
"Tactile Button (Enter)","6x6x5mm Tactile Switch","","electrical","sensor",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=tactile+switch+6x6x5mm"
