Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main System Controller","STM32H743ZI2","Manages phase shifter settings, LNA gain control, and other low-level beamforming operations for the phased array modules.","electrical","mcu",1,25.00,25.00,"https://www.digikey.com/en/products/detail/stmicroelectronics/STM32H743ZI2TR/12061400"
"Wideband SDR Transceiver","HackRF One","Compact Software-Defined Radio for Electronic Intelligence (ELINT) gathering.","electrical","module",1,350.00,350.00,"https://www.sparkfun.com/products/14498"
"Power Management IC","BQ25798","High-efficiency USB-C PD compatible battery charger for LiPo.","electrical","power",1,6.50,6.50,"https://www.digikey.com/en/products/detail/texas-instruments/BQ25798RGER/16550787"
"High-Capacity LiPo Battery","LiPo 3.7V 5000mAh","High capacity rechargeable Lithium Polymer battery for Pachołek unit.","electrical","power",2,30.00,60.00,"https://www.adafruit.com/product/328"
"High-Efficiency Boost Converter","TPS61088RNR","","electrical","power",1,4.50,4.50,"https://www.digikey.com/en/products/detail/texas-instruments/TPS61088RNRR/5488106"
"Solar Charge Controller Module","CN3791 Module","","electrical","power",1,15.00,15.00,"https://www.amazon.com/dp/B07R4R1W2M"
"IPS TFT Color Display","2.8 inch SPI TFT LCD ILI9341","Full color graphic display for detailed target identification, depth estimation, discrimination, and a user-friendly menu interface.","electrical","display",1,20.00,20.00,"https://www.adafruit.com/product/1770"
"Miniature Tactile Keypad","4x4 Membrane Keypad","4x4 matrix membrane keypad for numerical input.","electrical","module",1,5.00,5.00,"https://www.adafruit.com/product/419"
"Audio Codec IC","PCM3168A","High-performance multi-channel audio codec for digital input and 4-channel analog output.","electrical","module",1,12.00,12.00,"https://www.digikey.com/en/products/detail/texas-instruments/PCM3168APWPR/1000673"
"Noise-Cancelling Microphone","SPH0645LM4H-B","MEMS microphone for voice command capture and spatial audio.","electrical","sensor",1,2.50,2.50,"https://www.digikey.com/en/products/detail/knowles/SPH0645LM4H-B/5186989"
"Rugged Miniature Speaker","PJ032-15R-35","","electrical","actuator",1,8.00,8.00,"https://www.digikey.com/en/products/detail/cui-devices/PJ032-15R-35/980649"
"Main Enclosure Housing","Hammond 1550Z107BK IP67 Aluminum Enclosure","Durable, waterproof aluminum enclosure to house all internal components, providing military-grade protection.","mechanical","enclosure",1,45.00,45.00,"https://www.amazon.com/s?k=Hammond+1550Z107BK+IP67+Aluminum+Enclosure"
