Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller MCU","Arduino Mega 2560 R3","Microcontroller board based on the ATmega2560, suitable for projects requiring many I/O pins.","electrical","mcu",1,15.00,15.00,"https://www.amazon.com/s?k=arduino+mega+2560"
"RAMPS 1.4 Motor Driver Shield","RAMPS 1.4 Control Board","Interface board for stepper drivers, heaters, and sensors.","electrical","module",1,10.00,10.00,"https://www.amazon.com/s?k=ramps+1.4+board"
"X-Axis Stepper Motor","NEMA 17 Stepper Motor 17HS4401","NEMA 17 stepper motor for X-axis motion, GT2 belt driven.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/s?k=nema+17+stepper+motor"
"Y-Axis Stepper Motor","NEMA 17 Stepper Motor 17HS4401","NEMA 17 stepper motor for X-axis motion, GT2 belt driven.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/s?k=nema+17+stepper+motor"
"Z-Axis Stepper Motor","NEMA 17 Stepper Motor 17HS4401","NEMA 17 stepper motor for X-axis motion, GT2 belt driven.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/s?k=nema+17+stepper+motor"
"Extruder Stepper Motor","NEMA 17 Stepper Motor 17HS4401","NEMA 17 stepper motor for X-axis motion, GT2 belt driven.","electrical","actuator",1,12.00,12.00,"https://www.amazon.com/s?k=nema+17+stepper+motor"
"X-Axis Stepper Driver","A4988 Stepper Motor Driver","Driver for the NEMA 17 stepper motor on the X-axis.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=a4988+stepper+driver"
"Y-Axis Stepper Driver","A4988 Stepper Motor Driver","Driver for the NEMA 17 stepper motor on the X-axis.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=a4988+stepper+driver"
"Z-Axis Stepper Driver","A4988 Stepper Motor Driver","Driver for the NEMA 17 stepper motor on the X-axis.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=a4988+stepper+driver"
"Extruder Stepper Driver","A4988 Stepper Motor Driver","Driver for the NEMA 17 stepper motor on the X-axis.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=a4988+stepper+driver"
"Hotend Heater Cartridge","12V 40W Heater Cartridge","Heats the hotend to melt ABS filament.","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=12v+40w+heater+cartridge"
"Hotend Thermistor","NTC 3950 100K Thermistor","Measures the temperature of the hotend.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=NTC+3950+100K+thermistor"
"X-Axis Min Endstop Switch","Mechanical Endstop Switch","Mechanical limit switch for X-axis homing.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printer+mechanical+endstop"
"Y-Axis Min Endstop Switch","Mechanical Endstop Switch","Mechanical limit switch for X-axis homing.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printer+mechanical+endstop"
"Z-Axis Min Endstop Switch","Mechanical Endstop Switch","Mechanical limit switch for X-axis homing.","electrical","sensor",1,1.50,1.50,"https://www.amazon.com/s?k=3d+printer+mechanical+endstop"
"Main Power Supply Unit","12V 30A Switching Power Supply","Provides stable 12V power to all components of the 3D printer.","electrical","power",1,25.00,25.00,"https://www.amazon.com/s?k=12v+30a+power+supply"
