Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32D Module","RF TXRX MOD BT WIFI TH SMD","electrical","mcu",1,5.00,5.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32D-N4/9381716"
"RC Receiver","Flysky FS-iA6B 2.4GHz RC Receiver","Receives commands from a 2.4 GHz RC transmitter for vehicle control.","electrical","module",1,15.00,15.00,"https://www.amazon.com/s?k=Flysky+FS-iA6B"
"Left Propulsion Motor","A2212 1000KV Brushless DC Motor","Brushless DC motor for left side propulsion.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/dp/B0D2W24DFX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Right Propulsion Motor","A2212 1000KV Brushless DC Motor","Brushless DC motor for left side propulsion.","electrical","actuator",1,10.00,10.00,"https://www.amazon.com/dp/B0D2W24DFX?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Left Motor ESC","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"Right Motor ESC","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,8.00,8.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"Conveyor Belt Motor","N20 Mini Gear Motor 6V 300RPM","","electrical","actuator",1,5.00,5.00,"https://www.amazon.com/s?k=N20+mini+gear+motor+6V"
"Conveyor Motor Driver","DRV8833 Dual Motor Driver Module","Dual H-bridge motor driver to control the two DC geared motors with PWM signals from the MCU.","electrical","actuator",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8833+motor+driver"
"Main Solar Panel","6V 5W Monocrystalline Solar Panel","Primary solar energy input source.","electrical","power",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxGylqZeqqrvFwXa7sm3OdHWMUllufp2bGKwmkGqyKOq3gHZamKPswfzobqZHuWRmO3GTpCVSaiuM7iHtNdzWwRrO2S4mb7pbKHKiHrSTZ5eKvtfUCOvB03TamOA1vpwQW32288w7O5jN1d8fWJDfVEaWVdpUXC1lT8zYFRMl43KY5EdoY2C4g2yUKEfcbosFaXpEIePSpO4yrLYSJMPinK6aqLpf1be7NXS3Wk6rnUquMtl9PGfz58gxPQQaSResmkt4BXAO0P1T2VIc8tOO7PFPJOpnWvI2NeOPpFZnIg66zeoSYneO5dmfS6PuDbgASu2N6iHqw5FAQy5GjowcN4sxNzg6BPyqBSykvZPZdeIXBUeHreiP7HA05RwQMqYzNoJLkk2fHcaf9i5eLHflKuTMnWrFLW8go12PoEIS7FoLUQnCjqF5tDWQVkZR6ldJ9QHEvH0QEoMxR3ZmhrE1fieaW7gdPzZshMHrq4okfZw9zh4u6tbdRmp5D70e91lzOCtW17ILmxZw8uNIZjapyuvHZZiptRUnAmL9bLhJZg5DzoryKWbJEefcCiEebObpdbvsG5ZSB0heXtT8DYDw976llGvj4ZCfiYB0Qy4i4mlQjWKMGmMU6pmhYYrDnUjQeO5M4HDY9VKOj0X9B1NvUYob"
"MPPT Charge Controller","CN3791 MPPT Solar Charge Controller for LiPo","Maximum Power Point Tracking (MPPT) solar charge controller to efficiently charge the LiPo battery from a solar panel.","electrical","power",1,10.00,10.00,"https://www.amazon.com/s?k=CN3791+MPPT+LiPo"
