Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32E Module","Provides Wi-Fi and Ethernet connectivity for app and web interface.","electrical","mcu",1,5.50,5.50,"https://www.digikey.com/en/products/result?keywords=ESP32-WROOM-32E"
"Track Information Display","0.96 inch 128x64 OLED (SPI)","0.96 inch 128x64 OLED display via SPI.","electrical","display",1,7.00,7.00,"https://www.amazon.com/s?k=0.96+inch+128x64+oled+spi"
"Play/Pause Button","6x6x5mm Tactile Push Button","Tactile push button for changing watch modes (e.g., time, radio).","electrical","module",1,0.15,0.15,"https://www.digikey.com/en/products/result?keywords=6x6x5mm+tactile+switch"
"Next Track Button","6x6x5mm Tactile Push Button","Tactile push button for changing watch modes (e.g., time, radio).","electrical","module",1,0.15,0.15,"https://www.digikey.com/en/products/result?keywords=6x6x5mm+tactile+switch"
"Previous Track Button","6x6x5mm Tactile Push Button","Tactile push button for changing watch modes (e.g., time, radio).","electrical","module",1,0.15,0.15,"https://www.digikey.com/en/products/result?keywords=6x6x5mm+tactile+switch"
"Rechargeable Power Source","3.7V 500mAh Li-Po Battery","Small battery for the wireless sensor module.","electrical","power",1,8.00,8.00,"https://www.amazon.com/s?k=3.7V+500mAh+Li-Po+battery"
"Li-Po Charging & Power Management","TP4056 USB-C Li-Ion Charger Module","Charges the Li-ion battery and provides overcharge/discharge protection.","electrical","power",1,3.00,3.00,"https://www.amazon.com/s?k=TP4056+USB-C+charger+module"
"Expandable Storage Module","MicroSD Card Module (SPI)","Module to interface with a MicroSD card for local storage of audio recordings, using SPI protocol.","electrical","module",1,2.50,2.50,"https://www.amazon.com/s?k=microsd+card+module+spi"
"3.5mm Headphone Output","3.5mm Audio Jack (SMT/Through-hole)","","electrical","module",1,1.00,1.00,"https://www.digikey.com/en/products/result?keywords=3.5mm+audio+jack"
"Audio DAC with Amplifier","PCM5102A I2S DAC Module with Amplifier","High-quality audio digital-to-analog converter with integrated headphone amplifier for 3.5mm jack output.","electrical","module",1,7.00,7.00,"https://www.amazon.com/s?k=PCM5102A+I2S+DAC+module"
"Small Internal Speaker","8 Ohm 1W Mini Speaker","Small 8 Ohm 1W speaker for audio playback.","electrical","actuator",1,2.00,2.00,"https://www.amazon.com/s?k=8+ohm+1w+mini+speaker"
"USB-C Data & Charging Port","USB-C Breakout Board","USB-C breakout board for programming and optional external power.","electrical","module",1,1.50,1.50,"https://www.amazon.com/s?k=usb+c+breakout+board"
"Main Enclosure Shell","Main Enclosure Shell","The primary 3D-printed housing for all internal components, featuring cutouts for ports (USB-C, headphone jack, MicroSD) and internal mounting points.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PETG+filament"
"Front Bezel","Front Bezel","A 3D-printed front cover that snaps or screws onto the main enclosure, with openings for the OLED display and physical buttons.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"Back Cover with Speaker Grille","","A smooth 3D-printed back cover for the enclosure, featuring an integrated grille for the internal speaker.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=PETG+filament"
"OLED Display Bezel Mount","OLED Display Bezel/Mount","A custom 3D-printed frame or bracket to securely mount the OLED display behind the front bezel opening.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PLA+filament"
"ESP32 Main Controller Mount","ESP32 Main Controller Mount","A small 3D-printed bracket or standoff system to secure the ESP32 main controller board inside the enclosure.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=PLA+filament"
"Li-Po Battery Tray","Li-Po Battery Tray","A 3D-printed tray or compartment designed to hold the Li-Po battery securely within the enclosure, preventing movement.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PLA+filament"
"Battery Charger Module Mount","Battery Charger Module Mount","A custom 3D-printed mount for the Li-Po charging and power management module.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=PLA+filament"
"MicroSD Card Module Mount","MicroSD Card Module Mount","A 3D-printed bracket to hold the MicroSD card module in alignment with the enclosure's slot.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=PLA+filament"
"Headphone Jack Mount","Headphone Jack Mount","A small 3D-printed support to secure the 3.5mm headphone jack, aligning it with the enclosure's opening.","mechanical","3d_printed",1,0.05,0.05,"https://www.amazon.com/s?k=PLA+filament"
"Audio DAC Amplifier Mount","Audio DAC Amplifier Mount","A 3D-printed bracket to hold the audio DAC with amplifier module within the enclosure.","mechanical","3d_printed",1,0.15,0.15,"https://www.amazon.com/s?k=PLA+filament"
"Internal Speaker Mount","Internal Speaker Mount","A 3D-printed frame or clip to secure the small internal speaker against the back cover's grille.","mechanical","3d_printed",1,0.10,0.10,"https://www.amazon.com/s?k=PLA+filament"
"USB-C Breakout Mount","USB-C Breakout Mount","A small 3D-printed support to align and secure the USB-C breakout board with the enclosure's port opening.","mechanical","3d_printed",1,0.05,0.05,"https://www.amazon.com/s?k=PLA+filament"
"Play/Pause Button Cap","Tactile Push Button Cap 6x6mm","A custom 3D-printed cap for the tactile play/pause button, designed for ergonomic feel.","mechanical","misc",1,0.05,0.05,"https://www.amazon.com/s?k=tactile+button+cap+round"
"Next Track Button Cap","Tactile Push Button Cap 6x6mm","A custom 3D-printed cap for the tactile next track button, designed for ergonomic feel.","mechanical","misc",1,0.05,0.05,"https://www.amazon.com/s?k=tactile+button+cap+round"
"Previous Track Button Cap","Tactile Push Button Cap 6x6mm","A custom 3D-printed cap for the tactile previous track button, designed for ergonomic feel.","mechanical","misc",1,0.05,0.05,"https://www.amazon.com/s?k=tactile+button+cap+round"
"M2 Enclosure Screws","M2x6mm Flat Head Screws","Small M2 screws to secure the front bezel and back cover to the main enclosure body.","mechanical","misc",4,0.05,0.20,"https://www.amazon.com/s?k=m2x6mm+screws"
"M2 Heat-Set Inserts","M2 Brass Heat Set Inserts","Brass heat-set inserts for M2 screws, providing durable threads in the 3D-printed enclosure.","mechanical","misc",4,0.10,0.40,"https://www.adafruit.com/product/4255"
