Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32 Dev Kit C V4","Microcontroller running GRBL firmware to control CNC axes and spindle.","electrical","mcu",1,12.00,12.00,"https://www.amazon.com/s?k=ESP32+Dev+Kit+C"
"Main 24V Power Supply","24V 10A Switching Power Supply","Provides 24V DC power for stepper motors and spindle driver.","electrical","power",1,30.00,30.00,"https://www.amazon.com/s?k=24V+10A+power+supply"
"24V to 5V Converter","LM2596 DC-DC Buck Converter","Steps down 24V to 5V for the ESP32 and stepper driver logic.","electrical","power",1,5.00,5.00,"https://www.amazon.com/s?k=LM2596+buck+converter"
"X-Axis Stepper Driver","DRV8825 Stepper Motor Driver Module","Controls the X-axis NEMA 17 stepper motor.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8825+driver+module"
"Y-Axis Stepper Driver","DRV8825 Stepper Motor Driver Module","Controls the Y-axis NEMA 17 stepper motor.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8825+driver+module"
"Z-Axis Stepper Driver","DRV8825 Stepper Motor Driver Module","Controls the Z-axis NEMA 17 stepper motor.","electrical","module",1,3.00,3.00,"https://www.amazon.com/s?k=DRV8825+driver+module"
"X-Axis Stepper Motor","NEMA 17 Stepper Motor","Provides motion for the X-axis.","electrical","actuator",1,15.00,15.00,"https://www.adafruit.com/product/1297"
"Y-Axis Stepper Motor","NEMA 17 Stepper Motor","Provides motion for the Y-axis.","electrical","actuator",1,15.00,15.00,"https://www.adafruit.com/product/1297"
"Z-Axis Stepper Motor","NEMA 17 Stepper Motor","Provides motion for the Z-axis.","electrical","actuator",1,15.00,15.00,"https://www.adafruit.com/product/1297"
"Spindle Motor Driver","PWM DC Motor Speed Controller","Controls the speed and on/off state of the DC spindle motor using a PWM signal.","electrical","module",1,10.00,10.00,"https://www.amazon.com/s?k=PWM+DC+motor+speed+controller"
"Spindle Motor","500W DC Spindle Motor ER11","The tool head responsible for material removal.","electrical","actuator",1,50.00,50.00,"https://www.amazon.com/s?k=500w+dc+spindle+motor+ER11"
"X-Axis End-stop","Mechanical Limit Switch","Detects the physical limit of the X-axis travel.","electrical","sensor",1,1.00,1.00,"https://www.amazon.com/s?k=mechanical+limit+switch+3pin"
"Y-Axis End-stop","Mechanical Limit Switch","Detects the physical limit of the Y-axis travel.","electrical","sensor",1,1.00,1.00,"https://www.amazon.com/s?k=mechanical+limit+switch+3pin"
"Z-Axis End-stop","Mechanical Limit Switch","Detects the physical limit of the Z-axis travel.","electrical","sensor",1,1.00,1.00,"https://www.amazon.com/s?k=mechanical+limit+switch+3pin"
"Base Frame X (Front/Back)","2040 Aluminum Extrusion","Forms the front and back of the machine's base frame.","mechanical","structural",2,15.00,30.00,"https://www.amazon.com/s?k=2040+aluminum+extrusion+500mm"
"Base Frame Y (Sides)","2040 Aluminum Extrusion","Forms the sides of the machine's base frame.","mechanical","structural",2,12.00,24.00,"https://www.amazon.com/s?k=2040+aluminum+extrusion+400mm"
"Y-Axis Gantry Beam","2040 Aluminum Extrusion","Main beam for the Y-axis gantry, spanning across the base.","mechanical","structural",1,15.00,15.00,"https://www.amazon.com/s?k=2040+aluminum+extrusion+500mm"
"Z-Axis Vertical Extrusions","2020 Aluminum Extrusion","Vertical extrusions for the Z-axis linear motion.","mechanical","structural",2,8.00,16.00,"https://www.amazon.com/s?k=2020+aluminum+extrusion+300mm"
"X-Axis Lead Screw","T8 Lead Screw with Nut","Provides linear motion for the X-axis.","mechanical","mechanism",1,8.00,8.00,"https://www.amazon.com/s?k=T8+lead+screw+500mm"
"Y-Axis Lead Screw","T8 Lead Screw with Nut","Provides linear motion for the Y-axis.","mechanical","mechanism",1,7.00,7.00,"https://www.amazon.com/s?k=T8+lead+screw+400mm"
"Z-Axis Lead Screw","T8 Lead Screw with Nut","Provides linear motion for the Z-axis.","mechanical","mechanism",1,6.00,6.00,"https://www.amazon.com/s?k=T8+lead+screw+300mm"
"X-Axis Linear Rods","8mm Linear Motion Rod","Guide rails for X-axis movement.","mechanical","mechanism",2,6.00,12.00,"https://www.amazon.com/s?k=8mm+linear+rod+500mm"
"Y-Axis Linear Rods","8mm Linear Motion Rod","Guide rails for Y-axis movement.","mechanical","mechanism",2,5.00,10.00,"https://www.amazon.com/s?k=8mm+linear+rod+400mm"
"Z-Axis Linear Rods","8mm Linear Motion Rod","Guide rails for Z-axis movement.","mechanical","mechanism",2,4.00,8.00,"https://www.amazon.com/s?k=8mm+linear+rod+300mm"
"LM8UU Linear Bearings","LM8UU Linear Ball Bearing","Allow smooth sliding motion on 8mm linear rods.","mechanical","mechanism",12,1.50,18.00,"https://www.amazon.com/s?k=LM8UU+linear+bearing"
"Shaft Couplers (5x8mm)","Flexible Shaft Coupler 5x8mm","Connects NEMA 17 motor shafts (5mm) to T8 lead screws (8mm).","mechanical","mechanism",3,2.00,6.00,"https://www.amazon.com/s?k=5x8mm+shaft+coupler"
"KP08 Pillow Block Bearings","KP08 Pillow Block Bearing","Supports the ends of the T8 lead screws.","mechanical","mechanism",6,4.00,24.00,"https://www.amazon.com/s?k=KP08+pillow+block+bearing"
"Spoilboard","MDF Sheet","Sacrificial work surface for material mounting.","mechanical","structural",1,10.00,10.00,"https://www.homedepot.com/s/MDF%20board"
"M5 T-Nuts","M5 T-Slot Nuts","Used to fasten components to aluminum extrusions.","mechanical","misc",50,0.20,10.00,"https://www.amazon.com/s?k=m5+t+slot+nuts"
"M5 Screws (various lengths)","M5 Hex Socket Cap Screws","Fasteners for assembling the aluminum frame and mounting components.","mechanical","misc",50,0.15,7.50,"https://www.amazon.com/s?k=m5+socket+cap+screws+assortment"
"M3 Screws (various lengths)","M3 Hex Socket Cap Screws","Fasteners for mounting stepper motors, drivers, and other small electrical components.","mechanical","misc",30,0.10,3.00,"https://www.amazon.com/s?k=m3+socket+cap+screws+assortment"
"90-Degree Corner Brackets","2020/2040 Aluminum Corner Brackets","Reinforces connections between aluminum extrusions.","mechanical","misc",12,1.00,12.00,"https://www.amazon.com/s?k=2040+corner+bracket"
"X-Axis Motor Mount","X-Axis Motor Mount","Mounts the X-axis stepper motor to the frame.","mechanical","3d_printed",1,1.50,1.50,"https://www.thingiverse.com/search?q=nema+17+2040+mount"
"Y-Axis Motor Mount","Y-Axis Motor Mount","Mounts the Y-axis stepper motor to the frame.","mechanical","3d_printed",1,1.50,1.50,"https://www.thingiverse.com/search?q=nema+17+2040+mount"
"Z-Axis Motor Mount","Z-Axis Motor Mount","Mounts the Z-axis stepper motor to the Z-axis carriage.","mechanical","3d_printed",1,1.00,1.00,"https://www.thingiverse.com/search?q=nema+17+2020+mount"
"X-Axis Lead Screw Nut Block","X-Axis Lead Screw Nut Block","Holds the T8 lead screw nut for X-axis motion.","mechanical","3d_printed",1,0.80,0.80,"https://www.thingiverse.com/search?q=t8+lead+screw+nut+block+2040"
"Y-Axis Lead Screw Nut Block","Y-Axis Lead Screw Nut Block","Holds the T8 lead screw nut for Y-axis motion.","mechanical","3d_printed",1,0.80,0.80,"https://www.thingiverse.com/search?q=t8+lead+screw+nut+block+2040"
"Z-Axis Lead Screw Nut Block","Z-Axis Lead Screw Nut Block","Holds the T8 lead screw nut for Z-axis motion.","mechanical","3d_printed",1,0.70,0.70,"https://www.thingiverse.com/search?q=t8+lead+screw+nut+block+2020"
"Spindle Mount (52mm)","Spindle Mount (52mm)","Securely holds the 52mm diameter spindle motor.","mechanical","3d_printed",1,2.50,2.50,"https://www.thingiverse.com/search?q=52mm+spindle+mount+2020"
"Tool Holder Rack","","Rack to store ER11 collets and milling bits.","mechanical","3d_printed",1,1.00,1.00,"https://www.thingiverse.com/search?q=er11+tool+holder"
"X-Axis End-stop Mount","X-Axis End-stop Mount","Mounts the X-axis limit switch to the frame.","mechanical","3d_printed",1,0.20,0.20,"https://www.thingiverse.com/search?q=limit+switch+mount+2040"
"Y-Axis End-stop Mount","Y-Axis End-stop Mount","Mounts the Y-axis limit switch to the frame.","mechanical","3d_printed",1,0.20,0.20,"https://www.thingiverse.com/search?q=limit+switch+mount+2040"
"Z-Axis End-stop Mount","Z-Axis End-stop Mount","Mounts the Z-axis limit switch to the Z-axis.","mechanical","3d_printed",1,0.20,0.20,"https://www.thingiverse.com/search?q=limit+switch+mount+2020"
"X-Axis Carriage Plate","X-Axis Carriage Plate","Connects X-axis linear bearings and lead screw nut to the Z-axis assembly.","mechanical","3d_printed",1,2.00,2.00,"https://www.thingiverse.com/search?q=lm8uu+x+carriage+plate"
"Y-Axis Gantry Plates","","Connects Y-axis linear bearings and lead screw nut to the Y-axis gantry beam.","mechanical","3d_printed",2,2.50,5.00,"https://www.thingiverse.com/search?q=lm8uu+y+gantry+plate+2040"
"Z-Axis Carriage Plate","Z-Axis Carriage Plate","Connects Z-axis linear bearings and lead screw nut to the spindle mount.","mechanical","3d_printed",1,1.50,1.50,"https://www.thingiverse.com/search?q=lm8uu+z+carriage+plate+2020"
"Controller Enclosure","Controller Enclosure","Encloses the ESP32 and stepper drivers.","mechanical","enclosure",1,3.00,3.00,"https://www.thingiverse.com/search?q=esp32+drv8825+enclosure"
