Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller","Holybro Pixhawk 6C Mini","Main flight control unit for autonomous and manual flight.","electrical","mcu",1,169.99,169.99,"https://holybro.com/products/pixhawk-6c-mini"
"Companion Computer","Raspberry Pi 5","High-performance SBC for AI, target tracking, and autonomous navigation.","electrical","mcu",1,80.00,80.00,"https://www.raspberrypi.com/products/raspberry-pi-5/"
"Depth Camera","Luxonis OAK-D S2","Dual-camera depth sensor for perception and object tracking.","electrical","sensor",1,249.00,249.00,"https://luxonis.com/products/oak-d-s2"
"GPS/Compass Module","Holybro M10 GPS","Provides precise positioning and heading information for flight control.","electrical","sensor",1,69.90,69.90,"https://holybro.com/products/holybro-m10-gps-module"
"Forward Range Sensor","Benewake TFmini Plus","Simple forward-facing LiDAR for altitude or obstacle detection.","electrical","sensor",1,29.99,29.99,"https://www.benewake.com/tfmini-plus"
"FC Power Module","Holybro PM07 Power Module","Provides regulated power to the flight controller and measures battery voltage/current.","electrical","power",1,39.90,39.90,"https://holybro.com/products/holybro-pm07-power-module"
"RPi5 Power Supply","Matek BEC12S-PRO","Regulates battery voltage to 5V for Raspberry Pi 5.","electrical","power",1,19.90,19.90,"https://www.mateksys.com/?portfolio=bec12s-pro"
"OAK-D S2 Power Supply","Matek BEC12S-PRO","Regulates battery voltage to 5V for OAK-D S2 camera.","electrical","power",1,19.90,19.90,"https://www.mateksys.com/?portfolio=bec12s-pro"
"ESC Front Left","6S BLHeli_32 ESC","Electronic Speed Controller for Front Left motor.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/collections/6s-escs"
"ESC Front Right","6S BLHeli_32 ESC","Electronic Speed Controller for Front Right motor.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/collections/6s-escs"
"ESC Rear Left","6S BLHeli_32 ESC","Electronic Speed Controller for Rear Left motor.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/collections/6s-escs"
"ESC Rear Right","6S BLHeli_32 ESC","Electronic Speed Controller for Rear Right motor.","electrical","actuator",1,25.00,25.00,"https://www.racedayquads.com/collections/6s-escs"
"Motor Front Left","7inch 1400kV Brushless Motor","Brushless motor for Front Left rotor.","electrical","actuator",1,35.00,35.00,"https://www.racedayquads.com/collections/7-inch-drone-motors"
"Motor Front Right","7inch 1400kV Brushless Motor","Brushless motor for Front Right rotor.","electrical","actuator",1,35.00,35.00,"https://www.racedayquads.com/collections/7-inch-drone-motors"
"Motor Rear Left","7inch 1400kV Brushless Motor","Brushless motor for Rear Left rotor.","electrical","actuator",1,35.00,35.00,"https://www.racedayquads.com/collections/7-inch-drone-motors"
"Motor Rear Right","7inch 1400kV Brushless Motor","Brushless motor for Rear Right rotor.","electrical","actuator",1,35.00,35.00,"https://www.racedayquads.com/collections/7-inch-drone-motors"
"RC Receiver","ExpressLRS Nano Receiver","Receives control signals from the remote controller.","electrical","module",1,20.00,20.00,"https://www.expresslrs.org/"
"Analog Video Transmitter","FPV 5.8GHz VTX","Transmits analog video signal from FPV camera to ground station.","electrical","module",1,30.00,30.00,"https://www.racedayquads.com/collections/fpv-video-transmitters"
"Analog FPV Camera","RunCam Phoenix 2","Provides live analog video feed for manual piloting.","electrical","sensor",1,25.00,25.00,"https://www.racedayquads.com/collections/fpv-cameras"
"Main Battery","GNB 6S LiPo Battery","Primary power source for the entire drone system.","electrical","power",1,80.00,80.00,"https://www.chinahobbyline.com/6s-lipo-battery"
"7-inch Dead Cat Frame Kit","Generic 7-inch Dead Cat Quadcopter Frame Kit","Carbon fiber frame kit designed for 7-inch propellers, dead cat style for wide front view, suitable for heavy-lift applications with 6S battery setups.","mechanical","structural",1,75.00,75.00,"https://www.amazon.com/s?k=7+inch+dead+cat+drone+frame"
"M3 Nylon Standoff Kit","M3 Nylon Hex Standoff Spacer Screw Nut Assortment","Assorted M3 nylon standoffs and screws for mounting flight controllers and other electronics.","mechanical","misc",10,0.20,2.00,"https://www.amazon.com/s?k=m3+nylon+standoff+kit"
"M3 Hex Screw Assortment","M3 Alloy Steel Hex Head Cap Screw Kit","Various lengths of M3 hex head screws for general assembly.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/s?k=m3+hex+screw+kit"
"Lipo Battery Strap","Lipo Battery Strap 250mm","Non-slip battery strap for securing the GNB 6S battery to the frame.","mechanical","misc",2,3.50,7.00,"https://www.amazon.com/s?k=lipo+battery+strap+250mm"
"Lipo Battery Pad","Silicone Non-Slip Lipo Battery Pad","Non-slip silicone pad to cushion and secure the battery, preventing movement during flight.","mechanical","misc",1,2.00,2.00,"https://www.amazon.com/s?k=lipo+battery+pad+non+slip"
"Raspberry Pi 5 Vibration Isolated Mount","","Custom 3D-printed mount designed to secure the Raspberry Pi 5 to the frame, incorporating soft TPU grommets (not included in cost/node) for vibration isolation.","mechanical","3d_printed",1,3.00,3.00,"N/A"
"OAK-D S2 Camera Mount","","Custom 3D-printed mount for the Luxonis OAK-D S2 camera, allowing for adjustable angle.","mechanical","3d_printed",1,2.50,2.50,"N/A"
"TFmini Plus Front Sensor Mount","","Small, custom 3D-printed mount to position the Benewake TFmini Plus forward-facing for accurate ranging.","mechanical","3d_printed",1,1.50,1.50,"N/A"
"GPS Mast Mount","","3D-printed mast and mount to elevate and securely hold the Holybro M10 GPS, reducing interference.","mechanical","3d_printed",1,2.00,2.00,"N/A"
"Analog FPV Camera Mount","","Flexible 3D-printed mount for a standard analog FPV camera, providing vibration damping and angle adjustment.","mechanical","3d_printed",1,1.80,1.80,"N/A"
